,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi
Gumma-ken,"28,769",579,174,177,461,136,161,447,905,"2,401",-,"6,350","1,591","6,395","2,616",927,96,151,42,232,924,124,487,686,118,85,208,507,268,72,52,23,25,89,175,86,25,61,38,28,265,35,73,95,61,51,91,176,"16,952",928,"1,055","10,167",232,304,"1,209",257,"4,712","1,072",599,195,337,116,81,273,143,160,49,90,47,78,49,119,45
Saitama-ken,"142,644","3,537","1,231","1,011","2,961",760,798,"2,082","4,863","4,439","5,284",-,"12,992","56,283","13,490","2,147",452,643,182,709,"2,175",555,"2,796","3,852",682,526,"1,008","4,073","2,018",379,200,194,224,662,"1,210",485,125,370,406,209,"2,660",228,430,612,329,461,683,"1,228",-,"5,089","7,478","84,815","1,775","2,070","16,079","1,672","43,670","5,493","3,150","1,035",878,460,639,"1,985",692,"1,442",243,531,415,650,323,"1,255",358
Chiba-ken,"128,835","3,565",955,920,"2,370",659,586,"1,511","7,380","1,922","1,328","13,086",-,"47,062","14,563","1,326",433,508,226,694,"1,513",510,"2,353","3,765",632,519,"1,188","4,482","2,459",489,230,157,216,743,"1,282",561,243,431,456,252,"2,956",255,505,693,460,458,781,"1,152",-,"4,907","8,618","81,667","1,839","1,667","2,583","14,862","39,934","6,101","3,502",889,613,490,398,"1,944",784,"1,493",332,812,372,697,519,"1,460",376
Tokyo-to,"331,456","10,135","2,781","2,462","6,605","1,933","2,063","4,342","8,889","5,060","4,730","58,206","41,933",-,"71,565","4,642","1,471","1,853",720,"3,497","5,968","1,836","8,457","11,790","1,726","1,340","4,114","14,800","7,815","1,325",743,668,774,"2,293","4,066","1,735",775,"1,460","1,561",887,"9,637",925,"1,642","2,298","1,337","1,622","2,634","4,341",-,"15,352","28,054","162,344","5,826","4,760","10,223","5,487","42,101","26,852","23,201","6,887","1,963","1,796","1,340","7,001","3,086","6,408",872,"2,628","1,307","2,470","1,161","5,614","1,361"
Kanagawa-ken,"191,011","5,018","1,719","1,353","3,506",922,983,"2,262","4,204","2,692","2,185","13,610","14,186","77,802",-,"2,149",683,877,335,"1,619","2,753","1,020","7,397","6,945","1,228",956,"2,126","6,774","4,140",772,348,287,336,"1,106","2,591","1,028",326,666,753,382,"4,783",454,"1,285","1,243",739,899,"1,415","2,154",-,"9,193","13,812","140,966","2,538","2,324","3,075","2,185","54,910","31,649","17,470","9,002",873,"1,381",919,"3,673","1,338","2,377",422,"1,363",583,"1,152",723,"2,357",652
Niigata-ken,"27,371",607,180,195,869,247,579,778,568,475,"1,089","3,007","2,037","6,690","2,888",-,615,615,137,170,"1,144",143,498,825,133,112,359,657,303,83,53,28,43,108,177,75,28,51,46,37,261,26,42,70,53,61,89,120,"14,622","1,101","1,402","18,293",269,579,844,357,"4,874","1,246",706,226,"7,586",120,76,406,230,232,60,120,54,94,54,117,43
Toyama-ken,"12,982",295,47,20,146,41,32,92,149,97,115,461,527,"1,974",857,571,-,"2,096",453,46,244,316,245,"1,168",204,182,402,812,386,67,47,20,16,73,89,76,32,34,39,18,210,23,38,53,37,29,34,69,"3,819","1,688","1,667","4,400",139,76,108,79,"1,506",389,197,63,219,63,69,551,268,280,53,118,39,44,28,85,26
Ishikawa-ken,"17,580",355,57,43,227,57,54,86,208,114,116,650,653,"2,385","1,042",580,"1,982",-,931,72,293,375,382,"1,901",245,347,677,"1,467",665,108,46,63,44,129,169,84,35,52,56,37,341,19,50,68,40,75,64,136,"4,730","2,521","2,917","6,439",158,158,152,124,"1,861",466,307,56,245,90,126,958,494,582,72,188,70,82,40,167,43
Fukui-ken,"10,294",137,27,26,49,31,19,74,121,41,55,257,306,"1,178",505,120,479,"1,251",-,22,106,211,230,"1,068",127,471,785,"1,192",495,96,47,34,39,63,83,69,19,37,37,22,127,36,36,24,14,28,35,65,"2,246","1,406","2,568","3,533",55,27,54,49,936,238,105,31,44,56,51,494,506,492,91,169,27,35,26,30,17
Yamanashi-ken,"14,593",220,56,82,200,37,62,161,252,187,224,"1,039",842,"4,874","2,063",175,60,79,34,-,832,112,"1,026",400,58,38,126,273,175,22,18,21,21,54,87,53,18,21,55,19,151,19,15,98,49,34,52,99,"8,818",570,596,"5,662",106,117,246,130,"2,604",706,418,324,72,196,94,161,82,112,27,39,30,41,37,55,65
Nagano-ken,"29,073",531,102,127,345,110,106,257,422,353,"1,041","2,682","1,762","7,054","3,376","1,142",252,386,95,827,-,566,898,"2,551",375,192,477,835,456,149,65,26,56,135,166,77,27,53,47,39,317,33,72,95,51,54,79,212,"14,874","3,492","1,917","11,961",241,232,662,320,"4,784","1,349",728,315,467,215,177,"1,165",343,342,70,158,60,93,65,133,42
Gifu-ken,"29,412",341,60,46,176,58,32,143,231,141,130,681,698,"2,766","1,137",116,365,359,205,123,515,-,954,"13,623","1,163",500,588,"1,185",640,169,93,54,53,131,226,132,48,88,112,52,412,55,86,115,52,115,158,285,"5,282",-,"2,582","10,615",148,116,173,107,"2,074",496,260,80,46,186,326,"5,022",422,467,57,226,62,105,76,135,31
Shizuoka-ken,"56,054","1,253",335,363,"1,028",136,191,516,839,721,540,"3,178","3,008","11,396","9,323",386,254,488,165,981,837,909,-,"8,611",948,421,895,"1,915","1,087",282,146,107,109,338,507,242,97,154,181,138,"1,052",117,171,403,194,265,270,557,"26,905","10,468","4,179","34,543",473,544,677,508,"8,459","3,536","1,608",597,178,"5,873","5,733","3,303",656,712,128,411,164,263,182,356,182
Aichi-ken,"103,215","2,432",373,294,"1,195",217,243,653,916,783,627,"4,283","4,345","16,495","7,912",574,997,"1,610",745,355,"2,120","11,138","7,637",-,"7,068","1,394","2,233","7,275","3,495",874,435,238,272,849,"1,560",533,277,462,458,257,"3,178",428,938,954,522,814,"1,183","1,574","33,035",-,"13,877","64,472","1,044",773,"1,217",677,"12,801","3,720","1,852",468,270,"1,693","2,508","28,060","1,536","2,696",498,"1,130",405,819,525,"1,370",410
Mie-ken,"29,176",353,78,190,186,23,54,182,243,264,123,790,794,"2,630","1,480",137,153,260,136,107,270,"1,166",921,"8,634",-,677,894,"3,054","1,080",925,439,94,57,227,280,162,72,106,137,85,438,72,157,225,136,139,192,354,"5,694",-,"5,953","11,260",161,111,171,141,"2,024",661,356,76,59,209,278,"4,033",576,"1,290",230,365,90,101,105,139,84
Shiga-ken,"25,443",295,23,39,133,34,42,84,183,133,113,509,626,"2,179","1,079",92,169,331,357,37,237,566,459,"1,854",693,-,"5,067","4,422","1,802",538,207,87,120,347,366,183,98,144,184,113,467,70,108,220,124,140,213,156,"4,393","3,113","11,829","10,608",121,78,113,110,"1,617",446,288,50,30,93,110,737,"3,668","1,665",272,515,163,201,90,164,77
Kyoto-fu,"54,591",648,157,93,295,85,93,185,324,214,208,"1,186","1,417","5,629","2,509",270,347,554,677,90,366,455,797,"2,415",814,"5,537",-,"13,189","5,183","2,404",639,299,272,781,"1,048",441,315,416,355,272,"1,260",135,384,403,273,274,462,421,"10,741","3,684",-,"25,062",282,188,312,204,"4,553","1,091",470,116,140,173,186,"1,182","7,548","4,775",593,"1,414",386,463,244,538,204
Osaka-fu,"149,533","2,034",215,235,"1,215",156,192,526,947,573,511,"4,595","5,697","22,219","8,523",568,675,"1,163",904,279,805,"1,068","1,727","7,879","2,607","4,151","11,539",-,"26,718","8,822","4,172",981,883,"2,771","3,767","1,177","1,324","1,768","1,810","1,111","5,498",438,876,"1,170",847,955,"1,811","1,631","41,034","11,554",-,"100,312","1,090",903,"1,326",713,"17,904","4,092","2,394",438,236,426,458,"4,219","6,319","33,509","12,711","6,007","1,329","2,031",822,"2,804",581
Hyogo-ken,"93,482","1,152",114,140,606,100,95,332,690,382,401,"2,372","3,440","12,360","5,583",314,447,695,411,167,465,605,"1,121","4,094",986,"1,877","5,479","27,892",-,"1,841","1,013",832,570,"2,819","2,603",811,955,"1,337","1,117",578,"2,697",269,663,609,464,461,803,720,"23,755","5,685",-,"56,264",559,398,713,494,"9,806","2,783","1,463",230,158,284,266,"2,003","3,185","12,738","1,525","14,981","1,280","1,310",441,"1,339",308
Nara-ken,"26,727",295,65,35,143,24,16,90,139,101,74,488,596,"2,264",946,92,108,109,93,43,147,188,269,"1,111",886,611,"3,028","9,145","2,069",-,678,85,88,265,355,243,119,156,156,87,543,52,76,122,112,88,143,184,"4,294","2,185",-,"10,792",96,97,145,101,"1,753",418,227,65,48,50,66,499,"1,052","4,204",625,681,118,161,93,227,66
Wakayama-ken,"14,377",128,11,15,66,14,16,40,75,35,35,260,366,"1,167",473,29,41,68,49,40,68,98,174,551,502,261,709,"5,843","1,274",659,-,39,37,145,163,76,62,74,76,64,212,14,52,40,49,54,80,73,"2,266","1,151","8,485","5,759",42,45,68,55,910,212,118,23,8,41,39,250,460,"2,053",725,387,77,86,56,79,25
Tottori-ken,"10,096",101,18,17,65,9,3,35,70,30,26,218,208,947,359,27,23,43,15,15,30,72,98,334,62,70,374,"1,205","1,049",101,36,-,"1,334","1,052",867,241,35,118,117,59,299,37,57,41,26,28,44,81,"1,732",468,"2,729","3,744",35,31,60,33,691,154,89,15,12,30,22,128,257,540,80,313,494,576,62,93,29
Shimane-ken,"11,662",85,20,12,64,12,11,50,79,40,20,238,222,"1,026",355,36,35,53,33,12,35,49,117,316,72,120,317,"1,037",654,80,38,"1,538",-,838,"2,197",642,52,146,108,39,412,41,78,80,75,55,66,57,"1,841",437,"2,088","4,454",38,30,67,41,740,149,87,25,14,33,22,102,203,483,55,222,424,"1,405",90,175,49
Okayama-ken,"29,282",255,38,54,145,36,21,120,258,133,123,817,853,"3,103","1,294",141,87,122,63,36,100,141,326,"1,039",188,350,852,"3,237","2,919",275,97,822,721,-,"4,520",770,318,"1,223",828,355,"1,180",70,206,237,171,173,246,219,"6,067","1,368","7,283","17,969",137,94,235,170,"2,344",577,348,90,51,84,56,450,592,"1,456",209,905,"7,486","1,779",254,527,125
Hiroshima-ken,"47,710",583,172,71,338,28,45,188,345,183,136,"1,328","1,503","5,973","2,996",124,114,171,72,60,147,204,407,"1,776",347,344,"1,076","4,271","2,865",402,159,761,"1,855","4,989",-,"4,114",364,953,"1,732",335,"3,238",228,684,468,405,284,452,420,"11,800","2,327","8,614","29,295",288,239,427,286,"4,546","1,317",678,152,59,105,95,848,697,"1,788",265,"1,040","2,420","11,633",681,"1,476",255
Yamaguchi-ken,"25,810",231,67,33,106,17,22,72,204,98,48,636,801,"2,326","1,093",56,48,116,73,23,64,157,559,766,178,170,492,"1,604",896,160,76,317,532,908,"4,573",-,194,240,352,93,"4,768",205,493,444,413,271,397,418,"4,856","1,101","3,152","11,346",78,65,128,103,"1,623",459,216,61,21,42,344,292,324,679,96,349,496,"2,585","1,469","1,685",231
Tokushima-ken,"10,933",103,31,11,53,14,14,45,54,60,34,226,307,"1,072",441,25,26,39,23,34,51,36,111,365,74,109,324,"1,596","1,130",111,82,33,57,371,395,140,-,"1,465",722,496,239,32,50,66,36,39,100,91,"2,046",475,"3,161","3,587",44,41,64,54,830,184,107,19,11,28,19,152,231,709,98,434,216,153,49,98,46
Kagawa-ken,"18,412",140,24,27,98,13,8,57,87,63,70,478,447,"1,934",752,66,22,81,28,13,56,52,191,538,127,150,524,"2,160","1,471",173,104,107,93,"1,403","1,070",236,"1,197",-,"2,069",938,632,53,141,123,102,100,94,100,"3,611",717,"4,328","6,710",77,59,118,82,"1,508",354,194,35,43,46,48,280,392,950,155,525,781,594,85,310,74
Ehime-ken,"20,897",174,26,34,128,15,23,71,142,87,71,558,615,"2,470",875,70,30,66,37,38,93,101,196,704,152,176,546,"2,299","1,337",181,59,108,117,"1,183","1,904",399,753,"2,242",-,"1,054",795,72,112,143,252,125,119,145,"4,518",957,"4,363","7,801",85,91,135,122,"1,870",432,211,48,36,66,48,345,375,979,149,537,664,972,184,365,87
Kochi-ken,"11,197",114,8,14,43,15,7,47,82,49,29,239,281,"1,289",520,16,22,22,25,19,46,39,161,459,96,112,348,"1,397",805,120,76,59,64,472,418,127,559,"1,130","1,173",-,272,24,41,82,73,68,57,78,"2,329",594,"2,670","3,666",44,19,63,41,968,226,129,32,4,36,33,171,251,638,71,302,257,212,41,94,34
Fukuoka-ken,"92,688","1,036",192,163,606,78,88,329,672,346,318,"3,205","3,616","13,376","5,640",248,176,354,99,134,279,397,"1,000","3,748",564,508,"1,481","5,776","2,771",442,186,269,341,"1,081","3,014","3,803",185,573,655,246,-,"6,027","6,187","7,237","5,668","3,019","4,484","2,071","25,837","4,709","10,470","63,983",578,439,889,603,"10,446","2,605","1,464",293,136,202,305,"1,730","1,054","2,232",334,908,577,"1,881","9,919","23,438","3,950"
Saga-ken,"17,248",118,17,14,63,8,10,48,103,64,59,317,338,"1,281",616,20,30,36,21,16,35,59,106,572,111,75,176,639,321,46,18,31,52,111,296,232,37,53,66,26,"7,229",-,"1,707",745,434,262,440,190,"2,552",742,"1,182","6,613",62,26,69,57,969,241,157,43,7,29,16,178,122,248,41,117,49,125,505,"3,085",467
Nagasaki-ken,"28,296",177,65,40,106,7,38,91,166,59,93,513,744,"2,482","1,593",62,25,50,29,30,81,78,239,"1,283",197,150,421,"1,085",688,98,78,50,68,224,811,548,64,118,114,57,"8,911","1,962",-,"1,611",834,509,982,665,"5,332","1,558","2,292","12,076",66,60,122,93,"1,878",637,284,96,24,48,51,476,228,451,87,266,106,235,930,"4,966",972
Kumamoto-ken,"30,532",245,53,30,139,22,28,97,212,144,123,817,873,"3,249","1,604",61,50,60,27,132,133,129,355,"1,367",254,208,420,"1,304",760,124,54,50,64,263,527,402,32,111,133,49,"8,617",729,"1,381",-,"1,223","1,262","2,086",529,"6,543","1,750","2,608","20,449",115,69,115,158,"2,436",677,354,75,31,44,88,452,296,446,75,251,144,274,887,"3,942","9,520"
Oita-ken,"20,818",127,24,33,69,11,8,85,138,76,62,417,554,"1,948",911,32,28,60,23,28,68,54,197,579,339,114,329,875,514,97,43,42,59,198,454,395,63,95,227,60,"7,018",475,780,"1,352",-,904,622,231,"3,830",972,"1,815","8,706",33,38,102,83,"1,485",384,246,49,9,43,52,204,230,357,70,153,94,191,"1,096","3,002",785
Miyazaki-ken,"21,606",253,57,27,167,24,15,77,140,108,73,563,578,"2,421","1,181",55,26,73,15,35,77,111,270,955,145,177,291,"1,059",475,97,64,39,53,153,298,340,31,67,111,66,"4,059",301,480,"1,573",991,-,"2,986",449,"4,743","1,211","1,922","8,026",98,60,119,67,"1,765",451,277,69,26,43,98,251,191,443,86,175,61,127,516,"2,096","1,007"
Kagoshima-ken,"30,774",199,69,43,171,25,24,81,208,96,102,789,982,"3,395","1,717",64,72,72,35,83,87,166,355,"1,359",222,294,556,"2,042",901,138,63,47,49,246,495,413,103,81,156,74,"6,006",424,"1,093","2,456",709,"3,132",-,880,"6,883","1,747","3,637","12,186",78,89,168,122,"2,467",656,406,142,31,72,64,433,355,784,144,286,107,262,729,"3,308","1,483"
Okinawa-ken,"24,393",544,145,78,255,43,46,184,270,135,156,"1,287","1,442","4,397","2,202",109,66,137,45,60,192,269,513,"1,837",418,227,485,"1,498",711,116,78,56,50,222,442,312,96,122,108,43,"2,071",180,645,549,220,396,936,-,"9,328","2,524","2,810","9,659",220,152,262,217,"3,217",973,497,142,59,77,140,545,252,649,88,266,116,215,290,948,334
Tokyo Area,"359,168","22,255","6,686","5,746","15,442","4,274","4,430","10,197","25,336","14,113","13,527",-,-,-,-,"10,264","3,039","3,881","1,463","6,519","12,409","3,921","21,003","26,352","4,268","3,341","8,436","30,129","16,432","2,965","1,521","1,306","1,550","4,804","9,149","3,809","1,469","2,927","3,176","1,730","20,036","1,862","3,862","4,846","2,865","3,440","5,513","8,875",-,"34,541","57,962","97,780","11,978","10,821",-,-,-,-,-,-,"4,327","4,127","3,296","14,603","5,900","11,720","1,869","5,334","2,677","4,969","2,726","10,686","2,747"
Nagora Area,"119,011","3,126",511,530,"1,557",298,329,978,"1,390","1,188",880,"5,754","5,837","21,891","10,529",827,"1,515","2,229","1,086",585,"2,905",-,"9,512",-,-,"2,571","3,715","11,514","5,215","1,968",967,386,382,"1,207","2,066",827,397,656,707,394,"4,028",555,"1,181","1,294",710,"1,068","1,533","2,213","44,011",-,"22,412","49,232","1,353","1,000","1,561",925,"16,899","4,877","2,468",624,375,"2,088","3,112",-,"2,534","4,453",785,"1,721",557,"1,025",706,"1,644",525
Osaka Area,"207,024","4,129",551,503,"2,259",365,396,"1,133","2,100","1,270","1,194","8,641","11,150","42,472","17,561","1,244","1,577","2,521","2,085",579,"1,783","2,316","3,914","15,499","5,293","12,176",-,-,-,-,"6,502","2,197","1,813","6,636","7,773","2,672","2,713","3,677","3,438","2,048","9,998",894,"1,999","2,304","1,696","1,778","3,219","2,956","79,824","23,108",-,"80,563","2,027","1,586","2,496","1,512","34,016","8,384","4,554",849,582,933,976,"7,903",-,-,-,-,"3,113","3,965","1,600","4,908","1,159"
Total of 21 major cities,"1,140,366","46,167","5,969","6,475","23,711","4,353","5,287","9,907","14,510","9,260","7,991","86,504","77,206","182,971","137,936","13,355","3,675","5,319","2,474","4,263","9,800","8,057","28,244","59,489","8,835","9,528","22,016","92,214","48,675","8,432","4,063","2,874","3,683","15,853","24,476","8,776","2,623","5,399","5,651","2,656","58,699","4,833","8,438","17,364","6,786","6,172","9,632","9,765","124,400","43,313","65,096","378,383","10,728","9,516","15,632","9,117","109,439","50,329","38,171","8,406","3,504","5,240","4,344","18,271","10,336","24,806","7,134","10,018","5,073","8,373","6,385","18,588","4,973"
Sapporo-shi,"53,946","27,544",489,328,"1,282",226,168,346,471,275,270,"2,076","2,152","7,807","3,185",244,127,176,49,81,192,123,427,"1,265",143,141,422,"1,148",528,101,72,37,45,150,270,53,44,114,84,34,569,49,64,98,54,44,83,296,"15,220","1,531","2,199","13,212",-,994,596,372,"6,046","1,462",834,186,138,120,76,612,328,435,74,210,105,171,64,330,59
Sendai-shi,"41,866","1,449","1,478","2,259","10,648","1,174","1,973","2,410",561,530,279,"2,412","2,018","6,130","2,555",472,91,135,39,104,201,90,402,883,128,72,299,957,440,61,32,14,24,110,249,57,30,56,53,20,478,42,49,77,50,54,71,150,"13,115","1,101","1,757","11,245","1,005",-,808,354,"4,651","1,242",677,147,297,133,59,485,220,283,53,162,60,176,53,324,56
Saitama-shi,"44,283",830,233,272,808,206,169,454,862,951,853,"14,919","2,431","10,312","3,009",590,108,182,46,150,511,111,592,977,171,113,276,"1,138",535,100,31,41,56,171,319,92,44,91,101,40,619,47,82,128,79,91,119,223,-,"1,259","2,049","14,921",517,633,-,383,"8,477","1,341",694,205,272,119,122,611,189,368,64,139,112,194,77,328,76
Chiba-shi,"32,316",526,137,157,384,109,101,232,716,313,243,"1,617","13,814","6,576","2,116",216,71,91,37,105,251,97,388,606,98,82,200,713,378,80,35,20,26,153,226,69,30,61,84,46,439,46,74,102,96,56,117,182,-,801,"1,371","9,849",279,271,432,-,"5,578",954,467,143,101,75,79,340,161,209,58,142,75,127,66,237,55
Ku-area of Tokyo,"285,588","7,469","2,048","1,778","5,002","1,444","1,478","3,179","6,602","3,756","3,313","44,438","34,586","39,302","49,371","3,319","1,076","1,370",514,"1,892","4,020","1,326","6,044","8,875","1,218",954,"3,156","11,637","6,011",971,567,487,588,"1,638","3,119","1,185",582,"1,144","1,138",657,"7,281",690,"1,269","1,676","1,014","1,193","1,931","3,280",-,"11,419","21,775","88,765","4,377","3,675","8,077","4,397",-,"20,450","16,843","2,240","1,406","1,308",979,"5,485","2,425","5,330",645,"2,015",958,"1,916",819,"4,394","1,026"
Yokohama-shi,"109,611","2,270",516,542,"1,625",382,404,921,"1,771","1,109",898,"5,281","5,974","30,026","31,824",898,297,416,141,581,"1,032",451,"2,675","3,248",518,413,852,"3,367","2,060",303,161,109,148,521,"1,040",394,131,297,336,170,"2,177",182,454,520,336,385,524,931,-,"4,217","6,582","51,560","1,258","1,127","1,256",965,"23,319",-,"12,118","2,957",425,611,390,"1,830",590,"1,140",220,704,290,602,299,"1,181",278
Kawasaki-shi,"65,235","1,094",306,322,712,224,217,532,808,520,472,"3,260","3,244","23,457","17,218",449,141,215,75,268,619,182,"1,125","1,519",289,159,422,"1,671","1,012",154,78,82,86,247,506,221,71,186,164,81,"1,101",102,219,241,184,187,319,474,-,"1,990","3,259","36,925",587,496,787,503,"16,778","12,246",-,"1,421",174,251,161,900,279,653,84,303,125,273,150,632,122
Sagamihara-shi,"23,206",324,133,123,256,56,71,188,296,215,197,"1,096",929,"7,734","7,683",146,61,47,31,220,203,66,496,435,82,72,185,355,212,47,24,18,21,57,128,60,14,40,34,22,247,41,73,76,64,65,119,144,-,583,799,"8,596",169,166,220,154,"3,126","2,462","1,203",-,60,96,65,211,136,119,28,62,34,75,45,122,43
Niigata-shi,"17,554",297,81,76,526,142,291,366,228,168,346,"1,198",912,"2,908","1,205","5,776",236,244,48,62,438,55,179,369,61,49,153,316,155,31,23,15,18,39,81,27,9,30,20,8,139,10,23,35,33,30,37,61,"6,223",485,655,"5,068",140,392,433,190,"2,142",570,312,74,-,49,33,230,100,115,24,65,29,56,21,72,21
