,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi
Total,"2,259,688","46,554","17,792","17,845","48,951","11,626","13,316","27,056","44,018","30,542","26,519","157,553","137,199","404,736","203,866","21,853","11,891","16,994","8,048","12,029","25,794","25,258","48,814","109,405","26,337","24,554","53,417","149,142","86,390","23,662","11,420","8,965","10,061","28,900","45,071","22,163","9,438","17,263","17,385","9,018","96,588","14,979","22,443","27,671","18,170","18,421","26,215","24,356","468,576","118,208","195,302","1,252,922","62,309","44,146","50,059","34,485","349,564","114,943","71,788","24,420","17,240","16,046","16,305","77,917","41,137","93,938","22,240","40,614","22,153","35,109","23,962","69,628","24,919"
Hokkaido,"55,496",-,"1,688",859,"2,369",569,440,830,"1,210",734,676,"4,394","4,566","14,212","6,538",614,276,404,133,204,524,333,"1,202","2,749",374,352,838,"2,159","1,106",262,130,117,93,294,523,179,108,192,190,95,"1,097",152,180,240,151,184,233,723,"29,710","3,456","4,365","63,292","39,370","1,655","1,022",771,"10,670","2,826","1,601",400,314,278,226,"1,022",584,797,148,398,169,287,138,477,139
Aomori-ken,"24,252","1,874",-,"2,067","3,267",963,459,536,470,288,291,"1,836","1,557","4,505","2,490",195,58,136,49,65,139,98,381,522,90,34,174,270,153,60,17,25,25,54,153,70,40,27,54,21,198,12,50,20,53,52,83,271,"10,388",710,657,"9,034",604,"2,259",353,235,"3,181",877,540,170,83,52,113,142,83,101,26,56,34,30,31,52,12
Iwate-ken,"21,045",879,"1,921",-,"4,758",943,485,728,372,348,243,"1,336","1,158","3,410","1,762",184,57,46,20,79,157,55,278,376,175,38,104,257,153,42,14,12,4,55,84,51,17,32,28,10,115,11,32,59,29,29,37,62,"7,666",606,556,"8,598",348,"3,129",335,184,"2,542",725,459,112,88,44,46,147,74,101,15,56,29,56,25,43,40
Miyagi-ken,"46,514","2,042","2,175","3,638",-,"1,694","2,969","3,939",872,929,461,"3,694","2,931","8,524","3,868",671,139,197,52,164,301,157,649,"1,256",196,131,410,"1,243",645,99,53,32,39,155,339,101,43,79,86,41,666,62,74,142,71,111,118,256,"19,017","1,609","2,397","26,493","1,254","11,101","1,153",499,"6,340","1,770",996,268,405,169,116,595,289,373,83,225,76,218,73,405,85
Akita-ken,"16,049",572,963,"1,192","2,618",-,646,458,301,259,221,"1,193","1,071","3,092","1,460",317,54,58,14,59,90,55,209,319,40,22,109,149,90,27,9,8,17,35,31,22,6,18,19,14,83,6,14,23,16,13,18,39,"6,816",414,375,"6,580",270,"1,905",295,163,"2,248",598,351,111,201,36,40,100,76,53,7,34,23,11,9,34,15
Yamagata-ken,"16,889",386,362,402,"3,915",530,-,"1,146",367,333,195,"1,237",954,"3,046","1,399",651,59,81,15,48,114,61,214,246,71,48,109,256,110,37,20,8,11,30,55,25,11,15,38,18,87,13,22,28,17,20,17,62,"6,636",378,512,"7,587",170,"2,854",337,137,"2,294",569,301,94,343,60,27,83,71,91,23,28,14,24,16,33,18
Fukushima-ken,"29,267",654,398,587,"4,723",370,980,-,"1,679","1,494",509,"2,776","1,956","5,710","2,766",794,78,96,49,129,252,89,379,461,126,88,179,486,238,40,35,26,25,95,126,57,25,37,52,35,202,22,62,44,67,54,65,152,"13,208",676,943,"11,650",268,"2,922",647,324,"4,170","1,084",663,212,395,75,58,182,127,146,48,82,43,57,29,93,25
Ibaraki-ken,"48,867","1,142",293,304,974,196,262,"1,550",-,"3,258","1,005","5,563","8,695","11,890","4,600",421,123,178,115,247,439,214,879,"1,015",278,181,369,905,641,161,90,51,44,243,310,138,55,117,105,57,602,100,112,170,127,178,191,279,"30,748","1,507","2,076","18,041",490,627,"1,138",842,"9,309","1,908","1,025",314,168,177,123,411,249,247,83,226,143,141,112,224,84
Tochigi-ken,"32,337",610,206,229,929,204,247,"1,349","2,969",-,"2,446","5,188","2,131","6,856","2,904",437,88,147,41,156,422,121,594,741,246,109,211,541,459,97,70,20,39,97,199,77,30,68,62,50,327,38,63,128,64,76,70,181,"17,079","1,108","1,308","11,443",265,525,"1,486",366,"5,234","1,094",689,187,199,116,115,279,146,168,49,127,52,90,83,116,57
