,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi,ÅúTotal
Total,"2,334,738","47,584","17,724","17,636","48,315","11,710","13,199","28,209","45,430","30,718","27,117","162,275","143,390","426,084","210,995","21,852","12,549","17,933","8,528","12,582","26,745","25,858","50,639","114,416","26,736","24,916","55,488","156,413","87,946","23,796","11,178","9,028","10,548","29,352","46,864","21,869","9,478","17,999","17,726","9,199","99,936","15,334","22,919","27,916","18,391","18,326","26,451","25,441","487,251","122,609","204,046","1,306,394","63,415","44,163","52,496","35,293","368,423","118,410","75,891","24,594","17,921","16,231","16,722","82,075","42,731","101,218","22,960","41,984","22,430","36,931","24,417","73,183","24,906","2,332,392"
Hokkaido,"56,446",-,"1,703",797,"2,257",533,395,901,"1,188",675,676,"4,466","4,714","14,524","6,512",621,312,421,135,209,517,352,"1,388","3,055",422,305,817,"2,142","1,174",258,126,74,112,288,518,192,97,183,193,96,"1,174",95,190,311,163,169,213,783,"30,216","3,829","4,391","64,688","40,192","1,598","1,091",740,"10,938","2,786","1,607",438,315,288,237,"1,269",578,798,133,427,158,270,126,515,184,"57,421"
Aomori-ken,"24,284","1,969",-,"2,184","3,301",987,355,618,431,327,253,"1,872","1,642","4,350","2,440",198,67,78,49,58,88,76,392,564,99,53,169,226,163,61,18,30,27,45,161,87,23,20,38,17,206,24,67,44,33,28,76,270,"10,304",739,619,"9,138",610,"2,303",400,223,"3,127",887,524,177,97,60,108,193,85,100,22,58,25,36,19,58,26,"24,995"
Iwate-ken,"21,758",929,"2,013",-,"4,858",991,443,746,416,332,265,"1,455","1,193","3,633","1,672",146,54,78,17,97,136,59,275,425,119,38,105,277,178,32,21,10,13,53,102,36,16,32,35,37,146,12,27,40,37,27,28,104,"7,953",603,592,"8,793",379,"3,145",410,203,"2,628",692,458,121,73,55,35,181,79,93,18,45,20,57,22,56,23,"22,131"
Miyagi-ken,"48,391","2,126","2,215","3,582",-,"1,802","2,935","4,447",930,962,458,"3,671","3,003","9,192","4,010",627,173,180,81,191,325,119,659,"1,421",187,127,375,"1,223",570,115,66,43,43,168,330,94,38,90,104,45,697,81,100,171,74,120,130,291,"19,876","1,727","2,283","27,462","1,246","11,341","1,172",464,"6,908","1,847",978,280,364,148,135,710,263,435,74,191,124,210,70,402,100,"47,914"
Akita-ken,"16,202",576,962,"1,173","2,721",-,613,531,263,247,166,"1,168","1,094","3,038","1,474",358,51,61,16,65,92,60,191,321,44,37,91,194,102,39,12,5,13,43,38,36,3,7,12,14,90,6,21,29,12,19,34,60,"6,774",425,426,"6,768",260,"2,032",270,213,"2,237",588,359,113,214,40,39,121,69,58,17,34,26,17,11,35,15,"16,463"
Yamagata-ken,"17,342",419,314,430,"3,887",574,-,"1,265",323,392,204,"1,235",976,"3,224","1,440",649,81,88,10,67,154,63,223,290,59,42,124,202,105,29,23,7,6,30,60,29,15,21,18,5,85,13,15,41,11,16,20,58,"6,875",412,460,"7,786",178,"2,826",320,176,"2,347",580,382,108,372,42,37,111,83,73,10,33,18,29,13,28,20,"17,124"
Fukushima-ken,"30,604",757,432,594,"4,694",394,989,-,"1,847","1,498",479,"2,785","2,086","6,122","2,814",818,70,82,85,153,223,85,413,546,133,67,188,522,293,82,59,35,41,99,127,61,28,53,54,36,226,45,68,102,71,41,75,132,"13,807",764,"1,085","12,209",310,"2,935",674,346,"4,404","1,141",667,218,402,69,55,208,124,208,55,102,44,58,63,72,54,"31,363"
Ibaraki-ken,"50,256","1,031",288,292,917,194,269,"1,583",-,"3,346","1,065","5,833","9,044","12,280","4,608",457,153,183,118,251,514,225,849,"1,114",269,190,371,993,638,106,65,37,67,289,313,165,51,127,137,60,593,69,150,188,133,139,184,308,"31,765","1,608","2,108","18,395",434,572,"1,179",902,"9,549","1,963","1,018",297,195,161,128,434,250,362,69,220,100,134,124,218,86,"49,085"
Tochigi-ken,"33,642",582,216,254,888,197,263,"1,231","3,038",-,"2,467","5,520","2,239","7,246","3,160",440,91,116,51,189,433,128,638,783,272,137,217,647,381,86,42,30,35,121,201,63,44,44,76,48,345,57,56,139,60,95,78,198,"18,165","1,183","1,331","12,177",240,531,"1,528",392,"5,515","1,251",729,215,232,110,157,321,148,204,69,109,72,83,69,134,68,"33,465"
