,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi,ÅúTotal
Gumma-ken,"29,266",576,170,169,459,124,151,449,876,"2,346",-,"6,579","1,760","6,557","2,663",949,125,130,39,193,895,145,525,659,120,127,245,524,242,83,33,15,35,79,133,50,32,52,75,29,283,35,67,99,69,50,80,170,"17,559",924,"1,094","10,321",259,309,"1,196",280,"4,830","1,050",621,214,367,95,104,256,180,184,29,76,29,61,31,111,39,"28,633"
Saitama-ken,"148,747","3,736","1,172","1,087","2,934",739,859,"2,063","5,015","4,248","5,519",-,"13,760","59,295","14,167","2,164",432,627,178,916,"2,277",617,"3,000","4,030",709,478,"1,085","4,175","2,106",465,202,175,246,647,"1,135",418,213,434,373,189,"2,927",243,377,704,287,431,665,"1,228",-,"5,356","7,831","89,435","1,846","2,015","17,213","1,708","46,100","5,634","3,375",948,927,514,652,"2,052",738,"1,522",262,767,378,657,411,"1,313",403,"147,059"
Chiba-ken,"132,785","3,504","1,039",898,"2,355",660,666,"1,545","7,521","2,032","1,385","13,405",-,"49,176","14,772","1,372",528,526,214,725,"1,439",546,"2,590","4,001",691,458,"1,172","4,816","2,482",500,206,174,200,707,"1,217",612,198,401,481,219,"2,964",217,525,681,407,453,841,"1,264",-,"5,238","8,970","84,161","1,694","1,621","2,699","15,224","41,573","6,079","3,688",922,639,573,456,"2,133",781,"1,615",348,736,352,681,554,"1,431",362,"137,215"
Tokyo-to,"344,388","10,216","2,729","2,423","6,348","1,977","1,981","4,377","9,435","5,098","4,888","59,480","44,592",-,"75,839","4,503","1,564","1,969",817,"3,396","6,523","1,845","8,735","12,664","1,899","1,283","4,290","15,648","8,192","1,324",771,728,843,"2,302","4,241","1,626",759,"1,537","1,671",882,"10,112",846,"1,678","2,294","1,432","1,687","2,632","4,312",-,"16,408","29,454","171,153","5,864","4,619","10,873","5,611","44,653","28,289","25,115","6,881","2,012","1,931","1,367","7,522","3,244","7,142",885,"2,831","1,313","2,590","1,149","5,839","1,423","347,987"
Kanagawa-ken,"197,467","5,386","1,677","1,273","3,449",839,"1,034","2,130","4,138","2,706","2,229","14,057","14,920","82,030",-,"2,144",771,925,344,"1,638","2,711",969,"7,402","7,264","1,200",833,"2,343","6,958","4,204",824,328,270,325,"1,119","2,752",911,367,639,735,401,"5,047",425,"1,368","1,249",682,797,"1,392","2,262",-,"9,433","14,329","146,933","2,775","2,324","3,174","2,280","57,994","32,543","18,714","9,058",912,"1,311",901,"3,675","1,320","2,558",473,"1,412",512,"1,194",721,"2,435",647,"201,017"
Niigata-ken,"28,587",628,140,175,791,256,511,800,580,478,"1,187","3,296","2,017","7,271","3,072",-,686,634,152,194,"1,229",153,547,765,137,100,347,673,345,80,56,26,24,102,161,95,30,69,51,24,271,32,77,51,52,52,57,113,"15,656","1,055","1,445","19,088",309,563,896,323,"5,281","1,315",737,239,"7,850",125,117,369,252,220,48,131,46,81,39,122,25,"27,858"
Toyama-ken,"13,594",264,69,43,182,38,56,91,150,96,137,488,559,"2,257",871,575,-,"2,167",401,67,286,330,244,"1,184",158,187,411,873,390,121,28,17,34,74,127,40,38,35,28,17,160,15,28,40,26,36,70,86,"4,175","1,672","1,795","4,774",125,118,122,92,"1,681",397,224,63,234,74,66,580,289,321,51,116,38,72,23,75,13,"13,310"
Ishikawa-ken,"18,220",355,89,37,183,39,77,96,189,115,111,746,646,"2,651","1,055",571,"2,064",-,"1,002",85,355,339,404,"1,860",274,363,637,"1,477",665,159,59,37,42,120,204,67,28,97,71,33,363,33,63,71,40,53,69,126,"5,098","2,473","2,938","6,751",165,126,203,104,"2,057",488,278,55,247,113,121,980,469,590,106,209,69,122,55,153,41,"17,705"
Fukui-ken,"10,682",162,31,20,67,25,26,82,132,54,51,249,313,"1,368",477,134,428,"1,198",-,32,113,254,218,"1,080",180,471,783,"1,291",510,125,42,22,43,66,103,56,17,31,44,21,124,24,39,33,21,35,27,60,"2,407","1,514","2,709","3,683",87,29,54,39,"1,040",199,122,38,57,67,41,515,476,523,86,153,28,41,27,46,15,"10,468"
Yamanashi-ken,"15,135",239,49,73,155,37,44,155,247,171,210,"1,079",895,"5,044","2,097",151,64,96,23,-,948,103,"1,081",435,92,43,138,317,161,34,27,19,16,60,81,37,29,15,60,12,183,25,36,138,34,28,54,100,"9,115",630,650,"5,844",95,91,241,135,"2,726",754,446,317,65,214,123,156,107,111,18,39,23,32,33,60,58,"14,438"
Nagano-ken,"29,679",516,119,124,331,83,109,280,462,411,"1,090","2,670","1,673","7,575","3,309","1,135",289,409,92,906,-,542,944,"2,480",342,212,426,882,434,129,78,39,50,126,178,63,30,74,50,43,346,46,62,92,54,89,90,195,"15,227","3,364","1,871","12,295",238,204,717,273,"5,170","1,316",800,260,527,200,218,"1,107",299,287,81,164,57,93,77,155,52,"28,974"
Gifu-ken,"31,052",364,78,43,173,40,64,157,226,121,139,759,751,"3,044","1,198",106,342,421,228,120,529,-,979,"14,366","1,207",568,653,"1,300",646,191,90,69,35,158,213,126,32,76,105,46,391,43,80,115,59,127,162,312,"5,752",-,"2,790","11,506",153,109,197,105,"2,322",519,280,70,46,220,304,"5,449",450,522,88,230,79,94,92,133,44,"30,181"
Shizuoka-ken,"56,845","1,138",260,250,804,144,183,476,830,680,516,"3,166","2,985","12,142","9,490",402,231,504,194,944,893,951,-,"8,657",853,479,"1,007","1,996","1,198",289,161,116,113,355,486,276,105,162,235,115,"1,026",101,253,353,190,273,310,553,"27,783","10,461","4,490","34,892",442,407,617,492,"8,964","3,470","1,662",598,172,"5,812","5,800","3,402",692,742,133,397,163,233,149,371,174,"56,022"
Aichi-ken,"106,094","2,229",346,362,"1,164",214,206,696,916,708,713,"4,293","4,385","17,244","8,101",656,"1,034","1,764",728,374,"2,111","11,359","7,842",-,"7,059","1,480","2,373","7,798","3,573",912,362,217,266,"1,076","1,607",511,277,492,534,343,"3,486",416,966,"1,010",469,754,"1,074","1,594","34,023",-,"14,656","67,546",981,785,"1,152",672,"13,314","3,838","1,849",478,303,"1,656","2,638","29,639","1,602","2,990",480,"1,147",510,980,520,"1,606",406,"107,031"
Mie-ken,"30,954",377,62,102,209,31,44,196,316,325,144,954,858,"2,747","1,464",104,150,292,171,98,275,"1,188",976,"9,222",-,812,970,"3,386","1,079",983,449,65,74,268,299,150,40,116,107,69,554,87,126,216,138,128,171,362,"6,023",-,"6,418","11,803",147,129,204,129,"2,095",671,331,96,36,179,313,"4,283",615,"1,376",255,333,89,112,102,225,83,"29,211"
Shiga-ken,"26,903",342,32,42,106,27,32,95,208,133,155,609,650,"2,208","1,129",95,200,392,382,44,174,575,440,"1,835",716,-,"5,152","4,980","1,984",559,213,102,140,362,362,150,100,183,168,118,576,55,140,188,114,145,252,239,"4,596","3,126","12,675","11,208",143,60,148,84,"1,690",520,227,68,41,90,98,728,"3,803","1,955",292,517,165,185,115,209,70,"24,477"
Kyoto-fu,"55,767",815,113,95,374,54,85,208,401,187,172,"1,288","1,369","6,130","2,542",270,358,587,682,115,389,540,749,"2,511",816,"5,462",-,"13,393","5,138","2,258",573,280,308,787,"1,129",415,321,446,411,294,"1,252",162,413,343,341,221,437,533,"11,329","3,867",-,"26,109",333,238,342,231,"4,946","1,104",564,118,135,178,199,"1,222","7,692","4,978",631,"1,347",369,495,220,590,177,"54,954"
Osaka-fu,"154,117","1,964",214,229,"1,178",174,196,623,"1,035",659,494,"4,961","5,658","23,598","8,650",530,787,"1,326",970,339,931,"1,218","1,886","8,055","2,649","4,297","12,242",-,"26,772","8,744","4,183",995,906,"2,957","3,763","1,384","1,249","1,812","1,823","1,105","5,535",458,"1,004","1,131",865,969,"1,869","1,730","42,867","11,922",-,"105,910","1,073",886,"1,436",789,"19,156","4,259","2,410",386,274,447,526,"4,374","6,873","36,030","12,883","6,316","1,446","2,091",715,"3,049",491,"154,693"
Hyogo-ken,"95,355","1,193",123,155,555,109,118,364,670,385,291,"2,564","3,368","13,147","5,395",299,394,735,456,143,454,603,"1,094","4,381","1,111","1,847","5,268","29,012",-,"1,837",923,920,628,"2,725","2,660",847,953,"1,320",982,598,"2,723",294,613,592,412,408,819,867,"24,474","6,095",-,"58,453",599,389,784,465,"10,181","2,699","1,329",237,137,267,257,"2,260","3,079","13,796","1,555","15,551","1,337","1,409",487,"1,341",294,"93,275"
Nara-ken,"27,758",289,64,36,125,31,28,98,159,100,66,505,721,"2,375",905,92,111,163,103,33,155,187,344,"1,098",910,649,"3,208","9,570","2,155",-,613,105,107,293,343,214,117,162,172,102,475,45,91,143,75,109,129,183,"4,506","2,195",-,"11,087",115,84,108,109,"1,879",425,233,54,35,90,91,448,"1,139","4,375",616,691,126,158,55,191,65,"27,987"
Wakayama-ken,"15,158",122,27,20,74,20,12,67,76,67,53,315,376,"1,275",447,41,54,64,71,34,57,101,173,587,537,253,758,"5,966","1,333",663,-,50,41,145,180,83,116,85,84,85,224,25,57,60,50,48,74,108,"2,413","1,225","8,720","6,146",59,41,77,35,983,179,120,32,18,34,53,250,479,"2,179",808,477,66,89,53,88,26,"14,289"
Tottori-ken,"10,531",111,17,21,36,10,7,48,65,43,17,211,211,986,336,22,22,64,27,19,39,51,119,318,88,114,407,"1,407","1,051",107,60,-,"1,329",985,903,233,61,120,105,57,334,11,56,41,57,52,60,93,"1,744",457,"2,972","3,817",51,18,46,26,742,170,67,15,9,33,26,89,258,662,106,295,483,526,56,121,18,"10,451"
Shimane-ken,"11,914",72,17,10,62,17,11,49,78,34,26,219,233,"1,033",388,33,22,36,40,18,41,44,116,330,75,107,346,"1,078",697,90,34,"1,412",-,836,"2,347",738,64,137,112,53,431,39,56,72,69,64,67,61,"1,873",449,"2,211","4,576",35,36,42,51,750,150,107,23,12,29,26,136,222,482,44,238,412,"1,475",82,192,32,"12,319"
Okayama-ken,"30,602",339,34,24,182,32,41,101,242,109,112,709,837,"3,251","1,336",108,60,142,88,33,126,156,373,"1,312",248,361,896,"3,527","2,921",256,146,925,701,-,"4,803",823,317,"1,284",859,401,"1,130",121,175,202,186,144,202,227,"6,133","1,716","7,600","18,708",140,129,204,174,"2,484",556,367,80,47,82,72,509,644,"1,594",251,876,"7,666","1,981",234,512,106,"30,089"
Hiroshima-ken,"49,720",591,170,82,344,47,70,181,325,211,110,"1,459","1,607","6,305","3,269",163,107,188,88,64,150,163,512,"1,741",352,431,"1,274","4,800","2,938",385,167,787,"1,905","4,890",-,"3,998",365,"1,048","1,746",389,"3,279",254,725,532,409,283,420,396,"12,640","2,256","9,397","30,797",317,250,411,294,"4,865","1,463",675,147,82,137,108,851,842,"1,986",312,"1,114","2,216","12,247",598,"1,607",275,"49,167"
Yamaguchi-ken,"26,499",212,85,37,127,16,28,57,227,77,50,696,830,"2,479","1,213",73,42,100,44,36,60,142,502,772,139,170,496,"1,478","1,041",169,82,248,613,925,"4,773",-,175,229,381,92,"4,995",293,526,327,411,292,437,302,"5,218","1,053","3,184","11,810",70,77,150,127,"1,809",534,257,95,34,51,246,268,329,628,79,361,475,"2,721","1,567","1,764",168,"25,927"
Tokushima-ken,"11,712",78,28,18,56,3,12,36,73,59,40,238,298,"1,196",443,32,30,38,30,15,48,50,119,364,88,125,347,"1,749","1,175",117,101,63,49,416,422,159,-,"1,614",747,557,252,39,81,65,46,34,73,89,"2,175",502,"3,388","3,839",33,19,82,47,946,159,99,25,24,21,29,152,214,834,120,459,237,151,44,108,36,"11,705"
Kagawa-ken,"18,491",180,14,28,151,10,10,71,144,58,55,478,597,"2,088",680,37,45,59,23,23,58,81,165,527,102,144,594,"2,296","1,365",142,77,89,89,"1,344","1,039",217,"1,174",-,"2,075",881,619,34,135,117,79,87,97,113,"3,843",710,"4,397","6,832",81,121,152,97,"1,663",324,199,37,14,47,33,267,416,"1,024",150,448,728,563,119,269,80,"19,863"
Ehime-ken,"21,595",191,31,36,122,15,16,113,158,84,115,538,706,"2,479",935,53,39,66,47,68,82,105,233,725,170,164,592,"2,336","1,406",148,83,104,129,"1,102","1,991",431,789,"2,375",-,"1,060",859,74,97,149,236,84,133,126,"4,658","1,000","4,482","7,957",91,80,108,101,"1,901",416,243,51,31,54,62,304,441,"1,061",139,510,654,"1,024",175,430,81,"21,358"
Kochi-ken,"11,477",101,22,12,38,12,12,44,57,49,33,290,308,"1,333",515,34,12,34,20,31,60,52,136,448,87,114,356,"1,545",798,122,60,52,72,581,494,119,547,"1,108","1,115",-,232,22,54,54,89,62,57,84,"2,446",587,"2,821","3,946",55,19,78,55,993,225,132,42,16,28,32,168,247,715,115,283,338,239,42,90,34,"11,560"
Fukuoka-ken,"96,333","1,100",201,154,689,77,69,350,710,429,307,"3,108","3,925","14,073","5,903",264,165,431,100,173,311,345,"1,110","4,120",594,528,"1,506","6,203","2,816",411,159,280,368,"1,151","3,257","3,532",214,564,687,197,-,"6,209","6,380","7,342","5,909","3,007","4,609","2,296","27,009","5,059","10,936","67,242",538,487,758,669,"11,045","2,857","1,425",321,158,234,295,"1,851","1,090","2,444",432,"1,028",680,"2,035","10,342","24,733","3,820","95,762"
Saga-ken,"18,005",104,20,16,49,7,21,55,121,65,42,330,340,"1,341",594,38,27,41,11,6,41,55,107,577,101,92,199,557,334,57,20,13,52,122,403,279,55,37,84,29,"7,667",-,"1,674",902,458,311,392,159,"2,605",733,"1,147","6,906",37,24,85,38,998,242,185,27,24,22,22,173,143,203,39,114,70,188,544,"3,217",511,"17,494"
Nagasaki-ken,"28,767",169,67,22,111,13,21,103,180,72,86,581,742,"2,616","1,614",54,51,61,23,57,84,98,240,"1,285",169,156,347,"1,112",780,102,41,77,71,224,899,581,58,122,123,49,"9,117","1,957",-,"1,534",813,484,933,668,"5,553","1,552","2,341","12,378",57,61,144,119,"1,992",641,330,74,28,66,41,449,209,468,77,313,121,309,870,"5,118",891,"29,206"
Kumamoto-ken,"31,849",243,23,31,156,22,48,117,239,110,107,879,831,"3,426","1,630",58,51,82,47,125,93,117,325,"1,369",269,208,464,"1,398",682,108,51,46,105,274,627,439,42,153,143,70,"8,905",819,"1,288",-,"1,333","1,385","2,335",576,"6,766","1,755","2,652","21,245",94,86,165,129,"2,598",658,381,134,26,56,60,448,332,528,104,175,121,349,907,"4,178","9,716","31,031"
Oita-ken,"20,803",170,35,52,76,16,5,106,162,58,75,415,561,"2,001",958,52,27,69,19,30,39,79,258,596,199,141,309,899,531,82,56,42,46,226,469,409,43,90,226,61,"6,940",421,735,"1,309",-,920,551,239,"3,935",874,"1,821","8,991",58,54,98,84,"1,546",393,273,53,31,38,38,219,224,347,58,168,128,221,"1,187","2,981",792,"21,548"
Miyazaki-ken,"21,788",216,29,32,200,11,18,89,154,93,98,564,653,"2,411","1,200",35,40,80,22,32,48,103,255,937,171,155,330,"1,011",488,93,45,52,45,150,315,319,58,78,105,66,"4,070",324,509,"1,618",960,-,"3,086",420,"4,828","1,211","1,922","8,221",71,77,122,92,"1,712",441,320,89,16,32,66,277,234,421,79,153,74,154,451,"2,274","1,066","22,017"
Kagoshima-ken,"31,749",284,45,40,147,24,26,119,208,111,111,795,"1,003","3,725","1,837",76,67,75,40,63,79,152,358,"1,426",215,291,547,"1,969",941,175,93,53,67,255,496,414,61,117,158,63,"6,191",483,"1,063","2,482",667,"3,146",-,991,"7,360","1,793","3,632","12,663",102,66,140,129,"2,740",731,449,114,27,64,53,450,341,806,144,321,137,211,716,"3,461","1,461","32,167"
Okinawa-ken,"25,425",619,140,59,230,45,40,200,269,157,150,"1,297","1,461","4,598","2,371",113,78,151,50,113,160,333,510,"1,916",405,217,513,"1,587",769,144,74,73,74,207,402,284,89,108,133,71,"2,331",205,608,502,258,424,887,-,"9,727","2,654","3,013","9,952",234,129,214,222,"3,351",967,535,168,44,74,137,516,287,668,116,269,108,173,338,"1,067",335,"23,983"
Tokyo Area,"367,894","22,842","6,617","5,681","15,086","4,215","4,540","10,115","26,109","14,084","14,021",-,-,-,-,"10,183","3,295","4,047","1,553","6,675","12,950","3,977","21,727","27,959","4,499","3,052","8,890","31,597","16,984","3,113","1,507","1,347","1,614","4,775","9,345","3,567","1,537","3,011","3,260","1,691","21,050","1,731","3,948","4,928","2,808","3,368","5,530","9,066",-,"36,435","60,584","101,334","12,179","10,579",-,-,-,-,-,-,"4,490","4,329","3,376","15,382","6,083","12,837","1,968","5,746","2,555","5,122","2,835","11,018","2,835","377,248"
Nagora Area,"123,699","2,970",486,507,"1,546",285,314,"1,049","1,458","1,154",996,"6,006","5,994","23,035","10,763",866,"1,526","2,477","1,127",592,"2,915",-,"9,797",-,-,"2,860","3,996","12,484","5,298","2,086",901,351,375,"1,502","2,119",787,349,684,746,458,"4,431",546,"1,172","1,341",666,"1,009","1,407","2,268","45,798",-,"23,864","51,484","1,281","1,023","1,553",906,"17,731","5,028","2,460",644,385,"2,055","3,255",-,"2,667","4,888",823,"1,710",678,"1,186",714,"1,964",533,"123,253"
Osaka Area,"213,400","4,261",514,515,"2,232",368,427,"1,293","2,265","1,331","1,023","9,318","11,116","45,250","17,492","1,191","1,650","2,811","2,211",630,"1,929","2,548","4,073","16,045","5,486","12,255",-,-,-,-,"6,292","2,300","1,949","6,762","7,895","2,860","2,640","3,740","3,388","2,099","9,985",959,"2,121","2,209","1,693","1,707","3,254","3,313","83,176","24,079",-,"84,007","2,120","1,597","2,670","1,594","36,162","8,487","4,536",795,581,982,"1,073","8,304",-,-,-,-,"3,278","4,153","1,477","5,171","1,027","211,113"
Total of 21 major cities,"1,181,098","47,335","5,879","6,251","23,520","4,424","5,320","10,252","15,291","9,211","8,281","88,836","81,732","192,697","146,003","13,015","3,847","5,700","2,589","4,376","10,318","8,093","28,764","62,166","8,815","9,467","23,126","96,626","49,063","8,219","3,985","2,975","3,751","15,663","25,270","8,754","2,655","5,582","5,833","2,843","61,011","5,051","8,606","17,147","6,995","6,045","9,688","10,028","129,798","45,164","68,007","397,797","10,899","9,467","16,417","9,353","115,473","52,973","41,159","8,564","3,677","5,277","4,500","19,163","10,676","27,074","7,735","10,353","4,922","8,883","6,455","19,769","5,008",***
Sapporo-shi,"55,242","28,198",463,317,"1,231",224,145,374,439,232,276,"2,160","2,258","7,963","3,246",263,148,211,49,79,226,138,484,"1,387",164,99,389,"1,182",547,97,48,39,39,129,276,68,44,109,84,43,591,53,75,153,67,43,81,311,"15,627","1,689","2,215","13,547",-,993,607,363,"6,220","1,495",806,224,161,123,67,731,290,453,68,209,83,168,47,344,95,"56,619"
Sendai-shi,"42,933","1,469","1,478","2,207","10,674","1,291","1,963","2,665",573,512,276,"2,549","2,053","6,543","2,707",413,112,136,43,115,226,73,403,908,107,75,250,905,372,75,38,22,24,111,238,59,25,62,84,24,524,49,56,120,43,62,55,164,"13,852","1,088","1,602","11,784",985,-,918,344,"4,990","1,282",688,175,264,115,94,533,186,304,54,137,85,163,53,331,83,"42,136"
Saitama-shi,"45,575",820,221,232,879,183,220,473,949,976,891,"15,054","2,625","10,896","3,023",573,115,120,40,192,598,103,548,"1,051",148,94,259,"1,182",538,110,40,35,57,160,299,108,55,108,101,44,709,55,74,120,71,83,138,205,-,"1,302","2,089","15,593",481,665,-,399,"9,033","1,308",697,159,303,139,81,608,198,416,69,201,99,189,94,377,77,"45,464"
Chiba-shi,"33,656",607,137,162,405,114,111,274,750,324,209,"1,682","14,166","6,938","2,261",218,83,71,27,114,210,78,458,623,116,92,206,727,378,73,23,28,42,140,231,79,32,77,94,35,535,28,73,144,52,71,148,210,-,817,"1,384","10,446",292,284,476,-,"5,814","1,032",548,125,101,106,93,357,155,256,48,120,55,136,99,277,72,"33,880"
Ku-area of Tokyo,"299,506","7,619","1,955","1,721","4,695","1,463","1,451","3,151","7,207","3,776","3,532","45,513","37,370","41,245","53,335","3,235","1,148","1,483",646,"1,914","4,210","1,321","6,289","9,526","1,380",906,"3,317","12,474","6,335","1,003",576,548,634,"1,698","3,134","1,210",572,"1,187","1,263",644,"7,728",629,"1,271","1,695","1,067","1,222","1,960","3,248",-,"12,227","23,129","94,388","4,480","3,484","8,557","4,509",-,"21,626","18,714","2,416","1,483","1,439",957,"5,819","2,509","5,960",687,"2,174",976,"1,959",853,"4,700","1,086","301,801"
Yokohama-shi,"114,384","2,426",587,546,"1,565",353,418,841,"1,735","1,033",830,"5,687","6,240","32,287","33,291",859,316,408,161,616,"1,084",429,"2,689","3,366",509,343,908,"3,445","2,064",354,145,126,144,548,"1,097",401,161,290,342,191,"2,152",175,549,523,298,292,555,"1,005",-,"4,304","6,771","54,449","1,311","1,109","1,410","1,028","24,972",-,"13,133","2,922",420,546,401,"1,795",630,"1,205",236,744,246,615,290,"1,147",289,"118,340"
Kawasaki-shi,"68,022","1,166",326,281,780,192,222,507,897,518,503,"3,275","3,523","24,474","18,541",482,176,225,87,273,591,183,"1,125","1,609",236,166,388,"1,697",961,157,62,70,67,236,528,173,66,173,161,85,"1,202",105,205,263,162,192,262,449,-,"2,028","3,203","38,739",651,554,754,529,"17,467","13,139",-,"1,350",220,242,171,895,259,673,101,336,120,304,154,700,120,"69,517"
