,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi
Gumma-ken,"28,447",570,193,178,451,162,162,382,980,"2,452",-,"6,098","1,678","6,057","2,612",897,100,120,51,178,997,96,458,630,105,154,285,547,330,69,43,17,31,154,121,57,42,69,73,31,292,48,53,97,35,60,91,141,"16,445",831,"1,231","9,792",259,301,"1,016",284,"4,488","1,126",510,206,402,115,52,220,201,173,31,97,62,54,41,124,30
Saitama-ken,"147,663","3,762","1,269","1,049","3,351",879,860,"1,897","4,937","4,362","5,284",-,"12,372","57,590","13,794","2,254",432,629,211,938,"2,368",613,"3,094","3,950",769,533,"1,117","4,351","2,204",429,189,210,214,681,"1,276",472,226,406,427,285,"3,169",289,490,917,428,566,768,"1,352",-,"5,332","8,101","87,016","1,756","2,373","16,249","1,662","44,527","5,503","3,276","1,041",987,557,761,"1,929",751,"1,405",307,668,391,667,490,"1,328",388
Chiba-ken,"140,839","3,889","1,162",986,"2,835",667,670,"1,366","7,729","1,927","1,573","14,055",-,"50,189","15,561","1,547",458,604,222,715,"1,618",631,"2,704","4,090",702,550,"1,272","5,527","3,200",572,327,156,238,854,"1,442",641,264,498,537,238,"3,569",263,607,753,482,550,919,"1,480",-,"5,423","10,571","86,905","1,915","2,010","2,865","15,143","42,210","6,626","3,641",896,747,634,461,"2,132",814,"1,614",385,950,449,766,646,"1,711",290
Tokyo-to,"343,777","11,016","2,929","2,808","7,223","2,166","2,193","4,229","8,936","5,328","4,765","58,200","40,762",-,"72,975","4,857","1,600","1,877",886,"3,743","6,244","1,939","8,928","12,308","1,788","1,417","4,478","15,862","8,666","1,503",781,701,887,"2,602","4,597","1,858",855,"1,674","1,724",981,"10,867",891,"1,845","2,747","1,539","1,827","3,002","4,773",-,"16,035","30,509","167,135","6,219","5,312","9,709","5,345","43,138","27,724","23,223","6,917","2,058","1,954","1,529","7,252","3,404","6,628",853,"2,777","1,484","2,778","1,437","6,160","1,234"
Kanagawa-ken,"199,306","5,442","1,974","1,443","3,870",943,"1,197","2,102","4,174","2,816","2,275","13,762","14,116","78,674",-,"2,294",767,915,356,"1,917","2,848","1,055","7,753","7,086","1,386",940,"2,345","7,568","4,650",943,373,268,325,"1,337","2,632","1,069",423,712,768,437,"6,026",490,"1,385","1,479",852,975,"1,594","2,550",-,"9,527","15,506","145,932","2,767","2,683","3,065","2,285","55,574","33,139","18,407","8,692",974,"1,459",996,"3,720","1,443","2,481",452,"1,477",704,"1,184",996,"2,899",535
Niigata-ken,"27,811",718,198,201,927,275,506,786,633,469,"1,024","3,091","1,920","6,687","2,908",-,711,673,161,202,"1,225",114,519,768,181,124,317,624,377,85,34,29,30,118,172,77,8,51,54,33,339,26,42,68,55,43,72,136,"14,606","1,063","1,403","18,239",348,650,809,370,"4,776","1,302",669,210,"7,530",135,93,355,211,215,34,143,49,93,74,146,27
Toyama-ken,"13,353",304,60,66,169,50,58,75,139,105,98,524,520,"1,954",903,585,-,"2,103",418,68,275,351,295,"1,129",181,252,399,879,444,52,46,18,27,103,126,61,23,46,34,10,112,19,35,54,14,38,48,83,"3,901","1,661","1,774","4,560",125,102,155,65,"1,452",408,219,59,272,80,73,555,272,334,59,128,53,67,13,55,14
Ishikawa-ken,"17,684",333,70,61,250,39,50,84,203,130,147,652,612,"2,458","1,071",477,"1,989",-,972,46,287,407,451,"1,863",238,484,653,"1,369",598,124,65,74,34,107,195,80,22,48,56,28,333,35,46,78,73,62,111,119,"4,793","2,508","2,744","6,331",156,174,152,114,"1,794",496,269,59,247,132,126,951,450,524,78,195,66,126,44,135,43
Fukui-ken,"10,460",171,66,18,87,19,19,93,154,40,44,241,248,"1,148",480,105,434,"1,277",-,41,102,245,249,995,148,502,856,"1,246",495,98,37,23,52,70,126,35,24,36,43,31,115,21,29,33,29,20,49,66,"2,117","1,388","2,695","3,553",70,45,59,29,898,211,115,27,50,63,64,462,499,541,66,173,43,64,29,34,11
Yamanashi-ken,"14,294",239,41,80,309,65,32,124,350,153,191,"1,043",793,"4,556","1,975",171,56,68,49,-,810,101,"1,115",435,75,49,129,255,190,49,26,5,16,43,59,20,21,31,36,17,135,14,41,119,28,31,51,98,"8,367",611,623,"5,437",114,217,226,130,"2,400",671,403,290,72,191,119,174,85,87,17,74,29,27,23,58,30
Nagano-ken,"29,076",538,157,192,391,119,170,250,546,409,989,"2,524","1,634","7,010","2,975","1,202",361,379,145,888,-,638,942,"2,415",300,198,493,874,455,148,53,47,37,114,128,63,43,71,78,51,298,45,68,110,70,100,106,252,"14,143","3,353","1,970","11,493",229,271,611,296,"4,725","1,187",696,278,512,212,183,"1,068",347,299,63,173,54,66,57,140,26
Gifu-ken,"30,546",342,89,51,212,38,32,103,218,145,139,744,742,"2,691","1,266",157,415,446,233,115,559,-,"1,032","13,827","1,236",580,588,"1,265",696,189,125,51,68,150,179,112,55,89,94,55,407,44,103,155,81,125,180,323,"5,443",-,"2,738","10,611",119,120,180,131,"2,016",572,261,79,52,237,292,"5,006",397,486,90,188,74,75,73,131,32
Shizuoka-ken,"55,921","1,387",394,304,878,197,210,402,834,562,580,"3,107","2,748","10,926","9,374",395,243,433,188,944,881,"1,048",-,"8,652",907,473,942,"1,954","1,126",297,139,145,100,373,492,244,123,188,272,159,"1,149",147,197,384,218,316,348,541,"26,155","10,607","4,319","34,199",518,494,668,481,"8,061","3,606","1,519",592,171,"6,080","5,701","3,401",677,686,118,344,154,248,206,359,115
Aichi-ken,"103,032","2,511",448,331,"1,435",231,233,403,932,731,666,"3,972","4,116","15,186","7,732",632,"1,036","1,587",821,375,"2,102","11,611","7,850",-,"7,056","1,442","2,253","7,229","3,664",890,439,236,267,900,"1,522",541,281,431,515,304,"3,493",442,960,"1,027",508,809,"1,296","1,586","31,006",-,"14,036","63,080","1,095",975,"1,073",636,"11,592","3,741","1,774",404,294,"1,622","2,557","27,740","1,569","2,587",499,"1,218",449,853,588,"1,530",284
Mie-ken,"29,859",343,70,193,219,42,42,112,257,347,112,836,817,"2,501","1,406",125,177,283,108,72,316,"1,160",969,"8,508",-,743,949,"3,418","1,073","1,019",526,58,65,260,311,142,84,147,118,62,555,82,169,198,215,168,172,310,"5,560",-,"6,459","10,898",143,134,154,138,"1,798",665,294,92,49,198,258,"3,788",597,"1,271",453,328,108,88,134,164,44
Shiga-ken,"25,173",322,39,30,180,22,54,75,204,136,126,546,562,"1,872","1,010",71,203,353,411,43,175,527,519,"1,672",738,-,"4,711","4,394","1,981",500,198,105,101,313,379,162,77,151,152,103,635,77,147,220,162,179,312,224,"3,990","2,937","11,586","10,121",137,120,152,80,"1,368",408,264,46,34,115,105,637,"3,447","1,715",266,495,160,184,116,218,54
Kyoto-fu,"54,239",699,167,124,376,78,75,162,358,194,175,"1,109","1,313","5,251","2,426",261,417,583,645,81,374,507,820,"2,388",775,"5,969",-,"13,081","5,201","2,346",510,318,297,702,"1,072",403,259,435,464,232,"1,249",164,444,389,241,230,454,421,"10,099","3,670",-,"24,597",311,235,289,201,"4,191","1,058",543,120,128,222,193,"1,133","7,684","4,552",558,"1,485",364,391,215,582,142
Osaka-fu,"149,466","1,987",224,222,"1,261",131,147,382,982,607,482,"4,320","5,103","20,158","8,637",564,757,"1,288","1,020",265,779,"1,141","1,927","7,715","2,818","4,263","11,390",-,"27,082","9,012","4,343","1,033",948,"3,052","3,816","1,272","1,354","2,151","1,849","1,222","5,459",545,924,"1,268",989,"1,043","1,953","1,581","38,218","11,674",-,"99,385","1,082","1,002","1,228",763,"16,112","4,352","2,237",399,285,437,521,"3,915","6,373","33,411","13,526","6,284","1,398","1,981",792,"2,848",439
Hyogo-ken,"92,145","1,147",140,164,780,98,89,231,674,460,287,"2,392","3,053","11,395","5,429",297,347,604,429,155,413,566,"1,163","4,077","1,016","1,817","5,153","28,053",-,"1,870","1,049",863,640,"2,715","2,668",840,"1,004","1,304","1,167",621,"2,762",305,612,609,527,484,914,762,"22,269","5,659",-,"55,190",556,552,682,507,"8,953","2,833","1,292",224,149,262,256,"2,094","2,864","12,635","1,513","15,213","1,245","1,336",485,"1,331",208
Nara-ken,"27,362",285,60,45,126,28,21,46,152,80,93,579,626,"2,065",940,64,79,136,139,50,131,216,318,"1,127",999,622,"2,976","9,440","2,137",-,654,70,116,323,513,218,123,167,172,147,498,67,78,124,74,109,167,162,"4,210","2,342",-,"10,351",100,91,134,99,"1,591",433,244,55,27,61,78,432,"1,101","3,990",649,627,157,161,63,222,36
Wakayama-ken,"14,139",112,25,20,80,4,15,30,96,37,44,251,324,"1,051",420,38,35,69,45,31,68,107,171,497,486,272,677,"5,890","1,135",633,-,36,34,140,196,66,102,103,54,76,214,49,63,55,41,89,74,84,"2,046","1,090","8,335","5,600",49,57,71,47,773,190,100,27,24,37,51,219,478,"2,033",800,345,63,90,55,73,18
Tottori-ken,"10,572",95,39,16,62,16,3,43,81,40,24,224,217,896,478,29,43,38,29,16,48,77,116,327,80,123,359,"1,375","1,000",127,58,-,"1,363","1,008",898,239,62,139,125,50,293,41,51,42,40,33,59,50,"1,815",484,"2,861","3,831",31,35,37,46,643,251,88,34,9,28,22,109,249,642,85,289,527,525,64,98,19
Shimane-ken,"11,856",81,21,19,71,5,8,26,91,32,16,224,249,945,379,32,40,29,49,21,46,50,109,301,73,107,327,"1,143",720,101,48,"1,410",-,914,"2,233",684,75,121,138,55,460,37,72,71,48,51,59,65,"1,797",424,"2,291","4,614",35,51,64,59,693,163,95,23,12,26,25,132,208,476,75,268,431,"1,427",106,221,24
Okayama-ken,"29,769",290,36,66,205,37,33,88,208,112,106,663,820,"2,876","1,361",95,54,113,58,50,117,140,361,"1,279",207,410,837,"3,422","2,943",283,130,834,665,-,"4,631",873,358,"1,342",788,351,"1,226",83,168,255,184,169,239,203,"5,720","1,626","7,485","18,047",142,138,198,160,"2,096",609,366,69,34,98,55,487,586,"1,422",232,904,"7,682","1,912",244,528,85
Hiroshima-ken,"49,574",489,181,64,437,48,41,116,339,160,132,"1,268","1,640","5,439","3,137",133,117,162,84,65,129,149,528,"1,795",468,409,"1,286","4,628","3,096",439,167,882,"1,989","5,106",-,"4,141",443,"1,092","1,741",357,"3,509",242,779,578,429,295,449,396,"11,484","2,412","9,449","29,998",264,326,375,263,"4,048","1,355",663,174,75,141,115,934,839,"1,799",284,"1,114","2,375","12,310",715,"1,638",191
Yamaguchi-ken,"26,117",171,66,29,121,22,48,56,207,78,53,640,719,"2,323","1,199",68,51,81,60,25,63,167,515,735,155,219,484,"1,486",944,121,65,265,611,927,"4,918",-,199,231,435,123,"5,037",231,484,457,369,264,345,250,"4,881","1,057","3,035","11,815",70,80,125,97,"1,657",504,265,69,25,37,328,272,335,545,127,352,513,"2,779","1,731","1,726",178
Tokushima-ken,"11,363",114,28,11,49,3,9,19,85,50,28,196,272,"1,083",455,19,27,16,14,31,44,53,100,370,74,125,351,"1,641","1,226",106,95,44,62,341,413,129,-,"1,560",831,551,257,36,98,56,49,37,104,101,"2,006",497,"3,324","3,539",53,25,57,23,846,198,93,23,9,12,18,160,260,758,89,407,183,143,36,121,25
Kagawa-ken,"18,794",185,18,28,102,12,14,54,106,73,67,400,417,"1,911",776,48,36,54,34,17,61,62,214,579,88,141,535,"2,284","1,462",177,81,105,108,"1,447","1,046",243,"1,342",-,"2,108",963,693,56,112,137,108,67,93,130,"3,504",729,"4,458","6,741",92,83,105,86,"1,483",355,227,44,27,57,31,264,385,938,144,517,790,583,92,378,60
Ehime-ken,"21,114",176,16,27,116,12,22,50,144,62,56,504,610,"2,336",854,44,46,80,50,41,78,106,231,673,130,201,541,"2,440","1,412",155,84,76,127,"1,011","1,897",388,871,"2,509",-,"1,059",885,65,143,171,247,116,140,112,"4,304",909,"4,548","7,444",72,92,133,101,"1,707",397,206,24,23,74,38,298,374,"1,050",170,490,567,943,185,429,71
Kochi-ken,"11,514",79,20,12,65,7,11,22,86,52,26,253,300,"1,175",516,23,34,39,20,10,38,50,107,418,91,133,340,"1,426",858,109,84,114,64,528,391,82,824,"1,219","1,197",-,285,35,50,72,58,82,60,49,"2,244",559,"2,733","3,626",31,34,71,58,851,229,122,34,10,21,20,148,250,702,86,318,284,157,46,125,29
Fukuoka-ken,"94,164","1,153",184,157,761,76,77,190,654,419,297,"3,095","3,347","12,564","5,532",309,153,495,111,152,305,408,"1,141","3,739",598,630,"1,518","5,955","2,907",465,190,271,387,"1,045","3,071","3,758",177,605,793,241,-,"6,241","6,657","7,548","5,922","3,077","4,707","2,082","24,538","4,745","10,845","62,712",526,584,836,526,"9,574","2,542","1,396",312,159,210,346,"1,709","1,092","2,167",350,952,563,"1,877","10,367","23,757","2,867"
Saga-ken,"17,184",123,29,6,44,10,22,46,96,77,43,256,327,"1,178",606,34,13,25,15,42,36,48,127,607,96,112,148,596,317,66,26,26,48,143,315,260,36,53,65,19,"7,059",-,"1,775",795,468,322,465,164,"2,367",751,"1,127","6,181",63,28,50,45,853,232,140,46,15,35,23,182,97,207,59,113,75,166,541,"2,871",340
Nagasaki-ken,"28,764",140,81,33,88,11,14,80,142,63,75,531,639,"2,499","1,719",51,54,86,35,32,51,87,245,"1,278",190,146,361,"1,146",769,98,56,70,90,233,813,715,58,98,150,59,"9,272","1,956",-,"1,497",906,530,915,602,"5,388","1,555","2,374","11,987",57,51,136,91,"1,845",743,321,89,29,43,40,456,194,451,89,276,119,274,958,"5,097",628
Kumamoto-ken,"30,836",265,35,53,153,17,30,95,217,119,98,734,771,"3,033","1,476",42,71,55,30,95,114,132,340,"1,247",451,239,428,"1,382",745,109,48,44,77,248,577,413,49,134,170,70,"8,761",843,"1,354",-,"1,306","1,353","2,308",505,"6,014","1,830","2,664","17,992",115,86,167,111,"2,301",535,346,116,23,60,64,396,293,483,98,233,134,307,930,"4,074","7,120"
Oita-ken,"21,204",145,30,44,66,22,16,45,140,46,83,377,489,"1,844",939,32,44,50,32,32,73,84,204,614,471,147,298,928,503,108,47,36,69,212,481,404,82,127,237,69,"6,870",458,849,"1,459",-,887,711,300,"3,649","1,169","1,837","8,294",71,53,103,66,"1,388",427,222,40,14,22,33,196,208,324,65,134,103,203,"1,218","2,790",614
Miyazaki-ken,"21,745",195,39,29,152,25,8,52,163,99,56,534,632,"2,164","1,081",48,34,72,24,32,78,119,264,955,154,199,294,"1,114",540,80,66,40,52,180,299,331,28,70,119,53,"4,215",297,516,"1,680","1,043",-,"3,129",391,"4,411","1,228","2,028","7,616",47,71,101,103,"1,520",410,274,58,24,25,95,272,210,442,91,162,93,142,562,"2,148",766
Kagoshima-ken,"31,823",239,71,38,142,13,44,77,237,93,90,844,955,"3,365","1,858",95,72,74,41,68,90,183,305,"1,374",226,267,517,"2,086","1,029",173,72,70,56,298,517,364,60,127,162,56,"6,263",509,"1,030","2,607",792,"3,246",-,928,"7,022","1,783","3,805","12,279",85,74,206,147,"2,448",694,455,144,38,51,54,433,337,880,137,330,178,244,787,"3,501","1,056"
Okinawa-ken,"24,156",573,148,83,293,41,37,102,274,140,184,"1,147","1,251","4,132","2,211",114,70,134,49,74,163,334,531,"1,880",384,250,457,"1,572",668,165,71,50,41,272,408,252,109,114,155,67,"2,285",181,684,502,289,401,814,-,"8,741","2,598","2,862","9,477",239,158,215,172,"3,067",863,518,147,58,95,149,567,269,675,126,258,126,207,314,"1,045",209
Tokyo Area,"389,535","24,109","7,334","6,286","17,279","4,655","4,920","9,594","25,776","14,433","13,897",-,-,-,-,"10,952","3,257","4,025","1,675","7,313","13,078","4,238","22,479","27,434","4,645","3,440","9,212","33,308","18,720","3,447","1,670","1,335","1,664","5,474","9,947","4,040","1,768","3,290","3,456","1,941","23,631","1,933","4,327","5,896","3,301","3,918","6,283","10,155",-,"36,317","64,687","106,131","12,657","12,378",-,-,-,-,-,-,"4,766","4,604","3,747","15,033","6,412","12,128","1,997","5,872","3,028","5,395","3,569","12,098","2,447"
Nagora Area,"120,039","3,196",607,575,"1,866",311,307,618,"1,407","1,223",917,"5,552","5,675","20,378","10,404",914,"1,628","2,316","1,162",562,"2,977",-,"9,851",-,-,"2,765","3,790","11,912","5,433","2,098","1,090",345,400,"1,310","2,012",795,420,667,727,421,"4,455",568,"1,232","1,380",804,"1,102","1,648","2,219","42,009",-,"23,233","48,055","1,357","1,229","1,407",905,"15,406","4,978","2,329",575,395,"2,057","3,107",-,"2,563","4,344","1,042","1,734",631,"1,016",795,"1,825",360
Osaka Area,"205,471","4,118",591,555,"2,543",335,332,821,"2,166","1,341","1,037","8,400","10,095","38,869","17,432","1,186","1,600","2,611","2,233",551,"1,697","2,430","4,228","15,307","5,608","12,671",-,-,-,-,"6,556","2,284","2,001","6,792","8,069","2,733","2,740","4,057","3,652","2,222","9,968","1,081","2,058","2,390","1,831","1,866","3,488","2,926","74,796","23,345",-,"77,058","2,049","1,880","2,333","1,570","30,847","8,676","4,316",798,589,982,"1,048","7,574",-,-,-,-,"3,164","3,869","1,555","4,983",825
Total of 21 major cities,"1,154,749","48,019","6,424","6,902","23,781","4,587","5,638","8,804","14,532","9,478","8,070","86,049","74,837","179,530","142,833","13,768","3,872","5,592","2,686","4,638","10,162","8,383","28,948","60,597","8,970","10,238","22,452","94,242","50,229","8,695","4,087","2,992","3,786","15,962","25,345","9,192","2,831","5,914","6,132","2,847","59,833","4,972","8,694","15,824","7,175","6,161","9,994","10,052","117,104","43,665","69,088","378,694","11,117","11,001","14,744","8,947","105,130","52,105","38,993","8,127","3,811","5,436","4,556","18,334","10,674","24,317","7,350","10,418","5,015","8,616","6,948","19,079","3,976"
Sapporo-shi,"54,620","28,282",488,399,"1,406",207,172,264,456,284,283,"2,185","2,001","7,425","3,270",255,141,191,59,91,229,135,534,"1,297",151,143,399,"1,095",651,130,40,28,36,115,287,76,41,68,85,25,528,46,60,64,65,56,104,273,"14,881","1,583","2,275","13,028",-,"1,094",632,362,"5,674","1,527",856,178,135,132,92,661,295,398,69,248,63,196,52,338,26
Sendai-shi,"39,648","1,430","1,481","2,352","9,068","1,235","1,983","1,980",625,546,293,"2,319","1,893","5,892","2,663",486,71,129,33,89,202,88,396,843,106,107,300,861,435,78,24,24,28,108,209,68,25,76,85,26,522,34,48,89,39,48,68,143,"12,767","1,037","1,674","10,881",894,-,788,333,"4,437","1,203",704,189,297,100,80,478,229,276,50,160,67,147,81,311,57
Saitama-shi,"44,824",868,206,213,985,202,205,454,928,"1,029",772,"15,328","2,233","10,021","2,982",568,99,124,44,188,556,109,541,"1,002",147,143,289,"1,227",550,101,39,44,44,168,392,126,52,88,84,82,739,66,109,136,96,103,145,197,-,"1,258","2,167","14,906",492,774,-,311,"8,228","1,261",729,210,302,139,99,612,212,384,83,190,104,231,110,372,63
Chiba-shi,"33,584",664,179,138,529,106,100,235,703,285,221,"1,631","13,661","6,885","2,424",245,78,83,26,86,246,108,411,632,97,76,222,798,509,86,47,34,39,142,261,70,39,64,94,21,609,29,102,123,75,54,144,173,-,837,"1,615","10,562",330,380,399,-,"5,751","1,117",506,133,144,89,64,356,139,240,65,159,74,144,116,310,46
Ku-area of Tokyo,"294,607","8,207","2,099","2,012","5,283","1,618","1,642","3,082","6,621","3,968","3,404","44,132","33,594","40,182","49,919","3,548","1,174","1,411",693,"2,003","4,221","1,402","6,450","9,107","1,260","1,048","3,393","12,496","6,665","1,092",586,550,640,"1,928","3,530","1,297",643,"1,283","1,264",710,"8,199",664,"1,400","2,062","1,130","1,268","2,156","3,571",-,"11,769","23,646","91,134","4,790","3,956","7,505","4,347",-,"20,614","16,968","2,231","1,534","1,425","1,082","5,637","2,636","5,479",641,"2,160","1,138","2,158",992,"4,909",932
Yokohama-shi,"115,704","2,458",680,637,"1,830",412,480,919,"1,681","1,082",952,"5,235","5,991","30,522","33,878",956,342,407,145,671,"1,187",451,"2,794","3,385",666,416,"1,026","3,750","2,424",403,159,125,133,638,"1,062",426,155,337,358,179,"2,670",189,471,597,372,404,554,"1,095",-,"4,502","7,603","53,442","1,326","1,286","1,247","1,001","23,641",-,"12,826","2,832",457,624,420,"1,897",678,"1,150",231,804,339,607,376,"1,469",231
Kawasaki-shi,"68,451","1,163",392,338,898,205,278,433,823,531,491,"3,354","3,222","23,859","18,788",542,174,244,60,342,526,178,"1,105","1,536",261,178,448,"1,907","1,022",186,86,56,69,281,507,186,86,148,196,117,"1,301",114,216,299,194,208,346,557,-,"1,975","3,563","39,291",621,674,802,522,"17,258","13,697",-,"1,272",254,245,155,920,304,673,99,301,152,269,188,765,120
Sagamihara-shi,"24,695",393,140,100,291,67,100,176,321,246,186,"1,160",935,"8,019","8,190",158,52,80,39,278,275,73,559,422,73,81,158,425,255,54,19,21,24,78,114,73,25,45,31,29,270,46,105,90,45,67,141,166,-,568,892,"8,932",184,179,241,173,"3,250","2,549","1,249",-,61,98,93,176,100,148,20,82,52,68,50,135,24
Niigata-shi,"17,501",354,75,116,506,154,268,373,260,189,329,"1,240",854,"2,758","1,219","5,764",238,294,50,68,449,44,218,327,60,41,140,261,175,32,4,12,11,45,95,35,4,22,26,18,178,5,17,31,15,17,30,80,"6,071",431,608,"4,894",205,385,397,167,"2,010",598,298,69,-,62,47,172,94,93,9,68,27,58,42,81,12
