,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi
Total,"2,317,856","49,367","19,305","19,306","53,183","12,503","14,444","23,346","45,714","31,674","27,149","157,961","132,651","400,274","207,908","22,966","12,680","17,263","8,819","13,016","27,020","26,630","51,969","110,624","27,750","26,456","53,821","154,847","90,850","24,671","11,757","9,119","10,657","30,173","46,788","22,482","10,532","18,982","18,608","9,575","102,831","15,814","23,858","29,894","19,544","19,580","28,224","25,271","456,744","121,606","206,448","1,263,387","63,728","48,932","49,528","34,473","344,262","118,939","72,513","24,281","18,210","16,831","16,830","77,413","41,703","93,777","23,623","41,824","22,804","36,441","26,141","72,422","18,712"
Hokkaido,"56,112",-,"1,705","1,011","2,606",531,437,680,"1,246",731,743,"4,397","4,301","13,621","6,697",617,336,391,151,256,606,379,"1,386","3,026",391,386,914,"2,136","1,336",293,117,100,97,309,547,189,97,179,197,79,"1,068",100,199,221,173,225,273,632,"29,016","3,796","4,679","63,558","39,882","1,813","1,066",717,"9,990","2,945","1,579",449,298,281,258,"1,094",628,762,142,459,148,305,148,505,89
Aomori-ken,"24,648","1,984",-,"2,125","3,419",982,458,486,518,328,303,"1,822","1,524","4,516","2,482",200,80,89,57,66,173,115,391,584,94,54,176,281,157,63,42,28,13,38,177,76,17,15,35,14,218,15,91,32,37,51,55,167,"10,344",793,677,"9,208",641,"2,416",395,210,"3,135",873,548,180,84,50,77,172,83,100,26,54,17,36,26,72,13
Iwate-ken,"21,691",816,"1,953",-,"4,616","1,021",456,579,420,354,282,"1,604","1,251","3,605","1,935",151,42,50,27,88,148,75,304,346,188,63,107,274,177,48,18,9,20,52,59,25,11,30,49,19,142,12,20,39,37,46,41,82,"8,395",609,606,"8,743",332,"3,173",416,187,"2,580",794,474,122,75,57,24,113,76,77,26,50,21,36,22,72,16
Miyagi-ken,"47,114","2,096","2,248","3,876",-,"1,769","3,088","3,280","1,017","1,102",550,"3,621","2,904","8,568","4,074",693,141,195,60,146,289,167,733,"1,328",181,155,424,"1,128",608,117,46,51,43,168,281,90,35,102,111,37,711,50,77,192,68,121,129,244,"19,167","1,676","2,277","27,214","1,167","12,011","1,084",484,"6,270","1,775","1,020",323,398,142,124,649,303,366,74,201,92,172,92,384,83
Akita-ken,"16,077",632,"1,001","1,200","2,590",-,611,419,280,223,216,"1,125","1,011","2,977","1,594",322,56,62,25,59,128,63,190,350,55,37,60,209,101,30,8,6,10,38,42,22,14,37,20,15,67,14,19,21,21,27,25,45,"6,707",468,400,"6,592",286,"1,897",279,154,"2,225",660,350,119,189,50,22,125,41,69,11,33,19,19,14,20,10
Yamagata-ken,"17,144",459,405,442,"3,759",569,-,"1,029",366,331,228,"1,231",980,"2,972","1,597",652,70,71,19,49,169,62,230,255,54,48,120,197,151,38,22,9,8,29,40,38,25,21,33,11,90,16,35,88,17,26,23,60,"6,780",371,506,"7,473",187,"2,690",282,189,"2,109",628,357,150,379,42,38,98,79,77,15,40,15,16,12,39,31
Fukushima-ken,"37,189",861,595,792,"5,797",547,"1,587",-,"2,155","1,881",708,"3,396","2,321","6,560","3,402","1,160",108,87,67,237,443,114,455,646,173,97,298,555,414,57,27,52,28,167,165,67,31,58,61,25,313,52,65,102,57,83,69,254,"15,679",933,"1,324","14,511",388,"3,781",872,348,"4,588","1,382",770,263,701,116,59,270,210,177,52,140,58,75,89,130,42
Ibaraki-ken,"49,780","1,194",346,302,999,257,270,"1,314",-,"3,519","1,007","5,576","8,700","11,653","4,578",483,158,166,127,288,555,189,878,958,331,233,447,"1,013",675,139,80,49,66,242,358,187,82,134,132,71,712,103,122,263,172,149,224,279,"30,507","1,478","2,274","18,004",503,644,"1,110",914,"8,970","1,944",987,300,217,149,161,404,291,325,91,226,85,176,159,250,98
Tochigi-ken,"32,960",695,235,277,"1,060",197,265,"1,064","2,954",-,"2,584","5,253","1,945","6,620","3,078",479,113,122,41,157,403,144,687,828,443,141,211,604,388,176,52,15,36,106,189,79,34,57,69,38,464,78,70,125,43,98,107,136,"16,896","1,415","1,379","11,466",281,620,"1,498",310,"4,938","1,180",675,216,221,106,142,290,142,196,62,122,50,108,106,155,48
