,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi
Wakayama-ken,"14,405",158,38,19,65,11,9,38,96,55,26,215,313,"1,171",452,48,37,64,63,37,84,103,144,564,490,215,693,"5,870","1,258",655,-,24,42,162,163,82,107,100,67,52,238,21,37,60,41,69,79,70,"2,151","1,157","8,476","5,797",64,38,45,47,889,197,105,35,18,38,44,233,452,"2,018",785,456,92,73,71,76,21
Tottori-ken,"10,474",85,20,10,67,16,15,43,75,22,23,273,245,992,353,31,22,52,31,11,41,50,101,326,83,135,370,"1,291","1,077",93,68,-,"1,254",981,955,281,85,107,85,59,320,21,58,65,35,41,49,57,"1,863",459,"2,831","3,878",40,35,48,49,742,160,67,30,19,14,27,98,261,586,71,372,457,592,69,96,45
Shimane-ken,"11,687",99,26,18,60,5,16,37,67,27,38,239,236,922,368,35,32,42,55,16,49,33,129,305,72,139,312,"1,180",687,89,61,"1,360",-,755,"2,291",662,90,100,112,65,435,39,73,59,74,64,62,52,"1,765",410,"2,268","4,419",45,31,57,33,688,137,97,21,13,40,29,118,198,494,65,231,363,"1,451",93,186,29
Okayama-ken,"29,652",279,40,55,178,23,26,122,264,105,111,762,790,"2,939","1,308",121,74,121,69,63,112,137,431,"1,012",233,359,898,"3,382","2,978",282,151,788,671,-,"4,608",840,314,"1,326",847,381,"1,150",95,190,220,181,124,243,249,"5,799","1,382","7,540","17,952",147,119,191,181,"2,177",613,335,70,33,92,93,384,601,"1,420",210,938,"7,556","1,911",229,540,112
Hiroshima-ken,"48,887",478,146,63,387,48,56,134,330,178,156,"1,420","1,631","5,838","3,076",142,115,164,69,52,160,174,445,"1,822",315,405,"1,113","4,529","3,037",380,168,814,"2,008","4,868",-,"4,066",485,997,"1,623",414,"3,310",302,736,570,433,319,513,398,"11,965","2,311","9,059","29,860",243,293,406,263,"4,471","1,357",725,167,82,99,128,926,696,"1,878",262,"1,068","2,177","12,065",643,"1,611",300
Yamaguchi-ken,"25,944",168,84,23,125,18,13,75,195,95,73,653,708,"2,278","1,134",66,45,131,39,32,64,169,545,738,169,185,511,"1,463",911,174,68,272,584,949,"4,668",-,171,290,379,92,"4,999",255,512,390,411,280,404,336,"4,773","1,076","3,059","11,374",61,75,119,76,"1,678",439,294,64,24,42,325,243,378,554,78,315,493,"2,580","1,605","1,701",230
Tokushima-ken,"11,636",99,23,24,53,13,12,21,103,37,32,203,312,"1,144",452,33,35,33,19,11,34,53,126,387,74,118,369,"1,642","1,223",125,108,66,80,359,444,160,-,"1,608",807,512,229,30,68,65,61,41,98,90,"2,111",514,"3,359","3,668",47,31,75,44,892,194,106,37,13,28,28,142,255,699,126,413,216,141,54,94,33
Kagawa-ken,"19,070",172,19,30,132,9,16,45,132,54,58,403,545,"1,998",644,66,28,79,31,20,64,87,172,565,108,187,583,"2,301","1,440",163,81,154,104,"1,373","1,099",266,"1,406",-,"1,997",987,696,61,132,138,81,98,115,131,"3,590",760,"4,487","6,733",90,104,106,133,"1,519",314,153,36,38,39,45,273,400,944,144,509,694,667,116,327,82
Ehime-ken,"21,043",203,23,26,129,25,25,76,141,74,80,507,599,"2,448",894,68,49,99,34,40,64,92,175,686,114,199,542,"2,394","1,415",190,81,92,106,"1,064","1,835",383,769,"2,473",-,"1,118",805,63,109,170,215,100,133,116,"4,448",892,"4,541","7,744",89,95,125,90,"1,841",439,213,56,22,32,47,325,400,999,150,549,602,956,203,396,115
Kochi-ken,"11,445",104,16,28,74,15,8,34,63,52,31,298,329,"1,280",500,30,20,42,20,26,51,62,132,410,104,124,341,"1,426",833,115,96,65,71,544,421,105,547,"1,185","1,144",-,296,27,76,56,59,50,70,65,"2,407",576,"2,715","3,783",45,44,79,46,962,220,120,37,14,33,22,137,247,657,93,309,293,182,64,142,37
Fukuoka-ken,"94,565","1,085",191,105,831,65,74,219,654,398,338,"3,087","3,474","12,843","5,928",249,177,395,117,148,311,363,952,"3,941",505,518,"1,386","6,184","2,896",444,212,276,332,"1,083","3,080","3,874",207,611,708,269,-,"6,425","6,302","7,595","5,794","3,050","4,808","2,061","25,332","4,809","10,910","65,047",527,584,819,509,"9,938","2,903","1,513",325,122,164,323,"1,757","1,009","2,341",416,968,571,"1,898","10,589","23,715","4,056"
Saga-ken,"17,413",89,20,17,50,9,19,49,87,70,54,295,296,"1,298",600,30,19,33,13,8,41,57,115,580,70,78,198,568,323,55,35,23,37,93,335,316,48,57,77,22,"7,290",-,"1,668",856,505,270,434,206,"2,489",707,"1,144","6,696",44,32,49,43,975,211,172,41,16,28,35,177,141,215,33,104,52,155,566,"3,097",510
Nagasaki-ken,"28,825",167,78,34,111,27,12,80,114,65,84,496,679,"2,500","1,639",44,42,67,49,33,71,99,232,"1,457",158,149,385,"1,185",767,81,64,68,79,231,802,650,52,97,132,63,"9,166","1,930",-,"1,645",850,478,933,680,"5,314","1,714","2,418","12,295",72,59,114,102,"1,876",641,288,106,18,42,42,542,215,474,88,277,108,223,897,"5,131",980
Kumamoto-ken,"31,584",273,32,49,164,10,21,83,204,157,121,923,756,"3,101","1,595",60,67,71,32,93,115,124,350,"1,251",214,231,474,"1,335",745,142,40,48,79,231,607,460,35,124,167,77,"9,096",835,"1,368",-,"1,368","1,543","2,188",525,"6,375","1,589","2,696","20,965",109,99,160,124,"2,314",693,368,95,24,69,75,390,356,473,96,242,114,316,919,"3,991","9,938"
