,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 18 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Saitama-ken,"161,021","4,031","1,267","1,015","2,797",815,845,"2,092","5,865","4,831","5,825",-,"16,295","61,877","16,696","2,510",461,682,209,880,"2,541",706,"3,504","4,246",854,487,"1,129","4,206","2,248",478,189,227,225,591,"1,278",560,177,431,424,200,"2,993",218,414,701,389,487,763,"1,362",-,"5,806","8,061","91,094","1,931","1,954","17,747","2,105","47,173","6,828","4,090",748,595,637,"2,057",749,"1,200",226,639,710,387,"1,318"
Chiba-ken,"147,540","3,976","1,155",819,"2,541",652,627,"1,654","9,254","2,204","1,766","14,286",-,"52,190","17,934","1,719",559,546,241,777,"1,683",621,"3,015","4,576",756,547,"1,221","5,367","3,262",659,302,195,217,748,"1,488",762,272,410,461,201,"3,109",263,665,686,512,521,865,"1,256",-,"5,953","10,509","90,484","1,959","1,823","2,907","17,499","43,636","7,676","4,600",581,681,375,"2,377",761,"1,403",437,916,847,543,"1,463"
Tokyo-to,"348,849","9,767","2,831","2,439","5,967","2,021","2,129","4,578","10,194","5,990","4,897","59,564","49,393",-,"80,226","5,000","1,545","1,792",773,"3,676","6,069","1,864","9,543","12,069","1,956","1,190","3,699","13,109","7,680","1,329",691,656,703,"2,026","3,931","1,697",666,"1,394","1,570",830,"8,695",802,"1,667","2,198","1,364","1,760","2,646","4,263",-,"15,889","25,817","157,398","5,297","4,254","9,537","6,213","44,270","29,180","27,722","1,537","1,994","1,062","6,933","2,752","5,131",790,"2,460","2,282","1,226","4,758"
Kanagawa-ken,"209,606","5,624","1,915","1,375","3,551","1,040","1,185","2,448","4,926","3,284","2,563","14,309","17,468","81,913",-,"2,465",808,"1,003",355,"2,027","3,056","1,072","9,415","7,977","1,364","1,068","2,226","7,138","4,748",836,431,270,363,"1,121","2,975","1,029",361,625,696,378,"5,263",463,"1,426","1,202",914,947,"1,525","2,458",-,"10,413","14,948","139,649","2,772","2,330","3,186","2,672","54,649","35,392","21,453",795,"1,610",804,"3,951","1,340","2,092",434,"1,479","1,341",815,"2,534"
Niigata-ken,"32,436",788,197,175,956,294,561,700,735,637,"1,291","3,495","2,507","8,049","3,596",-,824,636,178,237,"1,448",205,693,815,158,136,401,743,433,83,37,29,43,123,173,72,30,69,54,46,357,17,54,70,55,54,64,118,"17,647","1,178","1,660","17,555",386,661,860,389,"5,581","1,594",815,"5,639",147,70,344,267,269,51,139,94,83,166
Toyama-ken,"15,861",399,75,55,188,41,78,80,176,155,135,586,707,"2,476","1,060",803,-,"2,311",470,66,316,444,281,"1,372",199,261,491,"1,012",429,102,47,28,23,62,114,63,42,33,53,21,206,26,33,69,38,31,92,112,"4,829","2,015","2,034","5,128",166,111,145,149,"1,766",459,267,281,59,51,622,347,353,53,137,50,53,59
Ishikawa-ken,"20,603",453,76,43,220,56,62,68,210,160,135,795,829,"2,845","1,280",630,"2,149",-,"1,145",90,316,420,557,"2,268",299,386,700,"1,725",814,195,84,51,45,174,209,89,47,79,77,40,318,29,59,62,61,78,77,98,"5,749","2,987","3,434","7,185",221,155,176,133,"2,122",572,317,242,146,117,"1,147",495,649,100,269,126,53,145
Fukui-ken,"12,199",149,56,14,68,9,32,70,138,57,71,274,340,"1,344",598,195,564,"1,348",-,46,124,306,245,"1,181",227,601,975,"1,469",641,133,65,51,48,93,104,73,20,48,41,23,116,12,22,43,25,37,48,55,"2,556","1,714","3,218","3,881",52,48,71,54,987,279,139,57,62,41,531,560,602,85,208,30,39,36
Yamanashi-ken,"16,277",261,63,88,195,55,54,145,309,251,219,"1,063",992,"5,124","2,340",195,62,88,47,-,"1,108",110,"1,204",497,100,73,133,328,188,51,34,28,21,48,79,31,29,43,35,13,145,42,43,113,33,60,47,90,"9,519",707,700,"5,432",86,112,228,161,"2,660",771,489,49,239,88,182,94,91,27,56,32,21,46
Nagano-ken,"34,706",801,188,116,346,105,112,275,585,469,"1,118","2,794","2,124","8,413","3,837","1,408",326,364,114,"1,148",-,770,"1,198","3,193",388,225,518,961,530,190,66,103,54,151,219,80,52,67,75,44,355,39,74,116,89,103,147,256,"17,168","4,351","2,199","12,942",326,256,695,342,"5,514","1,556",820,391,269,181,"1,336",384,312,76,168,102,63,151
Gifu-ken,"34,325",443,97,51,176,76,35,119,233,163,150,766,821,"3,086","1,534",142,566,340,284,114,783,-,"1,232","15,384","1,426",648,639,"1,414",720,179,99,63,64,152,227,130,66,68,127,80,448,53,132,165,82,148,220,380,"6,207",-,"2,952","11,400",159,93,141,115,"2,205",684,346,42,297,212,"5,492",449,500,77,266,109,72,141
Shizuoka-ken,"63,300","1,442",466,334,753,244,189,455,"1,027",840,590,"3,287","3,407","12,691","10,830",608,269,476,213,948,960,"1,194",-,"9,866","1,059",557,"1,004","2,170","1,259",338,159,144,84,366,476,289,130,205,228,115,"1,158",156,255,363,315,354,366,661,"30,215","12,119","4,771","34,331",465,414,668,584,"8,903","4,133","1,757",176,"6,160","4,422","3,892",710,730,169,382,248,190,328
Aichi-ken,"111,829","2,740",498,338,"1,023",304,225,387,989,849,556,"4,298","5,001","15,590","8,619",631,"1,054","1,733",879,348,"2,375","12,736","9,173",-,"7,723","1,565","2,349","7,959","4,036",930,405,261,281,944,"1,571",672,305,518,604,303,"3,639",445,"1,085","1,047",607,961,"1,365","1,908","33,508",-,"15,274","63,293","1,214",723,"1,228",718,"11,589","4,187","1,956",226,"1,803","2,116","28,592","1,568","2,609",522,"1,298",887,564,"1,493"
Mie-ken,"32,716",508,91,83,162,32,30,96,306,355,110,843,944,"2,622","1,706",145,151,261,152,86,353,"1,285","1,060","9,427",-,747,988,"3,717","1,241","1,140",588,79,71,245,295,163,73,109,156,82,558,84,212,247,362,189,241,321,"6,115",-,"7,086","11,444",185,94,186,121,"1,873",754,392,49,234,218,"4,194",643,"1,401",316,404,101,120,159
Shiga-ken,"27,684",332,47,35,105,22,37,77,197,128,200,577,718,"2,154","1,233",131,181,396,517,67,214,649,502,"2,017",712,-,"4,968","4,860","2,107",517,241,98,104,383,406,195,121,155,171,97,658,95,153,196,195,172,267,277,"4,682","3,378","12,452","10,624",135,52,150,89,"1,583",548,288,48,75,81,802,"3,602","1,826",275,578,189,139,164
Kyoto-fu,"61,790",783,144,73,336,58,97,138,454,227,218,"1,163","1,713","6,148","2,828",318,480,631,821,119,476,632,"1,004","2,910",953,"7,317",-,"14,108","5,798","2,530",628,343,354,803,"1,303",460,329,489,497,305,"1,298",181,431,366,290,334,478,424,"11,852","4,495",-,"26,084",312,243,271,250,"4,777","1,210",623,87,240,157,"1,368","8,291","4,750",573,"1,590",537,227,578
Osaka-fu,"169,836","2,064",189,225,987,155,170,389,"1,085",690,512,"5,023","7,046","21,455","9,965",603,940,"1,477","1,044",270,"1,042","1,402","2,373","9,012","3,607","5,105","12,530",-,"31,673","10,364","4,868","1,108","1,177","3,435","4,243","1,601","1,373","2,156","2,121","1,243","5,762",583,"1,080","1,372","1,050","1,267","2,292","1,708","43,489","14,021",-,"105,766","1,069",756,"1,542",998,"16,825","4,951","2,680",221,527,485,"4,557","6,400","36,391","15,843","6,675","2,167",862,"2,817"
Hyogo-ken,"101,840","1,276",163,119,490,83,84,214,787,405,290,"2,775","3,991","12,454","6,686",349,402,770,514,176,588,709,"1,378","4,641","1,544","2,142","5,708","29,434",-,"2,104","1,066","1,054",705,"3,151","2,889",905,"1,006","1,279","1,261",687,"2,975",285,647,634,570,514,"1,080",856,"25,906","6,894",-,"57,336",608,355,888,595,"9,547","3,558","1,625",105,340,226,"2,276","3,148","12,713","1,675","16,292","1,402",555,"1,428"
