,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 18 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Nagasaki-ken,"36,093",151,78,17,58,24,16,65,173,83,66,655,986,"2,806","1,933",58,69,82,40,53,78,174,380,"2,132",365,329,510,"1,399",845,147,44,67,110,301,"1,171",747,98,128,177,110,"11,452","2,329",-,"1,848","1,336",680,"1,081",642,"6,380","2,671","2,901","13,300",56,42,157,134,"2,066",767,297,16,48,63,619,279,515,92,286,359,"1,164","6,340"
Kumamoto-ken,"36,331",260,38,32,114,13,45,59,217,136,67,924,958,"3,526","1,774",77,38,89,27,113,121,224,518,"1,942",398,293,495,"1,637",823,120,48,54,74,275,698,530,69,130,182,72,"9,868",887,"1,558",-,"1,725","1,626","2,902",555,"7,182","2,564","3,075","12,341",91,83,204,124,"2,542",717,407,34,64,84,634,359,577,160,263,372,996,"4,630"
Oita-ken,"24,337",150,35,15,63,7,18,48,155,70,83,469,655,"2,119","1,142",32,33,56,18,51,75,95,317,863,494,224,304,"1,097",541,98,69,37,79,279,639,498,54,102,292,75,"7,589",510,977,"1,694",-,"1,007",807,302,"4,385","1,452","2,040","8,476",63,38,107,98,"1,510",482,283,13,46,25,266,212,351,81,172,272,"1,364","3,093"
Miyazaki-ken,"26,608",202,50,41,146,26,14,52,155,112,48,646,754,"2,715","1,351",58,39,71,31,52,107,197,404,"1,674",269,278,350,"1,285",585,119,58,46,67,239,425,458,50,88,153,83,"4,497",330,669,"1,955","1,426",-,"3,797",436,"5,466","2,140","2,339","7,918",45,51,115,110,"1,912",570,294,20,43,69,448,230,498,108,190,182,589,"2,444"
Kagoshima-ken,"38,216",262,46,35,118,26,19,71,289,127,96,955,"1,205","4,133","2,209",71,88,105,37,86,151,229,483,"2,336",450,481,581,"2,508","1,160",198,78,55,74,307,666,518,92,117,169,93,"6,764",534,"1,179","3,059","1,074","3,853",-,"1,029","8,502","3,015","4,447","12,352",72,71,194,163,"2,921",888,478,20,70,66,640,341,976,168,364,298,893,"3,729"
Okinawa-ken,"28,037",582,127,41,187,38,52,86,341,154,147,"1,398","1,508","4,719","2,759",112,128,139,61,106,279,417,790,"3,035",561,346,447,"1,561",764,144,67,57,51,274,410,291,112,110,123,76,"2,294",221,608,494,371,397,"1,052",-,"10,384","4,013","2,916","9,814",248,134,219,206,"3,394","1,185",619,24,87,143,737,231,676,85,234,179,320,"1,093"
Tokyo Area,"384,865","23,398","7,168","5,648","14,856","4,528","4,786","10,772","30,239","16,309","15,051",-,-,-,-,"11,694","3,373","4,023","1,578","7,360","13,349","4,263","25,477","28,868","4,930","3,292","8,275","29,820","17,938","3,302","1,613","1,348","1,508","4,486","9,672","4,048","1,476","2,860","3,151","1,609","20,060","1,746","4,172","4,787","3,179","3,715","5,799","9,339",-,"38,061","59,335","90,090","11,959","10,361",-,-,-,-,-,"3,661","4,880","2,878","15,318","5,602","9,826","1,887","5,494","5,180","2,971","10,073"
Nagora Area,"130,889","3,691",686,472,"1,361",412,290,602,"1,528","1,367",816,"5,907","6,766","21,298","11,859",918,"1,771","2,334","1,315",548,"3,511",-,"11,465",-,-,"2,960","3,976","13,090","5,997","2,249","1,092",403,416,"1,341","2,093",965,444,695,887,465,"4,645",582,"1,429","1,459","1,051","1,298","1,826","2,609","45,830",-,"25,312","47,859","1,558",910,"1,555",954,"15,667","5,625","2,694",317,"2,334","2,546",-,"2,660","4,510",915,"1,968","1,097",756,"1,793"
Osaka Area,"235,067","4,419",581,471,"1,907",326,381,809,"2,492","1,421","1,099","9,601","13,585","42,618","20,695","1,355","1,962","3,052","2,480",628,"2,302","2,994","5,155","18,009","7,583","15,275",-,-,-,-,"7,301","2,615","2,387","7,781","9,055","3,197","2,882","4,145","4,112","2,342","10,602","1,132","2,264","2,522","2,034","2,240","4,061","3,195","86,499","28,586",-,"79,446","2,107","1,419","2,864","1,981","33,078","10,326","5,205",431,"1,221",940,"8,815",-,-,-,-,"4,297","1,710","5,052"
Total of 18 major cities,"1,149,552","50,026","6,540","6,478","23,239","4,623","5,641","9,838","16,372","10,178","8,038","88,218","89,131","171,446","147,123","11,790","3,777","5,293","2,634","4,217","9,894","9,010","29,712","63,040","9,717","10,999","22,061","93,572","50,171","8,725","4,105","2,610","3,573","8,993","23,943","9,749","2,512","4,850","5,577","2,516","56,323","4,954","8,333","8,728","7,041","5,915","9,133","9,194","123,411","44,651","59,826","347,289","9,892","8,771","15,066","10,064","99,302","52,774","44,124","2,858","5,060","3,507","17,977","8,977","21,512","8,311","9,928","7,155","6,330","15,681"
Sapporo-shi,"64,816","32,057",665,384,"1,436",287,250,308,668,420,304,"2,687","3,126","8,653","4,444",373,169,199,91,87,304,241,624,"1,972",247,208,403,"1,211",612,95,39,22,35,143,262,73,53,96,101,46,602,41,60,122,67,62,84,383,"18,910","2,460","2,321","14,885",-,"1,156",817,449,"6,375","2,168","1,086",151,154,72,815,315,386,85,245,163,77,371
Sendai-shi,"48,661","1,647","1,859","2,613","11,457","1,432","2,333","3,072",688,699,314,"2,869","2,663","7,029","3,545",571,133,115,49,112,231,133,485,"1,113",152,63,249,887,487,69,31,26,16,120,273,48,36,73,90,30,437,19,41,81,46,21,85,119,"16,106","1,398","1,692","12,349","1,014",-,"1,007",480,"5,140","1,782",830,250,121,55,537,175,238,50,178,189,31,272
Saitama-shi,"48,992",901,250,224,861,207,215,519,"1,098","1,039",879,"16,974","3,068","10,627","3,474",643,125,168,37,168,555,120,707,"1,130",134,96,301,"1,194",598,138,48,45,48,156,314,120,43,117,109,40,667,44,81,158,92,85,154,221,-,"1,384","2,231","15,120",529,689,-,481,"8,491","1,563",827,245,178,73,646,210,304,54,183,201,79,367
Chiba-shi,"37,021",659,148,161,436,114,101,285,900,400,281,"1,929","15,639","7,162","2,805",313,99,54,28,105,274,94,537,790,118,88,183,794,516,86,47,29,26,124,221,103,49,88,111,28,456,34,87,84,68,72,133,162,-,"1,002","1,579","10,727",357,333,432,-,"5,945","1,215",755,113,136,68,438,102,196,79,138,129,70,221
Ku-area of Tokyo,"292,162","6,957","2,016","1,703","4,317","1,451","1,507","3,160","7,659","4,282","3,417","44,822","40,461","38,821","54,726","3,423","1,043","1,316",543,"1,910","3,895","1,308","6,475","8,686","1,236",864,"2,700","9,792","5,595",932,492,451,490,"1,445","2,869","1,186",499,"1,051","1,083",595,"6,414",558,"1,218","1,553",984,"1,210","1,892","3,155",-,"11,230","19,019","84,526","3,883","3,122","7,471","4,935",-,"21,697","20,349","1,058","1,340",707,"5,204","2,036","4,132",579,"1,794","1,721",840,"3,658"
Yokohama-shi,"123,775","2,452",610,526,"1,688",435,450,"1,013","2,036","1,268","1,054","5,588","7,449","31,815","37,959",964,333,470,160,707,"1,183",465,"3,478","3,730",590,467,921,"3,630","2,332",354,208,133,133,579,"1,277",420,128,300,328,152,"2,369",195,515,481,354,376,585,"1,115",-,"4,785","7,237","52,074","1,304","1,181","1,378","1,207","23,439",-,"15,135",371,738,328,"2,003",617,"1,033",226,790,703,362,"1,259"
Kawasaki-shi,"68,440","1,183",340,307,750,212,260,547,945,599,516,"3,190","3,972","23,044","18,982",566,200,206,92,363,627,211,"1,366","1,539",305,164,401,"1,699","1,027",148,100,50,100,222,470,221,91,130,162,94,"1,192",94,230,255,184,217,340,527,-,"2,055","3,275","35,638",685,517,766,542,"15,645","13,768",-,174,222,155,892,284,490,96,299,271,183,649
Niigata-shi,"10,549",190,41,51,302,75,137,144,163,143,239,749,560,"1,637",727,"3,627",136,137,31,39,265,34,133,183,41,30,74,180,98,13,6,5,3,33,38,22,9,18,14,16,98,3,15,14,17,12,18,29,"3,673",258,365,"2,720",103,239,230,77,"1,156",344,152,-,38,26,84,54,50,10,46,31,15,65
Shizuoka-shi,"19,196",220,58,65,120,50,45,79,180,105,113,658,780,"2,693","1,975",109,75,137,59,202,203,256,"6,330","2,200",212,68,211,548,297,68,38,16,21,87,120,41,31,45,67,34,206,34,49,44,42,41,65,99,"6,106","2,668","1,124","6,274",102,90,188,140,"1,922",896,364,41,-,719,"1,201",141,161,41,83,70,24,91
Hamamatsu-shi,"11,171",194,114,28,104,33,13,44,123,106,64,378,311,"1,133",829,69,24,92,27,65,138,228,"3,389","1,809",182,55,121,331,200,41,21,52,7,42,66,46,18,26,26,16,193,16,29,61,25,95,42,145,"2,651","2,219",693,"3,171",43,42,56,60,805,356,205,37,541,-,610,86,112,35,68,37,30,48
Nagoya-shi,"78,623",997,144,110,522,99,101,179,360,295,227,"2,146","2,483","8,425","4,336",287,509,795,374,130,918,"4,271","3,295","29,374","3,471",548,"1,041","4,196","2,077",392,157,102,107,376,741,238,119,260,258,128,"1,626",143,398,427,224,280,402,535,"17,390",-,"7,706","18,306",570,409,713,385,"6,432","2,284","1,048",125,890,778,-,729,"1,411",281,676,484,213,878
Kyoto-shi,"45,543",492,56,58,239,34,69,96,277,137,161,742,"1,030","4,292","1,655",203,290,421,429,77,327,433,703,"1,901",533,"5,358","8,547","7,358","2,926",923,373,205,205,538,708,283,215,336,337,198,902,124,174,237,193,222,268,258,"7,719","2,867",-,"11,487",223,192,175,168,"3,405",751,419,57,162,103,952,-,"2,691",317,940,355,150,427
Osaka-shi,"91,141",677,74,69,274,57,61,113,314,204,126,"1,392","1,844","7,893","2,649",195,307,549,384,91,324,495,700,"2,736","1,196","1,523","3,446","34,076","12,328","3,688","1,406",430,465,"1,163","1,578",538,543,775,820,472,"1,847",195,357,476,331,436,884,640,"13,778","4,427",-,"23,896",316,205,390,246,"6,533","1,299",724,71,170,147,"1,518","1,958",-,"5,590","2,699",784,305,941
Sakai-shi,"25,881",128,7,23,69,8,19,42,90,63,28,316,556,"1,334",720,48,68,104,59,14,118,100,171,625,286,328,641,"14,238","1,957",730,598,79,75,211,291,136,93,152,132,95,420,51,78,108,97,108,147,120,"2,926","1,011",-,"8,426",52,56,96,91,"1,027",344,190,19,30,38,299,355,"4,932",-,480,153,87,177
Kobe-shi,"43,446",429,56,31,155,38,24,57,261,114,64,767,"1,161","3,886","2,079",105,107,225,166,52,184,216,431,"1,405",471,551,"1,378","6,594","15,352",521,323,254,184,922,912,277,285,452,431,233,886,96,195,177,202,149,345,243,"7,893","2,092",-,"11,701",208,116,252,173,"3,014","1,159",492,29,120,83,731,886,"2,983",425,-,411,145,474
Hiroshima-shi,"39,670",250,30,17,185,41,18,53,180,92,69,921,"1,134","3,618","1,765",101,44,97,43,38,116,104,302,"1,100",162,186,557,"2,733","1,495",212,72,582,"1,378","2,084","11,417","2,836",133,557,906,191,"2,373",136,264,243,247,159,228,201,"7,438","1,366","4,997","9,559",147,155,373,210,"2,758",915,448,42,75,55,654,390,959,165,550,-,392,"1,271"
Kitakyushu-shi,"30,814",124,17,29,71,7,6,47,157,75,34,502,814,"2,087","1,249",59,44,72,28,22,67,106,195,805,172,155,281,"1,078",653,98,70,49,125,279,870,"1,734",67,117,194,68,"12,712",600,"1,016",893,"1,335",590,738,303,"4,652","1,083","2,110","8,977",53,52,138,100,"1,504",561,284,20,32,43,328,186,377,83,223,481,-,"4,512"
Fukuoka-shi,"69,651",469,55,79,253,43,32,80,273,137,148,"1,588","2,080","7,297","3,204",134,71,136,34,35,165,195,391,"1,942",209,247,606,"3,033","1,621",217,76,80,155,469,"1,516","1,427",100,257,408,80,"22,923","2,571","3,526","3,314","2,533","1,780","2,723",939,"14,169","2,346","5,477","17,453",303,217,584,320,"5,711","1,672",816,55,113,57,"1,065",453,"1,057",195,536,972,"3,327",-
Japanese Population(Thousands),"126,085","5,553","1,403","1,359","2,336","1,117","1,192","2,057","2,929","1,985","1,980","7,003","6,019","12,488","8,754","2,394","1,093","1,161",804,863,"2,145","2,059","3,717","7,173","1,831","1,369","2,591","8,641","5,505","1,401","1,015",596,726,"1,935","2,842","1,462",796,999,"1,445",779,"5,016",856,"1,447","1,820","1,196","1,139","1,726","1,366","34,264","11,063","18,138","32,507","1,886","1,019","1,184",918,"8,351","3,558","1,343",809,702,778,"2,175","1,427","2,522",822,"1,486","1,146",976,"1,406"
