,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 20 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Total,"2,338,519","51,998","20,089","18,756","47,662","13,169","15,259","21,741","46,329","32,071","27,260","159,200","138,402","394,116","210,631","24,711","12,978","17,161","9,123","13,265","28,731","27,016","52,784","108,601","28,019","27,639","53,997","156,059","93,085","25,330","12,382","9,300","10,901","29,998","47,773","23,278","10,254","18,377","18,848","10,103","103,497","16,427","24,226","29,909","20,532","20,737","30,109","26,686","461,287","121,100","210,729","1,238,196","64,798","49,373","49,791","35,254","336,138","117,602","70,647","25,502","18,684","16,484","16,739","75,526","41,481","94,572","24,100","42,797","22,272","36,742","26,476","73,218"
Hokkaido,"54,480",-,"1,755",889,"1,944",577,441,520,"1,292",668,675,"4,410","4,445","13,295","6,437",619,319,432,147,280,614,424,"1,238","2,827",427,383,889,"2,099","1,334",321,145,75,95,319,496,206,103,153,203,97,"1,069",112,160,259,143,212,251,681,"28,587","3,678","4,643","62,107","39,777","1,426","1,067",742,"9,659","2,867","1,414",390,295,209,219,"1,084",629,707,150,436,150,258,144,484
Aomori-ken,"23,345","1,912",-,"1,863","2,862","1,009",369,422,516,305,274,"1,807","1,589","4,183","2,408",226,78,82,70,61,133,108,429,573,97,88,182,299,193,54,15,45,20,54,175,53,43,25,27,17,199,29,118,37,25,46,59,166,"9,987",778,728,"8,738",673,"2,195",370,278,"2,861",825,519,201,82,49,111,138,81,120,30,49,17,44,21,74
Iwate-ken,"22,199","1,027","1,929",-,"4,213",945,459,602,447,382,269,"1,711","1,446","3,726","1,968",169,42,51,30,100,184,60,364,410,315,52,105,266,155,48,18,12,24,53,102,26,7,28,35,20,140,8,37,37,54,21,24,78,"8,851",785,574,"8,661",344,"2,905",363,185,"2,671",810,451,185,84,83,35,144,62,90,34,45,25,57,30,58
Miyagi-ken,"54,064","2,683","2,529","4,603",-,"2,169","3,362","3,491","1,121","1,293",578,"4,120","3,250","9,068","4,698",907,172,216,78,184,447,222,920,"1,525",281,281,442,"1,343",782,138,78,49,39,226,388,135,73,121,137,53,879,49,90,161,97,116,138,332,"21,136","2,028","2,705","33,201","1,474","16,192","1,196",548,"6,662","2,121","1,051",335,491,238,169,717,284,452,91,245,129,233,106,467
Akita-ken,"15,859",660,970,"1,083","2,351",-,578,409,272,287,225,"1,213","1,044","2,982","1,456",328,69,71,19,69,117,64,235,299,52,43,91,180,102,41,14,12,4,43,62,33,16,17,25,7,80,10,51,27,21,38,36,53,"6,695",415,414,"6,399",311,"1,788",287,162,"2,156",594,321,128,197,39,37,112,60,65,11,35,19,22,12,43
Yamagata-ken,"16,172",426,335,426,"3,317",499,-,976,323,336,218,"1,220",964,"3,014","1,474",574,56,79,19,61,164,44,239,259,35,57,119,219,147,24,17,6,7,36,41,34,9,14,18,13,86,32,74,48,16,29,24,44,"6,672",338,509,"7,006",189,"2,444",269,148,"2,139",636,279,115,315,56,28,73,101,74,9,46,15,21,15,34
Fukushima-ken,"53,122","1,703",801,"1,008","7,133",851,"2,555",-,"2,747","2,542",969,"4,727","3,164","8,610","4,611","2,099",220,212,162,458,740,278,872,"1,089",238,271,482,863,688,134,60,90,71,287,276,107,44,112,124,55,486,84,127,112,98,121,166,475,"21,112","1,605","2,167","19,657",860,"4,906","1,164",530,"5,918","1,946",899,314,"1,018",150,111,411,352,281,107,211,87,129,102,161
Ibaraki-ken,"51,080","1,306",407,270,932,244,240,"1,328",-,"3,330","1,028","5,441","8,681","11,457","5,207",526,185,182,127,277,548,217,854,"1,139",372,208,453,"1,236",772,161,131,72,74,353,395,182,70,111,158,80,786,118,133,255,193,213,280,348,"30,786","1,728","2,622","18,356",566,584,"1,124",985,"8,762","2,089","1,062",343,220,164,128,443,310,350,122,288,184,152,178,302
Tochigi-ken,"33,485",760,275,307,806,211,214,"1,025","3,009",-,"2,657","5,074","2,226","6,651","3,188",458,133,160,57,173,404,136,723,778,284,194,198,731,448,116,55,33,32,136,149,94,38,75,102,63,480,105,82,187,52,123,106,177,"17,139","1,198","1,493","11,358",293,509,"1,369",371,"4,992","1,219",652,230,248,102,141,243,132,218,87,123,74,69,111,175
Gumma-ken,"28,510",633,181,171,441,128,146,343,904,"2,372",-,"6,012","1,628","6,216","2,684",858,132,159,54,185,970,128,525,709,102,151,235,562,381,84,45,32,25,119,131,66,34,62,40,30,280,34,46,73,44,58,96,201,"16,540",939,"1,262","9,715",278,275,"1,021",292,"4,410","1,116",544,234,308,114,104,253,158,164,42,133,53,67,40,109
Saitama-ken,"147,057","4,063","1,287","1,080","2,687",832,884,"1,755","4,930","4,279","5,280",-,"12,882","56,338","13,584","2,254",490,621,273,877,"2,414",620,"3,004","3,802",961,473,"1,082","4,543","2,329",538,234,236,274,688,"1,287",509,208,369,471,262,"3,358",311,542,767,427,600,898,"1,454",-,"5,383","8,492","85,448","2,021","1,832","16,390","1,492","43,608","5,614","3,142","1,019",970,552,638,"1,918",725,"1,496",298,692,348,673,481,"1,539"
Chiba-ken,"142,337","4,155","1,113",913,"2,292",667,691,"1,389","7,803","1,831","1,489","13,917",-,"49,226","16,177","1,745",582,571,229,711,"1,674",618,"2,779","4,301",767,578,"1,419","5,622","3,232",615,292,196,298,922,"1,514",752,285,508,623,284,"3,812",310,669,843,534,697,"1,108","1,584",-,"5,686","10,888","86,535","2,143","1,592","2,767","15,400","41,135","6,780","3,884",965,833,600,458,"2,263",905,"1,726",407,946,477,818,661,"1,775"
Tokyo-to,"349,634","11,198","3,112","2,549","5,993","2,116","2,106","4,009","9,150","5,265","4,865","58,953","42,475",-,"72,126","4,792","1,685","1,874",917,"3,712","6,698","2,115","9,200","12,444","2,027","1,647","4,566","16,354","8,894","1,596",860,762,905,"2,570","4,559","1,936",914,"1,650","1,905","1,127","11,575","1,108","2,029","2,768","1,677","2,078","3,324","5,449",-,"16,586","31,410","163,172","6,068","4,282","9,814","5,262","41,489","26,484","22,923","7,174","2,077","1,994","1,500","7,254","3,496","7,027",993,"3,042","1,422","2,722","1,559","6,590"
Kanagawa-ken,"200,512","5,599","1,876","1,364","3,768","1,079","1,125","1,934","4,156","2,831","2,206","13,419","14,945","77,020",-,"2,443",747,860,361,"1,728","3,012","1,096","8,208","7,015","1,305","1,008","2,321","7,949","4,881",893,431,292,383,"1,233","2,886","1,107",425,681,792,453,"6,598",561,"1,458","1,494",855,"1,050","1,808","2,856",-,"9,416","16,044","142,550","2,803","2,208","3,050","2,277","54,276","31,995","17,259","9,293","1,002","1,389",972,"3,620","1,477","2,522",528,"1,578",615,"1,297",921,"3,468"
Niigata-ken,"26,881",616,137,130,747,250,531,645,560,616,"1,044","2,855","1,904","6,468","3,019",-,740,686,165,190,"1,211",131,471,717,115,131,344,680,311,85,44,30,34,115,175,77,24,50,65,17,285,25,43,61,49,67,83,138,"14,246",963,"1,420","17,748",283,559,750,361,"4,606","1,329",678,231,"7,546",110,79,323,210,231,44,101,59,94,58,96
Toyama-ken,"13,318",323,60,24,164,51,46,64,188,93,135,512,521,"1,945",906,529,-,"2,214",424,77,277,317,280,"1,144",175,207,392,848,360,88,28,27,21,84,122,43,34,39,55,17,166,22,41,56,20,42,52,85,"3,884","1,636","1,688","4,423",141,122,134,83,"1,400",407,193,72,209,66,55,556,285,325,64,116,45,57,29,64
Ishikawa-ken,"17,915",372,94,63,289,57,43,61,165,181,138,636,584,"2,290","1,056",539,"1,951",-,"1,012",84,317,350,444,"1,943",253,415,648,"1,434",687,158,64,46,39,121,210,100,41,62,58,42,326,43,56,66,60,88,105,124,"4,566","2,546","2,927","6,281",160,176,172,112,"1,723",488,228,63,263,131,121,975,444,538,75,195,77,155,57,128
Fukui-ken,"10,154",130,36,14,60,25,10,53,126,49,52,250,226,"1,099",458,123,471,"1,095",-,42,92,272,204,"1,016",149,463,838,"1,252",568,153,55,32,29,99,79,68,15,42,36,14,123,30,34,21,26,31,28,66,"2,033","1,437","2,811","3,473",59,46,52,34,834,196,127,26,64,55,53,468,491,527,87,200,51,35,31,37
Yamanashi-ken,"15,111",203,61,85,"1,131",32,60,95,242,195,194,"1,042",754,"4,515","2,049",151,51,70,32,-,998,98,"1,119",372,72,51,131,252,162,49,19,18,26,48,66,30,23,26,47,19,154,15,38,96,32,33,61,94,"8,360",542,594,"5,940",80,830,219,127,"2,375",697,385,298,53,211,124,138,85,86,18,67,26,26,27,68
Nagano-ken,"28,807",608,129,98,277,91,120,157,469,416,996,"2,552","1,683","6,921","3,189","1,246",287,378,79,876,-,664,958,"2,547",279,216,454,839,479,181,49,45,55,96,150,64,44,48,42,66,334,42,59,97,53,70,116,188,"14,345","3,490","1,953","11,455",241,196,598,331,"4,610","1,258",680,288,513,234,199,"1,098",328,310,68,161,40,81,59,162
Gifu-ken,"29,367",400,74,58,143,40,29,79,185,124,156,677,747,"2,579","1,195",111,339,404,216,112,570,-,993,"13,339","1,194",605,604,"1,272",665,190,99,62,51,130,188,126,62,72,94,46,379,44,87,156,88,154,190,239,"5,198",-,"2,731","10,244",153,100,136,114,"1,907",535,214,82,42,238,312,"4,888",439,427,96,203,60,93,65,140
