,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 20 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Shizuoka-ken,"54,858","1,292",397,316,679,224,166,335,866,564,544,"3,032","2,793","10,852","9,191",382,232,403,185,936,875,984,-,"8,182",941,491,914,"1,997","1,210",325,138,145,112,418,523,283,121,171,215,143,"1,054",118,229,365,231,376,354,554,"25,868","10,107","4,446","32,823",429,403,606,489,"7,818","3,432","1,560",605,158,"5,802","5,629","3,066",679,674,133,378,185,261,157,359
Aichi-ken,"102,222","2,486",414,307,"1,122",241,191,413,931,715,633,"3,782","4,149","14,641","7,701",676,983,"1,691",887,394,"2,098","11,491","7,712",-,"7,158","1,422","2,196","7,533","3,782",954,433,218,254,842,"1,540",573,249,464,566,323,"3,330",425,945,"1,009",552,876,"1,276","1,644","30,273",-,"14,465","60,707","1,043",776,"1,118",661,"11,173","3,572","1,810",437,324,"1,622","2,601","26,617","1,508","2,526",533,"1,149",391,890,576,"1,380"
Mie-ken,"28,987",380,92,100,191,46,42,96,281,288,93,788,788,"2,335","1,427",158,140,256,133,85,299,"1,090",970,"8,264",-,733,845,"3,427","1,116",951,511,82,64,188,273,153,78,121,107,78,545,84,180,205,210,176,207,311,"5,338",-,"6,339","10,722",140,104,180,97,"1,673",646,300,109,69,219,279,"3,774",543,"1,316",450,326,85,134,131,147
Shiga-ken,"24,525",277,83,33,146,29,82,112,194,133,81,525,553,"1,862","1,058",90,201,358,379,71,197,534,426,"1,637",659,-,"4,662","4,306","1,932",431,178,87,106,311,345,162,86,165,152,108,480,97,145,187,161,194,276,234,"3,998","2,830","11,331","9,874",111,90,142,94,"1,428",470,235,42,38,77,92,704,"3,366","1,627",247,529,138,169,88,187
Kyoto-fu,"53,960",689,268,80,311,84,84,120,407,188,182,"1,122","1,277","4,920","2,371",275,362,554,699,112,404,494,807,"2,199",767,"6,285",-,"12,791","5,267","2,306",557,327,308,814,"1,097",413,308,475,397,321,"1,166",160,384,393,267,276,474,398,"9,690","3,460",-,"23,783",318,205,338,160,"3,876","1,037",437,101,131,151,226,"1,005","7,694","4,419",557,"1,533",389,462,221,523
Osaka-fu,"151,156","1,956",229,205,897,146,157,276,961,597,425,"4,512","5,658","18,964","9,458",617,785,"1,279","1,034",254,882,"1,105","1,879","7,480","2,973","4,392","11,557",-,"27,411","9,183","4,725","1,021","1,038","2,981","3,987","1,333","1,365","1,932","1,904","1,258","5,565",512,"1,008","1,258","1,113","1,161","2,110","1,613","38,592","11,558",-,"99,101","1,088",670,"1,349",943,"15,093","4,647","2,203",409,306,449,444,"3,936","6,199","34,277","13,584","6,154","1,423","2,151",874,"2,902"
Hyogo-ken,"91,851","1,146",155,135,554,80,101,177,608,364,303,"2,347","3,226","11,038","5,791",333,425,556,430,155,482,566,"1,130","3,716","1,053","1,861","5,132","27,930",-,"1,869","1,084",854,628,"2,715","2,772",882,"1,050","1,356","1,076",646,"2,857",326,589,711,503,467,940,732,"22,402","5,335",-,"55,017",570,414,736,555,"8,616","2,865","1,329",201,167,293,271,"1,846","2,843","12,582","1,518","15,713","1,244","1,384",459,"1,411"
Nara-ken,"27,295",346,52,25,102,33,29,46,175,102,84,528,663,"2,076",918,71,104,163,116,42,175,208,311,"1,042",972,682,"3,000","9,142","2,154",-,655,97,104,335,589,188,130,181,193,117,528,42,100,142,99,108,177,149,"4,185","2,222",-,"10,266",128,79,128,106,"1,592",448,216,58,26,73,82,451,"1,011","4,009",636,651,114,170,81,207
Wakayama-ken,"14,357",140,18,10,37,8,6,17,96,38,30,264,337,"1,103",459,61,19,63,37,18,47,119,182,529,558,272,673,"5,921","1,208",705,-,35,35,143,163,72,88,88,93,68,209,27,73,57,35,67,70,59,"2,163","1,206","8,507","5,514",72,31,80,49,833,207,105,19,28,33,45,216,484,"1,922",741,389,54,74,43,89
Tottori-ken,"10,359",93,20,13,52,23,30,15,70,44,25,274,193,876,324,29,55,45,27,17,110,56,133,307,73,131,414,"1,317","1,018",116,44,-,"1,230",967,930,308,66,116,110,76,279,34,51,48,40,35,52,73,"1,667",436,"2,865","3,662",38,34,53,44,633,138,84,14,18,34,30,113,282,597,78,296,476,536,65,99
Shimane-ken,"11,894",108,63,17,24,4,10,18,87,69,20,237,232,957,384,59,25,65,72,22,47,63,112,315,67,97,345,"1,111",682,106,40,"1,429",-,842,"2,237",637,55,125,171,73,424,36,67,72,79,54,68,67,"1,810",445,"2,244","4,473",28,18,63,35,690,169,109,21,13,25,25,116,232,503,84,218,424,"1,429",81,190
Okayama-ken,"29,393",287,46,47,110,35,27,68,221,124,126,642,718,"2,780","1,277",131,79,103,61,51,116,150,357,"1,092",264,330,843,"3,468","2,970",283,121,810,696,-,"4,792",880,329,"1,248",820,354,"1,089",110,212,207,220,174,249,276,"5,417","1,506","7,564","17,553",142,79,161,125,"2,038",588,314,73,39,71,76,509,586,"1,461",217,902,"7,510","1,956",239,467
Hiroshima-ken,"48,730",459,147,70,314,37,43,88,294,144,165,"1,318","1,593","5,404","3,187",132,129,193,92,90,163,175,553,"1,659",314,381,"1,194","4,481","3,140",347,131,850,"2,043","4,848",-,"4,243",435,"1,117","1,657",362,"3,469",271,784,546,472,332,472,392,"11,502","2,148","9,162","29,013",248,241,401,293,"4,011","1,315",673,193,70,131,126,870,827,"1,736",291,"1,114","2,172","11,995",672,"1,634"
Yamaguchi-ken,"25,270",177,79,29,76,22,20,47,221,77,67,630,743,"2,209","1,207",58,40,72,33,37,46,154,537,730,142,220,423,"1,505",949,126,65,243,624,874,"4,551",-,202,215,429,115,"4,916",220,488,445,365,241,337,264,"4,789","1,026","3,003","11,231",64,42,139,102,"1,533",465,270,76,28,53,312,269,295,569,141,349,423,"2,674","1,618","1,809"
Tokushima-ken,"11,386",127,37,5,56,4,6,27,77,31,44,205,277,"1,059",438,36,33,30,30,31,40,66,137,400,80,115,324,"1,569","1,267",115,93,75,46,390,449,117,-,"1,574",784,542,226,36,69,42,35,57,105,80,"1,979",546,"3,275","3,495",38,44,50,47,778,193,88,29,14,35,35,170,236,635,132,433,228,166,50,94
Kagawa-ken,"18,418",136,19,17,114,11,6,21,116,59,52,430,431,"1,811",669,69,28,46,27,19,44,83,192,560,98,159,573,"2,162","1,534",208,93,110,100,"1,396","1,033",241,"1,209",-,"2,130","1,014",687,49,133,110,108,85,103,123,"3,341",741,"4,477","6,521",66,97,132,78,"1,434",329,173,45,43,43,36,287,397,866,129,511,802,613,100,340
Ehime-ken,"20,774",155,19,29,101,14,17,29,132,65,41,510,616,"2,181",914,82,40,46,45,42,76,117,229,682,136,211,591,"2,363","1,455",181,78,71,110,"1,048","1,950",418,732,"2,294",-,"1,073",903,45,121,164,246,122,172,108,"4,221",935,"4,590","7,416",78,70,118,97,"1,602",374,243,51,27,39,65,300,431,"1,006",137,539,614,968,201,456
Kochi-ken,"11,542",98,14,14,47,6,10,18,56,54,39,289,282,"1,210",466,34,26,34,25,44,60,69,152,425,107,143,288,"1,504",797,138,71,63,55,489,445,132,601,"1,233","1,252",-,271,30,49,95,74,72,101,60,"2,247",601,"2,727","3,469",35,31,76,39,842,208,96,47,22,32,36,137,204,685,89,274,245,208,50,113
Fukuoka-ken,"93,778","1,144",191,99,502,74,76,150,673,360,279,"2,921","3,494","12,135","5,730",330,164,300,118,175,298,427,975,"3,665",626,711,"1,360","5,939","2,972",460,206,264,409,"1,081","3,321","3,820",212,556,749,227,-,"6,279","6,539","7,505","6,207","3,185","4,923","1,947","24,280","4,718","10,731","59,352",561,378,775,525,"9,258","2,654","1,393",359,160,170,345,"1,619",930,"2,070",347,901,594,"1,994","10,756","23,563"
Saga-ken,"17,195",111,25,11,32,9,8,11,110,63,49,305,329,"1,208",578,19,20,21,16,24,54,56,108,554,97,83,162,613,336,51,27,28,39,150,333,258,43,65,62,19,"7,150",-,"1,755",840,493,269,433,168,"2,420",707,"1,162","5,896",46,19,78,44,846,224,143,42,8,24,16,152,113,199,50,108,82,179,568,"2,955"
Nagasaki-ken,"28,559",171,223,31,74,36,33,49,135,84,71,514,713,"2,452","1,573",45,45,57,35,39,53,128,241,"1,269",176,159,392,"1,152",708,101,49,76,79,225,773,593,73,114,126,72,"8,949","2,034",-,"1,610",960,541,951,575,"5,252","1,573","2,353","11,003",61,47,96,129,"1,797",588,242,96,25,45,54,451,209,441,96,266,120,235,989,"5,016"
Kumamoto-ken,"30,305",247,32,23,137,24,18,42,191,111,53,704,821,"2,932","1,511",75,56,71,27,113,95,119,316,"1,191",232,255,458,"1,292",731,140,58,49,55,287,548,368,42,84,162,51,"8,633",866,"1,316",-,"1,426","1,452","2,416",475,"5,968","1,542","2,621","10,757",105,83,151,158,"2,145",542,361,90,30,78,73,390,318,465,114,208,150,268,930,"4,098"
Oita-ken,"21,339",152,22,24,90,15,8,22,148,72,84,399,545,"1,845",963,55,28,56,22,32,67,97,226,559,248,147,307,967,534,101,51,22,73,204,427,435,41,110,270,70,"6,949",483,893,"1,535",-,965,713,263,"3,752",904,"1,909","7,843",67,63,88,75,"1,363",436,222,44,22,36,30,231,207,351,54,163,105,193,"1,197","2,896"
Miyazaki-ken,"21,932",186,55,19,92,17,19,34,160,97,73,530,581,"2,268","1,197",23,54,84,31,28,79,137,270,920,155,212,314,"1,125",551,122,66,44,49,191,349,344,56,62,102,72,"3,991",314,539,"1,642","1,088",-,"3,214",376,"4,576","1,212","2,112","6,770",59,32,85,103,"1,605",450,280,66,7,34,55,255,201,420,116,161,82,167,512,"2,080"
Kagoshima-ken,"31,486",196,50,42,98,25,30,59,235,105,86,708,969,"3,383","1,764",74,59,65,45,68,151,208,306,"1,351",239,373,611,"2,047","1,046",182,98,71,72,261,493,429,80,112,146,71,"6,116",509,"1,000","2,648",739,"3,153",-,913,"6,824","1,798","3,886","10,661",75,56,128,175,"2,340",711,360,135,25,61,41,434,373,821,162,351,109,196,818,"3,290"
Okinawa-ken,"23,539",662,178,57,154,49,31,94,279,128,163,"1,136","1,263","4,012","2,185",100,97,133,46,109,189,358,464,"1,625",384,252,424,"1,554",745,162,57,57,66,266,402,248,91,134,118,68,"2,116",228,583,452,245,412,963,-,"8,596","2,367","2,885","8,807",271,100,208,197,"2,928",888,496,154,56,70,121,489,259,659,103,269,140,167,293,939
Tokyo Area,"398,478","25,015","7,388","5,906","14,740","4,694","4,806","9,087","26,039","14,206","13,840",-,-,-,-,"11,234","3,504","3,926","1,780","7,028","13,798","4,449","23,191","27,562","5,060","3,706","9,388","34,468","19,336","3,642","1,817","1,486","1,860","5,413","10,246","4,304","1,832","3,208","3,791","2,126","25,343","2,290","4,698","5,872","3,493","4,425","7,138","11,343",-,"37,071","66,834","104,213","13,035","9,914",-,-,-,-,-,-,"4,882","4,535","3,568","15,055","6,603","12,771","2,226","6,258","2,862","5,510","3,622","13,372"
Nagora Area,"118,040","3,266",580,465,"1,456",327,262,588,"1,397","1,127",882,"5,247","5,684","19,555","10,323",945,"1,462","2,351","1,236",591,"2,967",-,"9,675",-,-,"2,760","3,645","12,232","5,563","2,095","1,043",362,369,"1,160","2,001",852,389,657,767,447,"4,254",553,"1,212","1,370",850,"1,206","1,673","2,194","40,809",-,"23,535","46,394","1,336",980,"1,434",872,"14,753","4,753","2,324",628,435,"2,079","3,192",-,"2,490","4,269","1,079","1,678",536,"1,117",772,"1,667"
Osaka Area,"206,520","4,137",704,445,"1,864",343,371,619,"2,151","1,251",994,"8,509","10,824","36,998","18,538","1,296","1,676","2,552","2,279",563,"1,943","2,373","4,127","14,437","5,765","13,220",-,-,-,-,"7,021","2,299","2,078","6,845","8,445","2,816","2,853","3,944","3,570","2,342","10,116","1,040","2,081","2,504","1,982","2,012","3,701","2,892","74,869","22,575",-,"74,787","2,104","1,368","2,551","1,764","29,177","8,997","4,185",769,630,966,"1,023","7,238",-,-,-,-,"3,170","4,167","1,635","5,043"
Total of 20 major cities,"1,142,924","49,592","6,629","6,551","21,184","4,854","5,724","8,156","14,870","9,397","8,150","86,158","77,865","173,171","141,725","13,985","4,034","5,351","2,855","4,470","10,819","8,528","29,677","59,891","9,217","10,491","22,544","94,605","49,969","8,828","4,471","2,965","3,915","15,851","25,586","9,359","2,926","5,684","5,937","2,962","57,698","4,815","8,430","9,427","6,850","6,117","9,969","10,672","113,276","43,094","69,725","364,023","11,169","8,577","14,986","8,980","100,697","51,212","37,555","8,577","3,925","5,315","4,601","17,498","10,342","24,287","7,551","10,448","4,813","8,834","6,713","17,943"
Sapporo-shi,"54,544","29,271",522,341,"1,095",208,163,189,512,253,263,"2,141","2,003","7,013","3,078",227,121,178,68,98,258,157,449,"1,234",157,148,409,"1,123",686,126,56,19,32,165,277,66,43,77,77,36,501,29,56,115,62,57,108,277,"14,235","1,548","2,344","12,063",-,908,623,355,"5,307","1,458",706,159,126,105,71,629,308,394,57,259,85,163,58,292
Sendai-shi,"42,740","1,714","1,652","2,366","9,247","1,499","2,205","2,132",629,668,284,"2,517","1,987","6,066","3,021",575,101,156,51,113,268,91,430,952,161,148,302,954,447,91,45,17,24,161,249,78,41,92,73,24,584,33,49,73,52,48,95,175,"13,591","1,204","1,794","11,755","1,070",-,879,373,"4,542","1,417",734,207,352,130,76,534,209,313,70,153,102,160,72,362
Saitama-shi,"44,552","1,001",264,253,709,194,230,403,926,955,793,"14,922","2,280","9,940","2,971",541,109,152,47,161,559,132,550,970,158,111,248,"1,268",681,124,59,39,51,173,393,129,47,104,89,59,846,43,102,160,86,98,164,258,-,"1,260","2,321","14,590",581,543,-,331,"8,117","1,316",705,194,279,143,83,568,146,389,70,229,91,237,126,442
Chiba-shi,"34,041",684,164,121,336,114,119,213,720,269,282,"1,673","14,054","6,537","2,406",315,97,75,29,96,260,76,405,783,129,87,230,799,499,99,33,31,37,150,246,119,42,101,107,27,598,44,103,133,87,101,195,216,-,988,"1,627","10,128",354,221,393,-,"5,334","1,095",594,144,165,96,58,451,162,294,46,162,84,127,106,242
Ku-area of Tokyo,"300,703","8,419","2,243","1,858","4,341","1,546","1,584","2,902","6,920","3,859","3,563","45,217","35,453","38,976","50,029","3,526","1,243","1,408",723,"2,038","4,587","1,520","6,661","9,340","1,446","1,085","3,594","12,913","6,861","1,187",635,558,693,"1,885","3,512","1,385",713,"1,289","1,428",817,"8,907",821,"1,574","2,066","1,242","1,532","2,485","4,119",-,"12,306","24,555","90,499","4,635","3,205","7,785","4,256",-,"20,227","16,866","2,345","1,564","1,483","1,073","5,642","2,789","5,838",780,"2,373","1,077","2,144","1,146","5,271"
Yokohama-shi,"116,214","2,462",645,546,"1,455",501,441,836,"1,728","1,182",899,"5,300","6,462","30,044","33,461","1,019",344,395,143,575,"1,253",514,"2,956","3,406",584,397,969,"4,099","2,449",391,175,114,150,553,"1,159",448,182,313,301,213,"3,075",249,576,568,336,405,726,"1,215",-,"4,504","7,908","52,446","1,321",984,"1,266","1,129","23,204",-,"12,040","3,019",481,600,440,"1,828",692,"1,243",293,796,275,602,378,"1,855"
Kawasaki-shi,"68,330","1,282",340,315,667,226,268,416,820,545,438,"3,094","3,539","23,057","18,901",573,175,196,78,311,572,207,"1,242","1,455",254,230,486,"1,813","1,162",183,120,88,80,261,589,221,67,154,181,94,"1,428",130,210,320,191,251,413,687,-,"1,916","3,644","38,145",687,474,697,472,"16,549","13,532",-,"1,421",230,228,160,832,320,589,93,389,132,355,204,781
Sagamihara-shi,"24,288",386,130,128,810,73,99,145,302,197,159,"1,040",926,"7,609","7,752",157,49,68,37,242,254,78,557,417,72,67,139,423,265,55,30,24,38,83,149,64,28,31,56,21,408,59,104,119,62,75,126,175,-,567,882,"8,707",158,270,235,151,"3,119","2,412","1,177",-,56,80,70,201,102,147,31,92,45,82,54,225
Niigata-shi,"16,941",292,63,74,414,135,270,265,221,212,381,"1,187",800,"2,630","1,239","5,781",249,296,55,70,448,43,177,328,45,45,137,297,140,30,16,20,15,44,103,22,9,23,30,10,127,12,18,30,14,30,25,69,"5,856",416,604,"4,625",150,339,382,192,"1,921",595,296,80,-,42,35,176,88,88,13,52,22,70,32,52
Shizuoka-shi,"16,672",233,42,72,120,33,19,63,147,101,114,573,564,"2,390","1,597",72,60,115,30,173,223,194,"5,677","1,702",197,77,196,465,305,66,32,24,10,80,141,43,26,44,52,29,175,27,45,59,38,49,78,100,"5,124","2,093","1,032","5,944",111,98,125,110,"1,784",682,307,120,37,-,"1,022",884,159,153,22,87,39,81,26,97
