,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 18 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Gumma-ken,"31,147",618,212,171,527,152,180,392,941,"2,714",-,"6,680","2,062","6,729","3,003","1,010",116,125,52,180,952,92,557,721,159,128,188,582,359,74,30,24,22,124,177,57,23,65,74,42,300,30,50,83,57,50,95,168,"18,474",972,"1,203","10,452",235,375,"1,221",349,"4,856","1,230",616,357,119,111,233,123,180,32,117,90,57,151
Saitama-ken,"152,752","3,834","1,296",983,"3,101",846,756,"2,033","5,473","4,554","5,827",-,"15,567","58,318","15,124","2,199",423,586,191,816,"2,500",635,"3,313","3,947",922,434,"1,013","3,887","2,404",375,195,228,205,551,"1,214",520,205,392,454,220,"2,760",289,465,762,397,515,774,"1,249",-,"5,504","7,679","85,981","1,788","2,123","16,816","1,949","44,451","6,106","3,534",856,535,829,"1,928",663,"1,195",268,704,710,392,"1,134"
Chiba-ken,"142,546","3,824","1,062",785,"2,414",671,597,"1,595","9,071","2,180","1,633","13,877",-,"49,966","16,925","1,550",463,524,206,707,"1,663",621,"3,086","4,582",806,520,"1,386","5,170","3,138",527,297,164,219,766,"1,424",676,247,474,517,238,"3,242",265,635,689,498,504,920,"1,222",-,"6,009","10,221","88,393","1,901","1,787","2,722","17,934","41,753","7,397","4,172",680,612,543,"2,369",803,"1,465",359,954,754,631,"1,557"
Tokyo-to,"342,661","9,721","2,790","2,535","6,201","2,036","1,974","4,442","10,086","5,665","4,833","58,648","49,567",-,"76,876","4,966","1,599","1,693",764,"3,607","6,025","1,774","9,717","11,643","1,936","1,159","3,696","13,085","7,615","1,332",675,571,732,"1,952","3,928","1,612",660,"1,350","1,494",828,"8,711",776,"1,620","2,122","1,372","1,790","2,660","3,823",-,"15,353","25,728","154,208","5,290","4,498","9,825","6,664","42,375","28,348","25,283","1,995","2,067","1,570","6,633","2,772","5,087",870,"2,569","2,310","1,207","4,845"
Kanagawa-ken,"203,970","5,437","1,971","1,330","3,410","1,032",980,"2,399","4,962","3,151","2,437","14,483","17,605","78,660",-,"2,380",750,905,374,"1,885","2,993",988,"8,623","7,600","1,464","1,126","2,361","7,245","4,678",873,315,287,375,"1,066","2,780","1,045",359,613,709,415,"5,060",495,"1,310","1,233",916,"1,014","1,568","2,308",-,"10,052","15,157","135,747","2,705","2,306","3,293","2,719","53,331","34,483","19,533",957,"1,501","1,127","3,858","1,354","2,202",557,"1,415","1,148",772,"2,486"
Niigata-ken,"30,558",756,160,173,800,255,559,693,734,616,"1,198","3,267","2,371","7,384","3,439",-,714,651,170,189,"1,334",157,560,969,179,154,420,707,367,104,49,29,37,187,150,70,34,70,85,27,272,26,41,64,57,62,57,161,"16,461","1,305","1,598","19,342",315,563,831,424,"5,229","1,448",819,"8,150",126,98,449,280,231,25,112,70,48,124
Toyama-ken,"15,322",373,77,45,168,56,63,98,191,110,114,576,685,"2,303",975,681,-,"2,298",448,64,326,406,336,"1,349",191,217,506,"1,029",430,133,46,18,24,79,116,94,29,63,36,19,198,34,49,55,35,19,47,113,"4,539","1,946","2,098","4,984",156,82,140,96,"1,645",418,243,306,89,100,659,350,386,44,120,46,33,71
Ishikawa-ken,"19,412",366,81,49,248,56,57,76,174,154,125,733,743,"2,551","1,313",527,"2,020",-,"1,044",67,306,428,468,"2,242",261,399,766,"1,600",746,178,61,53,41,97,161,108,38,62,69,25,333,26,49,115,50,115,97,134,"5,340","2,931","3,290","6,654",149,159,162,142,"1,901",595,319,254,99,110,"1,089",513,551,92,229,87,70,133
Fukui-ken,"11,504",176,55,36,50,26,18,37,116,66,62,256,351,"1,310",533,191,530,"1,257",-,42,99,301,249,"1,191",167,566,855,"1,354",618,127,67,47,36,118,99,66,21,35,41,24,104,23,35,22,18,28,34,47,"2,450","1,659","2,954","3,808",59,40,63,55,978,243,130,74,44,89,552,485,585,85,210,52,28,36
Yamanashi-ken,"16,605",235,48,62,156,78,48,125,308,181,202,"1,165","1,046","5,412","2,529",185,73,50,27,-,992,99,"1,330",444,93,106,131,399,181,38,21,12,19,50,68,39,26,32,41,27,127,39,36,104,39,39,53,90,"10,152",636,749,"5,670",104,91,205,160,"2,749",935,468,72,250,140,145,91,87,16,58,33,22,44
Nagano-ken,"33,100",697,160,89,329,107,142,210,579,487,"1,163","2,801","2,133","7,897","3,547","1,308",249,328,121,998,-,724,"1,184","3,181",398,232,450,952,491,153,79,102,41,105,182,103,62,79,111,47,324,36,77,94,77,108,133,230,"16,378","4,303","2,046","12,381",242,236,704,394,"5,173","1,412",734,475,264,262,"1,324",323,337,75,145,95,57,129
Gifu-ken,"33,894",432,111,94,190,55,44,103,233,166,124,701,834,"2,872","1,379",124,495,436,262,110,714,-,"1,191","15,319","1,478",678,666,"1,397",699,182,105,68,36,212,215,192,63,88,120,80,471,65,117,161,90,142,239,341,"5,786",-,"2,944","11,423",157,98,184,100,"2,090",580,294,37,270,369,"5,617",463,521,104,229,91,60,159
Shizuoka-ken,"60,855","1,414",388,303,736,191,176,414,"1,007",734,577,"3,234","3,351","12,042","10,265",466,264,481,203,933,954,"1,006",-,"9,354","1,164",521,935,"2,068","1,287",249,151,132,150,350,532,342,125,223,213,130,"1,189",171,253,668,254,355,309,591,"28,892","11,524","4,539","34,954",461,387,676,539,"8,407","3,964","1,597",193,"6,196","6,249","3,490",682,623,219,383,264,227,397
Aichi-ken,"111,982","2,896",516,354,"1,063",303,262,436,"1,007",861,652,"4,199","5,102","15,447","8,820",689,"1,007","1,644",840,355,"2,297","12,463","8,754",-,"8,119","1,527","2,264","7,510","3,909",948,464,228,260,927,"1,694",592,255,522,608,375,"3,689",512,"1,197","1,219",684,"1,092","1,390","2,030","33,568",-,"14,631","64,500","1,102",714,"1,184",738,"11,625","4,380","1,892",299,"1,802","3,001","28,769","1,504","2,558",543,"1,239",947,666,"1,537"
Mie-ken,"32,706",454,81,103,158,39,41,126,321,323,132,816,972,"2,715","1,528",136,178,284,111,92,324,"1,316","1,031","9,357",-,764,"1,012","3,964","1,238","1,011",556,57,74,273,349,196,56,133,128,79,557,100,249,244,214,219,210,385,"6,031",-,"7,225","11,852",172,89,154,161,"1,946",725,300,55,193,302,"4,257",622,"1,503",558,377,151,134,153
Shiga-ken,"26,520",297,43,34,137,32,39,57,199,145,101,578,706,"2,011","1,106",100,179,404,393,49,186,615,499,"1,949",729,-,"5,002","4,615","1,957",543,221,89,91,363,384,192,92,116,170,105,643,88,154,239,181,177,271,239,"4,401","3,293","12,117","10,410",128,88,121,120,"1,508",501,236,38,81,139,700,"3,642","1,804",234,581,172,117,200
Kyoto-fu,"59,919",766,155,92,305,64,103,138,462,224,187,"1,288","1,752","5,700","2,802",295,439,606,814,127,455,603,986,"2,862","1,064","6,657",-,"13,729","5,659","2,449",581,323,324,743,"1,323",449,280,487,498,297,"1,234",178,429,410,313,314,490,463,"11,542","4,529",-,"25,708",339,205,336,281,"4,439","1,247",601,121,211,266,"1,318","8,177","4,681",610,"1,618",520,219,519
Osaka-fu,"165,157","1,881",234,157,"1,012",172,189,353,"1,046",686,492,"4,790","6,951","21,135","9,629",654,817,"1,336","1,093",294,897,"1,255","2,322","8,897","3,318","5,015","12,741",-,"30,687","10,134","4,680","1,079","1,061","3,097","4,064","1,486","1,363","2,044","2,129","1,201","5,633",583,"1,029","1,384","1,060","1,207","2,190","1,680","42,505","13,470",-,"103,445",975,781,"1,364","1,047","16,594","5,051","2,356",288,501,624,"4,463","6,671","35,809","14,281","6,834","2,098",825,"2,883"
Hyogo-ken,"98,218","1,160",129,109,484,79,93,214,737,401,316,"2,579","4,176","12,486","6,191",328,372,693,496,156,529,703,"1,346","4,714","1,270","1,990","5,224","28,752",-,"1,934","1,025",914,605,"2,968","2,772",913,"1,056","1,401","1,186",656,"2,894",306,527,650,476,517,934,757,"25,432","6,687",-,"57,010",573,374,807,583,"9,676","3,198","1,535",127,345,353,"2,401","2,900","12,577","1,657","16,628","1,340",524,"1,412"
Nara-ken,"30,461",299,70,31,108,29,22,59,158,139,92,572,878,"2,396","1,103",71,95,149,115,38,171,218,372,"1,361","1,179",814,"3,209","10,197","2,453",-,721,110,112,340,440,234,154,170,193,116,526,48,122,150,118,131,192,186,"4,949","2,758",-,"11,113",132,74,148,159,"1,806",569,254,35,71,94,538,"1,067","4,293",695,705,175,87,211
Wakayama-ken,"16,134",111,22,13,54,6,11,22,121,48,25,303,389,"1,251",551,35,37,87,72,28,64,122,199,768,619,311,776,"6,524","1,401",638,-,41,40,178,185,71,109,80,108,78,189,45,44,55,64,68,90,81,"2,494","1,509","9,339","6,166",59,45,71,58,937,246,145,14,44,59,310,512,"2,242",802,425,78,50,69
Tottori-ken,"12,212",115,13,15,54,19,8,23,77,40,31,250,281,"1,112",434,34,23,69,27,14,57,81,154,422,126,149,488,"1,634","1,190",117,38,-,"1,407","1,239","1,091",300,55,135,106,39,313,32,57,85,50,63,75,70,"2,077",629,"3,429","3,868",22,37,55,38,809,187,112,12,32,48,141,315,774,96,330,662,72,126
Shimane-ken,"13,650",96,31,15,24,5,20,25,86,35,24,262,277,"1,111",464,42,29,40,40,21,47,56,127,434,67,146,396,"1,381",812,126,57,"1,524",-,900,"2,767",758,62,147,135,77,514,45,85,84,68,57,74,57,"2,114",557,"2,715","4,867",36,17,72,46,781,192,122,22,37,24,159,263,640,59,259,"1,822",95,221
Okayama-ken,"33,362",265,20,31,155,22,32,50,277,134,79,749,"1,017","3,258","1,496",121,82,129,78,56,162,182,443,"1,312",258,402,"1,014","3,866","3,427",351,161,855,740,-,"5,247",973,335,"1,438",963,391,"1,203",106,232,254,261,241,246,248,"6,520","1,752","8,658","11,372",127,118,181,193,"2,494",652,380,47,86,104,519,661,"1,584",255,"1,060","2,120",299,492
Hiroshima-ken,"55,446",574,170,76,298,44,48,109,397,207,146,"1,484","2,015","6,296","3,850",139,142,202,87,81,182,229,676,"2,120",378,395,"1,433","5,212","3,433",515,177,838,"2,057","5,221",-,"4,920",480,"1,122","1,973",405,"3,771",283,895,548,521,334,539,424,"13,645","2,727","10,593","30,143",273,236,443,367,"4,592","1,666",804,82,177,157,"1,018",899,"1,933",356,"1,205","13,458",747,"1,730"
Yamaguchi-ken,"29,554",191,62,33,79,12,36,36,197,98,92,737,958,"2,643","1,418",79,82,79,41,40,79,147,646,"1,034",210,211,502,"1,791","1,113",151,64,314,613,"1,061","5,393",-,245,311,462,126,"5,481",282,617,434,419,303,333,299,"5,756","1,391","3,557","12,316",59,52,129,132,"1,916",559,337,36,77,326,356,344,709,130,357,"3,089","1,835","1,873"
Tokushima-ken,"13,228",142,26,12,33,6,10,22,93,51,30,224,358,"1,205",550,25,42,55,23,22,35,76,160,461,107,136,466,"1,932","1,333",158,118,64,89,500,520,254,-,"1,731",908,550,218,30,98,53,61,49,113,79,"2,337",644,"3,889","3,718",60,22,48,59,900,194,129,11,31,44,180,312,795,154,467,167,46,99
Kagawa-ken,"21,017",179,19,28,91,21,22,54,116,77,71,529,677,"2,215",824,57,40,75,28,24,91,73,245,720,121,177,568,"2,604","1,620",180,104,131,117,"1,487","1,157",281,"1,401",-,"2,397","1,001",652,48,107,133,99,89,148,119,"4,245",914,"4,972","6,527",84,77,154,129,"1,709",397,216,25,54,53,338,387,"1,026",165,590,678,113,332
Ehime-ken,"23,976",167,35,34,94,28,13,66,172,59,65,593,670,"2,557","1,079",66,48,78,46,39,89,117,274,959,168,217,688,"2,859","1,597",191,76,90,125,"1,087","2,084",515,919,"2,661",-,"1,184",982,64,118,302,273,133,178,117,"4,899","1,244","5,335","7,679",88,53,140,104,"1,852",495,281,31,67,59,364,506,"1,204",184,552,"1,035",214,450
Kochi-ken,"14,149",110,38,2,48,4,12,14,97,38,21,337,372,"1,534",686,33,21,29,24,32,55,105,170,678,119,167,410,"1,793",976,130,91,56,57,560,472,128,622,"1,476","1,730",-,336,28,81,101,98,84,88,86,"2,929",902,"3,309","4,048",56,33,90,51,"1,089",315,153,13,35,27,198,298,795,113,354,221,71,136
Fukuoka-ken,"107,264","1,184",208,94,512,91,97,185,771,428,300,"3,460","4,598","13,885","6,847",290,225,356,120,135,339,557,"1,376","5,072",730,805,"1,483","6,878","3,267",528,190,282,450,"1,221","3,748","4,420",204,678,828,261,-,"7,275","7,004","8,354","6,931","3,461","5,016","2,120","28,790","6,359","12,156","64,700",518,353,841,610,"10,450","3,212","1,711",116,239,442,"2,100","1,040","2,523",489,"1,060","2,285","11,812","24,899"
Saga-ken,"19,469",125,15,5,41,12,8,26,113,68,50,343,439,"1,412",785,37,19,43,18,23,36,56,173,883,146,131,185,617,374,49,33,25,43,113,361,298,26,79,99,31,"7,722",-,"1,936",891,558,347,483,192,"2,979","1,085","1,225","6,518",37,25,78,64,"1,046",331,157,9,31,32,233,119,229,33,124,184,723,"3,063"
Nagasaki-ken,"34,037",158,57,20,64,9,23,29,179,76,72,645,920,"2,713","2,074",64,45,56,30,43,61,151,319,"2,079",293,246,498,"1,436",775,141,79,68,105,295,"1,192",692,86,137,164,68,"10,418","2,137",-,"1,842","1,199",581,"1,077",621,"6,352","2,523","2,850","12,730",48,49,168,126,"1,984",827,342,23,48,63,672,244,475,119,294,361,"1,052","5,835"
Kumamoto-ken,"35,409",235,32,35,96,7,31,67,251,132,96,888,990,"3,355","1,873",64,53,99,28,89,97,172,484,"1,959",402,348,486,"1,488",785,134,48,54,60,273,707,549,47,127,211,66,"9,577",931,"1,432",-,"1,792","1,657","2,565",537,"7,106","2,533","2,893","11,915",78,76,195,172,"2,437",747,398,27,91,78,610,332,519,116,243,409,"1,034","4,353"
Oita-ken,"24,309",176,25,26,65,16,10,33,216,82,93,527,695,"2,016","1,032",48,37,56,24,37,63,93,291,803,309,170,303,"1,128",659,106,33,35,82,273,594,523,66,127,351,104,"7,602",542,962,"1,689",-,"1,099",790,298,"4,270","1,205","2,196","8,516",61,40,137,101,"1,455",421,263,8,33,44,275,203,416,71,179,282,"1,431","3,096"
Miyazaki-ken,"25,969",189,46,34,137,19,17,41,192,112,77,643,753,"2,602","1,327",35,43,75,30,44,90,196,344,"1,657",252,258,362,"1,312",599,135,80,47,83,247,426,439,51,103,154,67,"4,548",359,656,"1,846","1,317",-,"3,465",460,"5,325","2,105","2,408","7,800",45,32,121,116,"1,824",563,279,18,45,113,447,241,529,92,203,177,651,"2,304"
Kagoshima-ken,"37,228",203,66,28,105,20,24,62,270,113,95,972,"1,263","4,072","2,325",72,75,94,44,68,145,273,502,"2,447",343,445,571,"2,473","1,119",209,78,51,82,309,644,434,81,138,142,74,"6,605",445,"1,223","2,877",981,"3,591",-,975,"8,632","3,063","4,372","12,333",76,58,183,185,"2,809",930,515,28,89,99,704,341,"1,017",173,366,290,904,"3,566"
Okinawa-ken,"28,177",560,135,68,187,45,47,94,349,165,161,"1,400","1,555","4,866","2,685",115,129,140,44,81,247,409,753,"2,996",605,303,508,"1,603",861,158,110,57,51,240,475,268,65,93,109,56,"2,223",192,629,490,318,471,"1,061",-,"10,506","4,010","3,130","10,089",226,108,223,231,"3,528","1,131",642,53,86,194,746,281,637,94,299,233,322,"1,055"
Tokyo Area,"376,313","22,816","7,119","5,633","15,126","4,585","4,307","10,469","29,592","15,550","14,730",-,-,-,-,"11,095","3,235","3,708","1,535","7,015","13,181","4,018","24,739","27,772","5,128","3,239","8,456","29,387","17,835","3,107","1,482","1,250","1,531","4,335","9,346","3,853","1,471","2,829","3,174","1,701","19,773","1,825","4,030","4,806","3,183","3,823","5,922","8,602",-,"36,918","58,785","91,641","11,684","10,714",-,-,-,-,-,"4,488","4,715","4,069","14,788","5,592","9,949","2,054","5,642","4,922","3,002","10,022"
Nagora Area,"130,530","3,782",708,551,"1,411",397,347,665,"1,561","1,350",908,"5,716","6,908","21,034","11,727",949,"1,680","2,364","1,213",557,"3,335",-,"10,976",-,-,"2,969","3,942","12,871","5,846","2,141","1,125",353,370,"1,412","2,258",980,374,743,856,534,"4,717",677,"1,563","1,624",988,"1,453","1,839","2,756","45,385",-,"24,800","49,132","1,431",901,"1,522",999,"15,661","5,685","2,486",391,"2,265","3,672",-,"2,589","4,582","1,205","1,845","1,189",860,"1,849"
Osaka Area,"226,587","4,106",588,389,"1,909",344,407,764,"2,403","1,450","1,087","9,229","13,757","41,717","19,725","1,348","1,723","2,784","2,518",615,"2,052","2,779","5,026","17,834","6,831","14,476",-,-,-,-,"7,007","2,426","2,102","7,148","8,599","3,082","2,853","4,102","4,006","2,270","10,287","1,115","2,107","2,594","1,967","2,169","3,806","3,086","84,428","27,444",-,"78,073","2,019","1,434","2,655","2,070","32,515","10,065","4,746",571,"1,128","1,337","8,720",-,-,-,-,"4,133","1,655","5,025"
Total of 18 major cities,"1,139,383","48,520","6,380","6,287","22,902","4,549","5,471","9,588","16,069","10,081","8,069","87,069","89,902","168,697","143,669","14,273","3,812","5,296","2,689","4,249","10,073","8,613","31,859","64,153","9,666","10,404","21,914","92,828","49,321","8,475","3,888","2,494","3,419","8,680","23,629","9,195","2,423","4,813","5,555","2,514","55,535","4,815","7,991","9,072","6,896","5,964","8,901","8,721","126,570","45,166","60,431","346,875","9,867","8,688","14,953","10,804","98,669","52,769","40,518","3,698","5,510","5,064","18,047","9,339","22,148","8,016","9,920","7,116","6,389","15,360"
Sapporo-shi,"62,703","30,461",592,393,"1,345",256,178,318,653,389,295,"2,700","3,208","8,519","4,299",333,143,204,74,117,284,242,714,"1,981",236,167,426,"1,219",667,103,65,18,36,162,252,75,52,73,112,34,552,39,47,108,63,68,98,333,"18,726","2,459","2,415","14,560",-,"1,070",774,523,"6,312","2,041","1,010",191,161,129,806,318,424,77,218,148,61,297
Sendai-shi,"46,759","1,529","1,724","2,382","11,215","1,363","2,288","2,914",692,694,343,"2,765","2,585","6,564","3,503",581,137,157,39,117,228,88,461,"1,041",155,96,264,887,395,55,33,21,28,95,235,48,20,66,72,28,432,19,42,55,43,34,61,165,"15,417","1,284","1,601","12,125","1,007",-,"1,016",453,"4,854","1,652",946,348,130,83,534,210,252,45,145,158,51,241
Saitama-shi,"46,464",871,235,219,814,181,202,432,992,"1,066",876,"16,268","2,982","9,877","3,190",589,105,100,44,182,593,134,708,"1,003",158,90,272,"1,044",633,101,41,50,47,137,331,113,59,105,93,69,651,63,105,129,94,85,151,180,-,"1,295","2,050","14,327",515,595,-,448,"7,969","1,423",739,296,145,151,611,178,319,80,199,222,100,337
Chiba-shi,"35,250",589,158,107,407,97,90,244,801,359,256,"1,786","14,951","6,713","2,634",271,59,97,31,137,255,99,504,741,107,73,187,765,528,87,38,18,32,159,271,103,30,93,131,43,502,35,78,122,85,57,134,186,-,947,"1,567","10,252",319,319,431,-,"5,510","1,223",687,135,103,84,408,134,219,50,156,136,117,221
Ku-area of Tokyo,"288,152","7,022","2,008","1,760","4,340","1,499","1,413","3,115","7,417","4,159","3,382","44,001","40,914","37,968","52,516","3,506","1,136","1,233",578,"1,871","3,966","1,275","6,765","8,371","1,203",831,"2,764","9,746","5,767",959,503,410,501,"1,396","2,911","1,139",512,"1,025","1,092",610,"6,388",531,"1,214","1,568",919,"1,298","1,900","2,750",-,"10,849","19,236","83,817","3,927","3,200","7,565","5,436",-,"21,415","18,331","1,442","1,435","1,069","5,020","2,117","4,058",597,"1,928","1,701",831,"3,745"
Yokohama-shi,"119,267","2,478",701,570,"1,574",424,371,"1,019","1,977","1,246",971,"5,560","7,583","29,997","36,186",949,332,448,179,689,"1,137",425,"3,290","3,618",674,447,893,"3,696","2,286",352,143,132,169,497,"1,069",400,144,273,348,175,"2,394",195,472,453,372,423,567,969,-,"4,717","7,227","49,589","1,322","1,122","1,387","1,173","22,355",-,"13,693",449,681,472,"1,996",562,"1,083",298,732,589,363,"1,312"
Kawasaki-shi,"68,524","1,108",331,297,750,214,235,493,"1,004",561,476,"3,276","4,011","23,043","19,311",566,176,170,69,303,598,190,"1,266","1,584",317,175,437,"1,674","1,084",173,72,63,81,225,527,215,72,153,160,87,"1,134",109,201,254,208,201,311,559,-,"2,091","3,368","36,144",585,504,745,616,"16,012","13,823",-,227,230,208,863,306,553,128,287,287,163,607
Niigata-shi,"19,018",397,56,84,432,147,289,297,296,244,439,"1,277","1,054","2,964","1,394","6,188",268,363,78,76,450,69,183,449,50,67,193,353,161,45,12,16,8,53,82,28,16,49,35,6,141,9,17,20,21,26,29,87,"6,689",568,752,"5,003",192,316,384,217,"2,126",622,375,-,49,37,245,132,120,7,44,51,25,61
Shizuoka-shi,"18,585",247,52,55,162,32,33,81,192,105,117,648,722,"2,789","1,847",116,65,105,57,185,195,191,"6,101","2,002",203,84,268,489,327,55,39,16,28,72,156,76,17,29,51,20,223,19,48,68,26,37,48,87,"6,006","2,396","1,139","6,685",115,134,211,123,"2,003",847,337,71,-,"1,079","1,049",190,153,20,94,91,57,111
Hamamatsu-shi,"18,572",300,89,39,131,27,25,60,192,134,79,652,589,"1,904","1,264",71,69,170,41,88,206,307,"5,836","2,999",409,88,209,518,285,56,34,59,22,71,122,80,31,55,40,37,361,25,47,349,50,140,69,143,"4,409","3,715","1,068","5,102",89,55,96,86,"1,296",554,201,38,970,-,"1,031",167,166,46,82,54,53,118
