,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 18 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Total,"2,508,533","49,497","20,228","18,091","49,269","13,256","14,094","26,653","52,140","35,457","28,777","167,624","166,724","425,661","233,616","24,242","13,170","17,711","9,140","13,088","28,666","29,231","59,912","130,373","32,503","29,395","56,650","161,589","98,104","26,269","12,350","9,327","11,000","30,671","50,998","25,701","10,366","19,622","20,431","9,828","103,978","17,408","25,238","31,442","22,529","21,695","29,862","24,957","528,009","144,055","215,444","1,263,866","65,674","46,368","52,200","41,932","355,994","131,087","79,937","18,451","17,841","19,495","84,099","42,653","96,903","25,356","44,839","39,559","28,189","73,289"
Hokkaido,"70,626",-,"1,965",941,"2,531",656,505,751,"1,710","1,200",835,"5,765","6,487","16,301","8,797",797,399,470,206,315,833,673,"2,004","5,031",666,460,960,"2,386","1,372",311,146,81,101,359,531,242,151,201,258,87,"1,149",111,167,326,183,225,246,735,"37,350","6,370","5,029","70,020","42,786","1,780","1,365",997,"11,709","3,821","1,953",384,334,385,"1,553",668,810,167,434,257,152,465
Aomori-ken,"29,494","2,245",-,"2,030","3,541","1,152",494,651,717,518,343,"2,285","2,035","5,306","3,288",280,106,124,72,78,218,191,580,"1,131",167,81,173,340,210,65,20,27,29,54,188,79,25,20,33,18,166,31,75,32,27,29,58,162,"12,914","1,489",788,"10,725",768,"2,560",435,284,"3,758","1,217",677,136,94,95,245,97,142,27,67,39,25,59
Iwate-ken,"25,002",906,"2,215",-,"5,266","1,175",524,900,450,543,305,"1,789","1,555","4,222","2,161",173,41,71,18,88,162,72,373,609,148,55,109,270,166,31,18,12,7,45,72,36,12,23,28,9,121,14,26,32,22,26,29,73,"9,727",829,576,"9,848",384,"3,639",447,298,"3,006",876,503,87,50,37,159,76,94,28,39,40,25,60
Miyagi-ken,"54,295","2,210","2,574","3,897",-,"1,956","3,390","4,632","1,223","1,286",544,"4,275","3,847","9,650","5,373",887,202,257,60,201,333,177,834,"1,635",251,174,378,"1,182",546,98,52,37,32,135,308,112,30,92,92,46,582,36,64,79,75,84,111,256,"23,145","2,063","2,204","29,001","1,259","12,010","1,417",655,"6,970","2,402","1,345",457,183,138,720,292,350,58,186,194,71,294
Akita-ken,"19,443",664,"1,142","1,244","2,779",-,692,587,366,381,221,"1,577","1,404","3,767","1,918",336,60,70,21,80,112,76,318,547,61,44,107,225,122,31,18,11,6,35,48,34,15,23,24,8,100,11,25,36,14,19,30,34,"8,666",684,485,"7,684",296,"2,119",353,217,"2,725",786,444,193,36,63,160,81,69,28,37,15,15,47
Yamagata-ken,"19,301",574,398,482,"3,938",689,-,"1,266",393,489,265,"1,310","1,151","3,486","1,782",681,75,80,38,65,225,50,361,338,82,78,112,247,121,33,24,9,12,25,51,50,9,7,15,17,68,26,21,20,34,15,33,56,"7,729",470,513,"8,232",274,"2,845",344,236,"2,503",703,395,379,69,47,120,74,94,27,52,23,11,36
Fukushima-ken,"34,937",649,582,771,"5,450",507,"1,135",-,"2,084","1,805",500,"3,135","2,517","7,354","3,497",875,74,89,47,147,225,101,502,620,170,94,168,454,262,78,31,6,31,53,109,37,19,47,69,18,204,55,35,50,75,44,51,111,"16,503",891,962,"13,981",298,"3,670",778,401,"5,196","1,527",737,414,88,80,203,114,156,46,88,54,49,82
Ibaraki-ken,"54,596","1,116",393,308,"1,083",245,290,"1,628",-,"3,715","1,024","6,021","9,983","12,726","5,627",559,160,196,90,335,449,270,"1,011","1,108",300,235,499,"1,075",657,125,115,50,82,264,360,212,73,132,134,58,600,108,142,194,143,143,202,356,"34,357","1,678","2,356","18,948",412,674,"1,174","1,026","9,578","2,326","1,210",269,180,207,468,342,276,91,207,147,139,222
Tochigi-ken,"36,960",717,300,314,947,211,252,"1,280","3,418",-,"2,945","5,878","2,666","7,412","3,786",438,98,142,60,193,453,122,669,868,508,150,182,637,391,116,50,27,35,129,196,90,30,75,62,38,367,82,63,167,40,84,98,174,"19,742","1,498","1,326","12,087",261,570,"1,602",422,"5,405","1,534",771,188,129,101,309,126,190,59,135,86,55,144
