,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 19 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Sapporo-shi,"59,713","30,118",510,319,"1,371",291,185,261,636,311,253,"2,515","2,932","8,008","3,807",331,160,194,54,103,208,177,628,"1,641",188,133,405,"1,153",674,109,55,30,49,134,282,53,41,80,98,33,515,54,54,82,55,69,71,283,"17,262","2,006","2,341","13,880",-,"1,132",722,506,"5,885","1,818",901,196,154,118,800,311,424,78,245,59,173,50,308
Sendai-shi,"44,808","1,541","1,665","2,549","10,779","1,349","2,202","2,649",677,602,347,"2,594","2,551","6,385","3,133",471,125,203,39,85,206,84,393,937,96,63,205,834,433,72,40,24,21,78,246,59,24,107,61,24,467,21,33,93,27,22,67,125,"14,663","1,117","1,544","11,529",993,-,873,483,"4,754","1,518",748,273,108,75,543,161,244,60,147,39,167,63,280
Saitama-shi,"46,042",881,215,235,855,209,210,477,"1,067","1,055",794,"16,115","2,680","9,800","3,024",565,125,132,41,171,573,113,650,"1,011",135,109,228,"1,176",550,129,59,31,61,144,303,129,60,93,102,40,739,62,119,144,82,117,156,276,-,"1,259","2,083","14,281",503,649,-,357,"8,003","1,354",646,296,178,122,594,164,395,97,161,50,209,80,423
Chiba-shi,"35,186",640,181,110,408,90,99,207,863,347,243,"1,770","14,988","6,762","2,600",250,104,90,48,101,234,93,486,637,97,102,138,769,454,72,61,31,61,153,278,91,27,82,105,41,496,36,109,115,76,76,157,208,-,827,"1,433","10,124",300,298,440,-,"5,530","1,195",602,131,118,72,383,81,256,65,106,68,168,91,220
Ku-area of Tokyo,"308,497","7,690","2,232","1,967","4,575","1,621","1,642","3,423","8,046","4,223","3,634","47,861","41,141","42,912","54,317","3,743","1,141","1,251",634,"1,985","4,266","1,424","6,782","8,534","1,247","1,037","2,982","11,055","6,230","1,062",595,461,590,"1,646","3,024","1,199",591,"1,140","1,275",693,"7,109",596,"1,346","1,675","1,107","1,337","2,151","3,305",-,"11,205","21,329","88,434","4,383","3,311","8,313","5,012",-,"21,785","19,391","1,520","1,512","1,103","5,041","2,233","4,717",618,"2,071",633,"1,795",988,"4,008"
Yokohama-shi,"120,552","2,544",639,554,"1,663",467,465,"1,014","2,016","1,239",999,"5,767","7,393","30,839","35,831","1,017",358,438,204,616,"1,085",426,"3,352","3,455",742,454,931,"3,698","2,204",385,159,106,131,542,"1,183",423,168,307,343,162,"2,475",185,535,523,403,368,686,"1,058",-,"4,623","7,218","50,430","1,350","1,111","1,389","1,177","22,999",-,"13,609",472,681,478,"1,905",572,"1,154",242,702,162,671,400,"1,356"
Kawasaki-shi,"69,395","1,184",399,347,900,254,214,472,981,631,422,"3,298","3,988","23,720","19,004",535,161,203,97,387,612,171,"1,276","1,501",326,172,397,"1,720",991,132,72,39,110,238,512,193,87,150,192,92,"1,104",127,227,286,256,236,365,614,-,"1,998","3,240","36,387",633,578,750,557,"16,497","13,493",-,218,247,190,880,281,527,98,274,107,285,206,566
Niigata-shi,"17,928",339,88,78,410,128,294,309,259,209,400,"1,313",994,"2,800","1,281","5,792",250,281,85,74,456,64,223,363,66,41,179,275,158,48,10,14,12,55,116,28,13,41,38,11,147,10,32,19,21,21,25,58,"6,388",493,660,"4,849",166,308,454,198,"1,994",611,295,-,86,30,198,131,90,21,64,24,73,23,83
Shizuoka-shi,"18,293",219,47,39,162,37,46,79,147,116,110,666,698,"2,653","1,859",100,88,100,58,171,200,244,"5,949","1,947",217,78,225,547,333,77,41,33,29,96,128,49,36,52,42,22,194,35,39,50,35,37,88,75,"5,876","2,408","1,182","6,581",107,117,177,128,"1,893",898,308,58,-,"1,141","1,046",161,191,25,91,33,73,37,97
Hamamatsu-shi,"18,494",308,81,39,218,46,29,65,177,143,91,730,567,"1,939","1,356",69,69,119,40,109,219,307,"5,401","3,013",347,77,260,582,321,62,42,56,16,78,149,60,21,49,53,22,351,33,50,294,30,138,82,186,"4,592","3,667","1,225","5,622",100,117,164,112,"1,330",600,253,35,"1,021",-,"1,114",188,163,34,109,33,91,50,108
Nagoya-shi,"79,110","1,151",159,144,529,84,86,176,403,265,242,"2,206","2,755","8,501","4,457",337,490,842,349,151,"1,020","4,134","3,000","28,770","3,434",528,"1,049","4,087","1,993",351,188,93,122,391,854,276,120,294,253,160,"1,856",173,428,487,201,338,535,648,"17,919",-,"7,480","19,102",614,413,740,425,"6,493","2,377","1,118",149,820,920,-,747,"1,450",276,616,140,565,261,978
Kyoto-shi,"43,238",559,61,59,240,48,58,86,257,133,141,762,918,"3,837","1,597",215,269,404,441,78,272,352,615,"1,678",551,"4,807","8,271","7,082","2,845",844,358,196,202,497,666,266,175,325,337,223,"1,004",91,181,274,196,200,311,256,"7,114","2,581",-,"11,342",273,192,209,162,"3,048",796,370,99,129,146,828,-,"2,777",294,934,167,314,158,446
Osaka-shi,"89,909",690,86,71,252,58,75,105,291,148,155,"1,438","1,795","7,650","2,736",167,290,484,398,107,296,357,652,"2,570","1,097","1,361","3,413","33,478","12,234","3,661","1,464",455,436,"1,163","1,477",527,551,782,895,502,"2,027",161,422,520,324,437,934,717,"13,619","4,024",-,"23,853",347,189,359,260,"6,427","1,361",731,70,158,158,"1,464","2,013",-,"5,033","2,874",328,764,274,"1,043"
Sakai-shi,"24,909",157,18,10,69,23,11,43,106,58,43,314,517,"1,368",656,45,60,90,62,19,69,123,167,577,232,312,559,"13,705","1,850",624,659,75,83,205,209,147,107,160,149,81,424,34,105,80,80,107,205,112,"2,855",932,-,"8,430",75,52,91,77,"1,041",339,134,22,41,41,303,333,"4,950",-,498,55,96,102,180
Kobe-shi,"41,828",313,37,22,129,24,34,58,226,103,92,752,"1,159","3,793","1,911",115,117,187,138,43,135,230,330,"1,336",316,527,"1,344","6,662","14,905",552,348,221,172,814,940,277,335,412,386,218,864,78,243,174,150,127,270,209,"7,615","1,882",-,"11,723",160,100,238,187,"2,957","1,025",485,53,77,85,638,868,"3,125",475,-,246,414,148,442
Okayama-shi,"12,465",80,21,7,61,8,5,9,49,25,31,217,267,856,365,29,36,49,19,13,29,28,87,250,48,88,221,902,815,60,31,235,203,"4,328","1,210",222,121,398,233,128,331,31,55,67,44,46,45,62,"1,705",326,"1,998","2,944",57,48,59,65,623,175,89,15,25,12,136,150,350,48,274,-,606,48,164
Hiroshima-shi,"37,527",296,15,31,193,22,30,51,196,86,82,814,"1,039","3,467","1,634",63,34,107,41,25,87,103,306,"1,000",131,189,531,"2,678","1,597",161,67,525,"1,233","1,827","10,952","2,578",167,574,846,192,"2,176",148,244,298,229,106,211,145,"6,954","1,234","4,967","9,750",185,157,266,177,"2,627",783,445,41,95,98,587,389,"1,000",150,541,740,-,378,"1,091"
Kitakyushu-shi,"28,521",133,24,16,62,12,14,48,150,71,66,492,870,"1,888","1,098",61,27,55,13,28,59,58,219,893,185,137,247,"1,064",599,100,36,71,99,255,764,"1,431",40,113,213,64,"11,580",534,841,832,"1,421",552,676,310,"4,348","1,136","2,010","8,415",63,49,128,118,"1,346",506,264,26,43,59,356,174,382,135,179,74,427,-,"4,086"
Fukuoka-shi,"66,830",422,47,32,241,28,35,55,286,128,115,"1,546","1,881","6,846","3,176",113,72,117,51,101,118,162,387,"1,709",157,261,614,"3,176","1,470",215,76,107,151,447,"1,561","1,203",73,292,361,101,"22,463","2,273","3,627","2,983","2,203","1,718","2,589","1,041","13,449","2,028","5,475","16,990",258,207,462,274,"5,339","1,610",887,47,101,90,989,445,"1,158",196,514,211,"1,025","3,177",-
Others,"176,639","3,629",796,595,"1,757",538,782,"1,426","3,569","2,528","2,130","10,678","11,859","39,101","21,936","1,321",864,744,517,925,"2,102","1,997","4,745","13,649","2,079","1,857","2,877","10,975","7,174","1,627",732,542,353,"1,280","2,843","1,027",489,591,979,359,"4,905",641,"1,113","1,224",728,741,987,"2,328","83,574","17,725","22,653","68,320","1,636",879,"2,240","2,046","28,736","9,943","4,227",359,843,896,"4,290","1,601","3,196",815,"2,233",237,"1,450",886,"1,807"
Japanese Population(Thousands),"125,820","5,489","1,375","1,335","2,324","1,093","1,173","2,030","2,920","1,977","1,970","7,041","6,060","12,596","8,815","2,367","1,082","1,156",798,853,"2,126","2,044","3,705","7,220","1,823","1,378","2,581","8,638","5,503","1,391","1,000",587,715,"1,924","2,831","1,444",785,992,"1,429",764,"5,014",849,"1,424","1,806","1,187","1,129","1,703","1,375","34,512","11,087","18,113","33,513","1,895","1,024","1,205",935,"8,467","3,595","1,379",808,708,778,"2,190","1,425","2,540",825,"1,492",694,"1,154",971,"1,428"
