,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 19 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Ishikawa-ken,"19,064",380,105,46,194,56,61,91,186,177,149,718,792,"2,639","1,200",529,"1,983",-,"1,076",67,293,405,471,"2,144",248,379,691,"1,435",764,161,56,64,53,131,192,92,32,68,72,46,308,26,52,102,43,91,70,126,"5,349","2,797","3,051","6,618",191,143,179,131,"1,874",548,316,234,126,130,"1,067",508,481,93,261,51,122,38,125
Fukui-ken,"11,681",159,71,26,54,34,23,59,141,40,66,295,327,"1,231",534,176,487,"1,393",-,37,106,271,260,"1,193",164,555,984,"1,371",591,146,65,30,49,85,111,69,12,21,45,36,129,21,34,26,14,24,32,84,"2,387","1,628","3,092","3,787",57,35,90,73,894,233,130,80,69,55,523,586,528,88,197,28,50,25,46
Yamanashi-ken,"15,361",290,66,80,171,52,57,106,368,180,214,"1,062",891,"4,900","2,239",175,49,66,29,-,956,143,"1,206",468,86,50,119,290,197,42,30,19,17,41,53,35,9,35,53,19,170,15,43,85,25,38,42,80,"9,092",697,648,"5,288",93,108,203,164,"2,526",735,420,76,220,139,188,78,101,23,54,10,33,34,83
Nagano-ken,"32,467",813,207,133,321,126,173,271,604,499,"1,160","2,774","1,985","7,552","3,404","1,264",311,401,112,"1,212",-,566,"1,074","2,785",308,195,496,925,512,155,54,178,69,136,181,88,29,46,66,55,368,28,96,104,51,111,164,305,"15,715","3,659","2,088","12,155",314,225,729,329,"5,000","1,348",790,424,206,221,"1,268",369,303,90,175,26,107,75,156
Gifu-ken,"33,150",500,113,63,168,57,43,90,229,165,173,799,819,"2,864","1,463",174,468,424,245,132,702,-,"1,075","14,646","1,390",598,604,"1,407",744,176,79,101,43,142,205,183,59,76,133,89,476,49,172,173,88,174,207,370,"5,945",-,"2,931","11,054",187,86,188,121,"2,077",616,287,71,254,252,"5,371",371,483,98,250,39,82,69,152
Shizuoka-ken,"60,982","1,510",414,327,914,251,205,456,966,693,603,"3,437","3,336","11,652","10,336",471,263,428,178,"1,002",945,"1,057",-,"9,114","1,081",459,934,"2,205","1,287",291,160,135,97,400,508,295,122,211,224,137,"1,136",173,298,611,236,352,389,683,"28,761","11,252","4,717","34,555",551,500,729,590,"8,162","3,851","1,667",189,"5,838","6,026","3,563",663,683,161,404,116,265,213,384
Aichi-ken,"116,455","3,591",659,418,"1,241",324,278,479,"1,057",735,773,"4,382","5,379","15,566","8,861",763,"1,034","1,711",830,417,"2,405","12,332","8,589",-,"7,938","1,488","2,404","7,839","4,139",960,483,241,296,923,"1,764",713,336,591,634,463,"4,220",529,"1,299","1,277",635,"1,218","1,813","2,428","34,188",-,"15,342","66,320","1,411",826,"1,235",813,"11,549","4,399","1,971",314,"1,663","2,758","29,572","1,607","2,677",562,"1,272",300,952,700,"1,739"
Mie-ken,"33,758",545,110,154,223,59,53,147,322,533,136,927,992,"2,546","1,510",150,158,275,164,74,332,"1,150","1,119","9,458",-,793,964,"3,984","1,252","1,096",563,107,62,244,353,145,106,122,176,90,678,135,229,301,189,245,318,469,"5,975",-,"7,296","12,031",180,135,186,152,"1,845",699,282,55,225,336,"4,356",621,"1,478",574,351,66,132,158,200
Shiga-ken,"27,011",361,57,50,121,37,52,73,243,145,89,545,716,"1,919","1,203",99,169,363,406,39,184,609,582,"1,822",714,-,"4,881","4,803","1,921",567,206,119,140,349,380,266,156,150,221,123,622,101,207,226,181,221,279,294,"4,383","3,145","12,172","10,305",135,71,133,102,"1,377",508,275,35,93,111,768,"3,489","1,781",272,529,106,198,137,185
Kyoto-fu,"58,464",837,173,89,337,74,81,150,380,182,205,"1,228","1,552","5,545","2,685",330,422,622,814,114,414,520,920,"2,570",962,"6,672",-,"13,428","5,581","2,420",598,350,295,768,"1,146",399,284,497,501,322,"1,449",150,386,403,285,330,528,466,"11,010","4,052",-,"25,555",351,243,343,236,"4,317","1,217",596,161,183,227,"1,202","7,964","4,734",612,"1,623",239,443,251,613
Osaka-fu,"161,924","2,032",244,187,871,164,170,365,"1,203",571,527,"4,891","6,766","19,930","9,516",555,809,"1,365","1,127",380,920,"1,162","2,131","7,993","3,067","4,621","11,917",-,"30,687","9,921","4,892","1,131","1,065","3,036","4,025","1,429","1,442","2,050","2,217","1,244","5,931",509,"1,144","1,460",946,"1,221","2,362","1,728","41,103","12,222",-,"102,871","1,039",667,"1,417",991,"15,723","4,978","2,355",255,490,524,"4,151","6,271","35,776","14,533","6,974",908,"2,048",832,"2,939"
Hyogo-ken,"97,031","1,088",134,126,432,83,99,206,953,393,312,"2,654","3,968","11,773","6,237",351,431,830,446,155,476,701,"1,199","4,349","1,170","1,992","5,253","28,474",-,"2,019","1,042",911,611,"2,965","2,743",881,"1,109","1,277","1,200",676,"2,877",302,690,606,534,497,"1,000",806,"24,632","6,220",-,"56,595",523,326,807,635,"9,118","3,248","1,482",200,317,243,"2,128","2,969","12,844","1,647","15,995",896,"1,322",504,"1,391"
Nara-ken,"29,271",289,53,35,108,27,29,46,185,121,76,574,791,"2,261","1,184",84,112,162,140,40,156,222,378,"1,228","1,152",676,"3,109","9,827","2,256",-,689,105,138,351,413,212,124,151,213,116,539,56,116,146,104,124,204,149,"4,810","2,602",-,"10,994",117,63,130,109,"1,644",520,318,26,68,114,527,994,"4,314",732,675,125,183,101,234
Wakayama-ken,"15,179",120,26,15,51,17,6,26,91,52,32,320,441,"1,176",516,63,47,85,53,27,72,111,176,606,578,272,650,"6,188","1,310",639,-,54,39,165,186,59,97,95,80,64,181,33,67,49,36,43,82,83,"2,453","1,295","8,787","5,774",45,30,74,67,871,241,105,34,38,46,244,437,"2,127",755,416,44,82,59,59
Tottori-ken,"11,723",104,28,21,43,10,15,21,74,29,20,272,265,973,446,21,24,31,37,13,111,66,146,369,88,150,439,"1,663","1,137",108,52,-,"1,407","1,103","1,031",310,70,150,91,62,312,26,77,70,35,58,77,68,"1,956",523,"3,347","3,941",45,29,62,31,708,195,96,10,19,47,136,304,739,84,316,339,597,61,123
