,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 20 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Sapporo-shi,"56,619","29,676",516,334,"1,056",252,141,277,538,254,242,"2,319","2,400","7,387","3,561",304,130,170,74,96,242,143,521,"1,290",137,157,400,"1,251",636,123,37,30,26,115,239,54,51,68,73,33,559,44,71,79,58,58,88,309,"15,667","1,570","2,410","12,834",-,859,678,438,"5,538","1,668",898,137,193,129,102,606,284,427,85,200,54,134,75,329
Sendai-shi,"42,136","1,352","1,629","2,303","10,176","1,347","1,936","2,738",676,581,275,"2,611","2,300","5,784","2,872",550,105,119,29,83,205,76,384,936,98,81,219,839,407,72,41,25,26,93,207,48,28,59,68,16,387,25,45,58,27,33,70,97,"13,567","1,110","1,537","10,790",861,-,996,397,"4,266","1,413",671,85,318,111,50,537,150,261,56,111,62,154,55,236
Saitama-shi,"45,464",854,247,240,862,156,222,459,966,995,811,"15,909","2,512","9,823","3,331",611,107,129,35,186,504,124,620,939,115,112,186,"1,120",641,106,53,37,34,130,359,104,32,86,117,65,710,43,128,125,75,74,170,200,-,"1,178","2,053","14,372",477,630,-,386,"7,975","1,476",679,156,330,137,104,536,113,361,80,174,82,218,84,374
Chiba-shi,"33,880",625,184,143,392,104,106,226,778,336,222,"1,747","14,450","6,715","2,445",219,67,89,26,90,243,69,446,625,91,57,190,774,462,68,42,25,25,122,181,84,34,110,78,33,452,26,103,113,66,62,143,192,-,785,"1,494","9,946",302,277,402,-,"5,607","1,030",586,81,78,125,72,370,138,233,60,150,55,84,77,219
Ku-area of Tokyo,"301,801","7,638","2,402","1,915","4,615","1,587","1,566","3,317","7,766","4,116","3,428","47,437","39,723","42,507","52,456","3,664","1,134","1,320",605,"1,925","4,102","1,367","6,360","8,467","1,270",957,"2,943","11,126","5,816",986,568,478,548,"1,494","3,062","1,195",512,"1,165","1,233",787,"6,928",684,"1,364","1,636","1,018","1,332","2,142","3,140",-,"11,104","20,871","87,894","4,196","3,385","8,136","4,861",-,"20,916","18,231","1,806","1,510","1,322","1,038","5,144","2,233","5,057",576,"1,921",835,"1,847",887,"3,993"
Yokohama-shi,"118,340","2,460",674,576,"1,583",405,455,"1,047","1,929","1,209",984,"5,692","6,899","30,399","35,542","1,040",331,399,187,644,"1,287",424,"3,003","3,201",639,355,962,"3,765","2,317",397,159,144,161,537,"1,115",371,160,244,348,184,"2,477",230,511,508,356,387,660,983,-,"4,264","7,441","52,139","1,249","1,143","1,384","1,065","22,945",-,"13,275","2,355",480,626,399,"1,815",606,"1,248",257,769,257,593,402,"1,271"
Kawasaki-shi,"69,517","1,161",347,311,746,246,258,533,922,675,450,"3,369","3,700","23,915","19,672",527,165,185,95,328,610,208,"1,221","1,430",280,173,363,"1,575","1,017",127,81,69,94,210,534,188,98,169,151,113,"1,181",142,234,269,179,247,390,559,-,"1,918","3,082","37,874",639,518,727,491,"16,669","13,981",-,"1,042",228,242,169,806,230,533,101,303,105,294,165,631
Sagamihara-shi,"17,989",289,83,99,931,39,68,138,242,169,173,763,671,"5,576","5,923",135,35,39,21,195,165,58,295,269,46,26,88,278,186,27,15,17,21,51,91,43,23,11,22,32,197,20,67,70,34,69,74,105,-,373,579,"6,289",116,262,192,126,"2,141","1,862",864,-,55,59,43,138,59,91,27,65,30,45,31,83
Niigata-shi,"17,840",379,95,84,518,167,262,298,279,242,365,"1,307",986,"2,733","1,192","5,885",241,268,62,58,463,69,146,316,50,32,142,330,151,21,15,8,10,48,125,32,15,44,31,21,121,10,21,34,21,30,33,80,"6,218",435,644,"4,692",212,424,457,173,"1,910",537,281,73,-,54,29,150,102,84,11,31,26,61,16,61
Shizuoka-shi,"16,836",268,46,36,166,27,25,60,161,106,95,661,632,"2,434","1,608",89,75,103,51,167,207,211,"5,611","1,756",153,76,190,471,277,65,27,24,15,85,123,41,35,52,27,21,215,25,42,65,25,35,74,78,"5,335","2,120","1,003","6,024",134,116,203,127,"1,752",752,271,67,30,-,938,972,130,169,26,96,38,59,35,109
Hamamatsu-shi,"17,212",258,98,43,167,35,29,53,190,185,79,585,571,"1,888","1,245",76,70,134,49,109,163,297,"5,316","2,641",332,101,190,522,249,100,40,43,33,56,120,68,16,33,51,19,349,16,53,103,27,131,87,192,"4,289","3,270","1,061","5,273",71,67,99,134,"1,322",599,232,54,36,"1,005",-,987,149,167,39,75,20,78,49,90
Nagoya-shi,"76,339",966,150,128,550,104,95,187,436,247,267,"2,085","2,578","8,577","4,382",284,570,896,398,145,990,"4,000","2,841","27,591","3,268",600,"1,072","3,827","1,995",423,174,85,126,334,838,245,111,256,269,104,"1,519",140,419,478,215,300,464,610,"17,622",-,"7,317","18,878",484,410,757,406,"6,575","2,336","1,009",170,145,853,862,-,806,"1,372",221,678,193,551,238,812
Kyoto-shi,"40,705",466,84,54,164,78,58,79,260,119,135,678,902,"3,666","1,390",196,246,374,364,70,319,330,554,"1,486",497,"4,814","7,600","6,749","2,669",916,354,220,190,474,616,272,147,287,322,161,916,97,197,254,164,191,256,270,"6,636","2,313",-,"10,601",226,120,183,146,"2,893",696,327,40,93,130,154,765,-,"2,510",351,867,231,299,153,417
Osaka-shi,"87,307",724,90,62,288,50,72,113,271,188,169,"1,398","1,789","7,787","2,625",208,290,465,396,104,277,386,644,"2,313","1,074","1,363","3,496","32,326","11,499","3,587","1,434",431,431,"1,209","1,445",496,591,709,858,501,"1,929",185,351,418,331,463,837,634,"13,599","3,773",-,"24,127",400,204,370,259,"6,677","1,329",673,86,86,161,153,"1,320","2,109",-,"4,887","2,755",549,758,268,"1,083"
Sakai-shi,"24,049",117,24,13,57,11,12,31,95,57,30,344,423,"1,230",608,55,55,69,81,24,51,87,189,543,246,236,509,"13,542","1,783",680,593,80,65,208,260,111,115,134,130,98,368,38,95,93,72,112,162,113,"2,605",876,-,"8,045",49,44,111,78,956,304,116,23,22,31,42,296,308,"4,754",-,456,105,115,77,158
Kobe-shi,"40,483",334,46,33,162,28,28,49,204,106,81,692,"1,070","3,751","1,815",84,112,194,163,51,143,171,371,"1,139",315,515,"1,265","6,287","14,472",596,368,231,197,778,858,262,274,395,393,198,842,79,294,167,137,175,313,245,"7,328","1,625",-,"11,266",150,133,210,140,"2,943",986,412,38,37,86,115,617,798,"2,913",395,-,369,369,132,423
Okayama-shi,"21,304",107,18,25,86,22,23,21,87,38,38,371,435,"1,565",621,53,28,89,36,16,35,75,145,546,82,153,404,"1,554","1,460",127,63,399,327,"6,758","2,259",444,154,725,454,199,626,51,86,132,100,88,80,99,"2,992",703,"3,545","5,267",61,68,109,63,"1,095",260,184,19,23,40,34,269,276,577,102,510,-,"1,192",132,253
Hiroshima-shi,"35,258",211,28,24,177,22,33,48,143,94,65,753,907,"3,383","1,438",75,55,72,31,31,79,75,282,914,137,183,468,"2,463","1,357",208,67,489,"1,235","1,841","10,382","2,450",165,611,800,152,"1,977",137,243,274,158,152,215,154,"6,481","1,126","4,496","9,420",131,145,257,157,"2,611",718,382,40,44,77,95,500,360,884,124,407,"1,105",-,347,"1,036"
Kitakyushu-shi,"26,951",147,15,16,69,9,12,42,127,63,39,493,750,"1,738","1,026",57,19,55,25,22,59,72,196,745,156,134,236,961,599,83,31,30,109,233,708,"1,417",53,104,170,48,"11,427",449,775,822,"1,279",420,626,285,"4,007",973,"1,879","7,990",70,48,124,100,"1,255",445,241,34,29,41,56,255,163,325,103,223,100,368,-,"4,010"
Fukuoka-shi,"64,345",447,52,62,262,30,28,70,243,151,108,"1,410","1,829","6,594","2,737",120,62,106,44,96,121,130,381,"1,481",156,219,612,"2,842","1,440",179,72,73,149,380,"1,360","1,297",102,275,333,98,"22,192","2,225","3,444","3,045","2,142","1,601","2,642",903,"12,570","1,767","5,073","16,146",284,211,456,291,"5,234","1,370",710,100,77,115,81,887,446,"1,077",172,418,218,937,"3,062",-
Others,"161,392","3,382",696,574,"1,487",476,637,"1,325","3,263","2,271","1,876","9,550","11,232","38,131","19,497","1,277",700,779,515,954,"1,982","1,914","4,165","11,629","1,797","1,526","2,833","9,706","6,400","1,579",633,458,364,"1,186","2,387",985,451,612,886,385,"4,148",499,947,"1,107",607,623,863,"2,098","78,410","15,340","20,518","63,804","1,493",779,"2,074","1,881","27,852","8,969","3,791",401,459,726,889,"3,491","1,618","2,834",752,"2,052",389,"1,135",734,"1,485"
Japanese Population(Thousands),"125,870","5,486","1,368","1,324","2,331","1,082","1,162","2,017","2,913","1,973","1,963","7,071","6,101","12,747","8,876","2,361","1,079","1,158",794,846,"2,114","2,029","3,672","7,194","1,806","1,382","2,584","8,653","5,487","1,389",995,584,711,"1,922","2,819","1,437",780,987,"1,421",761,"5,021",845,"1,418","1,808","1,185","1,131","1,701","1,383","34,795","11,029","18,113","34,454","1,905","1,036","1,206",940,"8,603","3,611","1,394",707,808,708,771,"2,195","1,433","2,545",830,"1,500",699,"1,157",965,"1,440"
