,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 20 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Chiba-ken,"137,215","3,930","1,158",902,"2,520",730,726,"1,544","8,622","2,104","1,588","13,620",-,"48,485","15,493","1,488",507,555,227,696,"1,563",548,"2,592","4,010",696,564,"1,194","5,046","2,843",530,249,193,245,683,"1,359",655,255,459,546,222,"3,070",282,604,686,477,484,902,"1,363",-,"5,254","9,613","84,152","1,920","1,775","2,745","15,920","40,627","6,516","3,746",602,594,609,424,"2,172",749,"1,509",426,768,324,769,530,"1,427"
Tokyo-to,"347,987","10,398","3,296","2,638","6,306","2,133","2,125","4,650","10,241","5,536","4,810","61,791","47,656",-,"76,149","5,109","1,558","1,784",806,"3,617","5,968","1,923","8,923","11,223","1,836","1,304","3,891","14,108","7,633","1,349",754,645,782,"1,993","4,047","1,684",669,"1,484","1,667","1,055","9,260",950,"1,764","2,222","1,394","1,818","2,853","4,185",-,"14,982","26,981","160,587","5,621","4,497","10,203","6,040","41,733","27,798","24,878","5,756","2,102","1,842","1,423","6,569","2,882","6,068",772,"2,514","1,101","2,393","1,274","5,121"
Kanagawa-ken,"201,017","5,520","1,904","1,392","4,335","1,027","1,116","2,443","4,716","3,062","2,442","14,052","15,986","78,035",-,"2,444",728,824,399,"1,865","3,089",989,"8,118","6,775","1,317",870,"2,173","7,149","4,587",826,344,310,404,"1,074","2,709",977,435,562,738,437,"5,889",546,"1,328","1,222",834,"1,004","1,728","2,293",-,"9,081","14,735","140,841","2,682","2,480","3,123","2,412","53,596","33,277","18,476","7,084","1,011","1,438",952,"3,612","1,282","2,402",491,"1,439",532,"1,184",940,"2,428"
Niigata-ken,"27,858",725,226,188,880,298,507,653,652,495,"1,054","3,037","2,147","6,604","3,127",-,678,686,155,174,"1,254",153,441,729,130,78,339,638,353,74,39,24,26,117,187,75,34,69,52,42,275,33,38,58,40,55,65,154,"14,915","1,012","1,404","18,020",337,660,845,368,"4,584","1,298",737,156,"7,651",102,72,331,237,205,29,107,43,83,60,115
Toyama-ken,"13,310",294,53,29,137,44,43,62,163,88,92,510,583,"1,967",995,607,-,"2,156",442,70,271,360,281,"1,094",109,212,383,774,423,99,31,23,30,99,108,53,46,50,47,31,144,27,48,34,30,54,52,62,"4,055","1,563","1,679","4,450",136,75,114,85,"1,444",436,237,60,225,65,67,537,262,320,55,151,39,55,32,55
Ishikawa-ken,"17,705",355,113,68,236,50,39,73,219,138,128,644,685,"2,403","1,110",485,"1,897",-,919,64,328,376,455,"1,856",253,381,622,"1,456",695,149,42,41,36,141,156,75,44,60,75,39,332,21,47,73,51,79,70,126,"4,842","2,485","2,922","6,183",174,139,169,99,"1,817",509,248,50,222,95,131,886,430,516,72,222,94,94,63,153
Fukui-ken,"10,468",132,58,17,58,24,19,54,119,50,57,271,277,"1,141",483,146,454,"1,234",-,29,99,247,209,994,137,487,855,"1,343",528,101,60,36,40,82,100,67,25,29,28,29,136,13,29,26,26,29,47,43,"2,172","1,378","2,827","3,487",60,39,88,41,826,220,109,14,64,54,54,454,497,541,79,186,45,44,22,50
Yamanashi-ken,"14,438",202,66,68,188,44,45,92,285,159,219,"1,032",765,"4,642","2,172",195,69,51,28,-,865,110,"1,186",449,62,56,109,253,133,44,34,18,27,50,80,36,23,13,29,18,126,23,32,114,30,40,38,118,"8,611",621,539,"5,227",58,124,189,140,"2,382",789,379,219,82,228,117,159,73,80,24,48,34,31,18,53
Nagano-ken,"28,974",576,130,97,372,98,108,269,470,401,"1,089","2,536","1,696","6,871","3,168","1,353",273,343,84,834,-,625,970,"2,435",311,240,484,860,413,161,76,40,42,95,188,78,47,47,85,55,337,39,61,91,48,81,89,208,"14,271","3,371","1,918","11,401",234,281,658,290,"4,573","1,263",675,186,590,209,192,"1,086",346,293,72,130,48,96,52,127
Gifu-ken,"30,181",398,74,45,139,40,41,104,251,136,150,703,848,"2,659","1,225",113,429,446,241,120,588,-,979,"13,574","1,227",596,603,"1,295",586,171,89,76,55,123,246,150,50,65,105,72,423,33,100,148,83,140,169,273,"5,435",-,"2,655","10,325",144,86,159,123,"1,884",526,252,47,36,246,292,"4,941",427,485,84,188,60,127,77,141
