,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi,ÅúTotal
Okinawa-ken,"24,846",684,149,63,268,47,46,139,289,150,146,"1,211","1,368","4,758","2,153",113,91,145,59,93,165,297,477,"1,818",339,161,468,"1,639",693,181,69,57,59,219,375,275,93,107,142,63,"2,411",176,579,502,268,376,865,-,"9,490","2,454","2,981","10,010",276,137,230,199,"3,500",873,495,148,49,81,130,534,257,664,103,265,122,198,308,"1,120",321,"24,846"
Tokyo Area,"359,922","22,946","6,479","5,422","14,871","4,092","4,409","9,522","25,497","13,675","13,730",-,-,-,-,"9,856","3,236","4,021","1,592","6,644","12,189","3,788","20,930","26,978","4,385","3,142","8,807","31,473","16,227","2,958","1,466","1,369","1,526","4,699","9,136","3,667","1,497","2,843","3,105","1,834","20,707","1,802","4,132","4,603","2,908","3,551","5,295","8,913",-,"35,151","59,465","99,473","12,198","10,534",-,-,-,-,-,-,"4,244","4,105","3,197","14,912","6,176","12,853","1,903","5,370","2,519","5,115","2,765","10,989","2,593","359,922"
Nagora Area,"121,369","3,106",465,507,"1,502",340,313,762,"1,562","1,204",969,"5,788","6,082","22,907","10,836",812,"1,466","2,359","1,170",603,"2,963",-,"9,663",-,-,"2,766","3,832","11,893","5,259","1,874",881,375,368,"1,291","2,198",774,358,606,778,431,"4,332",508,"1,163","1,258",704,929,"1,313","2,099","45,613",-,"22,858","51,198","1,439",965,"1,551",974,"17,667","4,929","2,584",570,375,"2,061","3,101",-,"2,670","4,685",879,"1,791",636,"1,248",688,"1,916",469,"121,369"
Osaka Area,"207,867","4,267",524,508,"2,038",326,381,"1,129","2,336","1,342",998,"8,862","11,123","44,168","17,334","1,144","1,539","2,749","2,183",574,"1,813","2,302","4,196","15,490","5,439","12,263",-,-,-,-,"6,040","2,206","1,811","6,526","7,775","2,645","2,526","3,590","3,324","1,975","9,992",796,"1,895","2,213","1,610","1,623","3,081","3,211","81,487","23,231",-,"82,347","2,101","1,428","2,560","1,627","35,462","8,321","4,475",818,542,951,"1,051","8,175",-,-,-,-,"3,144","4,012","1,455","5,148","1,077","207,867"
Total of 21 major cities,"1,157,865","46,305","5,615","6,114","22,622","4,248","5,252","9,136","15,034","9,105","8,033","87,906","81,450","190,455","142,339","12,597","3,735","5,633","2,693","4,386","9,713","8,070","27,801","59,895","8,532","9,530","23,075","93,525","48,668","8,276","3,878","2,813","3,651","15,257","24,736","8,898","2,537","5,228","5,602","2,702","60,735","4,736","8,415","16,987","6,678","5,984","9,519","9,766","128,719","43,537","67,506","388,115","10,928","9,361","16,660","8,847","112,593","50,698","40,131","8,109","3,411","5,062","4,435","18,726","10,701","26,380","7,077","10,396","4,800","8,800","6,498","19,692","4,810","1,157,865"
Sapporo-shi,"53,823","27,249",530,297,"1,195",230,205,286,475,270,214,"2,109","2,296","7,790","3,227",281,171,151,65,88,213,137,476,"1,249",138,129,382,"1,146",549,83,43,31,32,108,250,77,33,95,95,42,649,37,69,103,62,47,73,346,"15,422","1,524","2,160","13,409",-,952,613,368,"6,041","1,581",857,177,167,120,75,662,288,447,92,185,62,168,82,399,73,"53,823"
Sendai-shi,"41,585","1,480","1,320","2,177","10,062","1,229","1,877","2,416",538,506,290,"2,381","2,059","6,509","2,836",460,98,120,36,120,214,93,366,969,129,86,209,840,384,94,30,24,33,116,236,74,16,65,58,27,546,42,42,92,40,49,68,129,"13,785","1,191","1,527","11,789",982,-,861,332,"4,955","1,427",701,128,274,102,84,607,169,279,61,135,77,180,65,310,60,"41,585"
Saitama-shi,"43,887",795,191,271,813,185,194,398,968,973,843,"14,636","2,458","10,451","2,886",545,124,150,46,185,529,121,519,937,162,136,280,"1,096",546,90,50,45,43,159,290,92,37,70,88,46,629,58,91,127,107,76,154,197,-,"1,220","2,012","14,823",459,623,-,380,"8,575","1,216",719,178,264,124,99,579,204,376,76,189,78,182,87,337,78,"43,887"
Chiba-shi,"32,751",630,151,147,415,84,102,228,636,296,239,"1,646","13,971","6,666","2,248",206,85,109,27,114,218,65,393,620,96,72,184,674,418,66,36,53,38,150,226,86,46,72,81,44,456,24,73,114,72,60,113,201,-,781,"1,342","9,978",329,299,401,-,"5,565","1,004",572,124,90,100,63,340,140,230,47,126,57,116,105,201,69,"32,751"
Ku-area of Tokyo,"296,494","7,751","1,933","1,731","4,726","1,338","1,509","3,018","6,851","3,749","3,503","45,875","37,320","41,421","51,199","3,142","1,160","1,494",615,"1,892","3,849","1,313","6,064","9,273","1,303",938,"3,385","12,762","6,087","1,047",574,485,592,"1,659","3,187","1,138",569,"1,129","1,177",734,"7,866",695,"1,372","1,703","1,010","1,319","1,927","3,110",-,"11,889","23,281","92,253","4,507","3,516","8,918","4,200",-,"20,385","17,946","2,282","1,415","1,302",976,"5,642","2,600","6,161",610,"2,077",970,"2,080",905,"4,727","1,034","296,494"
Yokohama-shi,"111,151","2,287",516,518,"1,487",371,403,810,"1,758",942,792,"5,428","6,327","31,269","32,474",894,330,408,164,599,"1,119",380,"2,587","3,017",526,325,933,"3,489","2,013",296,129,125,160,495,"1,033",399,131,268,302,189,"2,200",168,571,447,303,345,523,901,-,"3,923","6,731","52,159","1,186","1,070","1,406",982,"23,807",-,"12,495","2,847",373,565,337,"1,742",622,"1,182",216,750,251,537,319,"1,239",233,"111,151"
Kawasaki-shi,"67,214","1,161",284,292,779,182,251,379,892,566,426,"3,383","3,429","24,571","17,787",438,144,223,64,297,535,169,"1,141","1,663",222,167,421,"1,868",915,144,61,68,80,216,458,209,75,156,149,94,"1,156",104,199,231,152,214,311,488,-,"2,054","3,348","37,610",684,565,839,492,"17,111","12,392",-,"1,275",189,219,167,950,286,732,120,275,118,261,150,676,109,"67,214"
Sagamihara-shi,"23,439",329,111,79,236,92,77,134,340,187,149,"1,058",947,"7,846","8,135",148,39,59,23,215,205,62,440,461,97,44,101,341,230,45,19,22,16,55,126,63,17,28,56,31,247,21,63,77,51,75,101,141,-,620,717,"8,633",154,166,213,148,"3,272","2,412","1,322",-,55,71,56,201,69,136,27,70,28,62,40,101,30,"23,439"
Niigata-shi,"17,208",294,56,80,429,146,244,339,236,214,327,"1,349",835,"2,932","1,230","5,380",185,292,65,65,480,52,213,337,49,44,155,307,173,42,14,13,15,64,96,34,8,42,21,13,135,16,24,32,12,15,31,73,"6,346",438,677,"5,025",175,324,476,146,"2,164",558,331,82,-,81,47,163,110,117,15,41,38,51,18,69,19,"17,208"
Shizuoka-shi,"16,533",181,40,45,137,38,33,69,139,91,112,564,639,"2,662","1,627",92,76,106,40,173,178,187,"5,311","1,845",161,59,200,501,286,54,31,17,14,72,107,34,16,34,39,38,207,20,41,56,32,22,50,57,"5,492","2,193","1,041","6,324",109,100,145,80,"1,974",730,312,106,56,-,950,"1,022",140,180,42,101,37,67,21,122,30,"16,533"
Hamamatsu-shi,"16,521",228,81,40,137,34,35,64,160,111,108,610,520,"2,037","1,144",54,48,150,58,88,151,299,"4,705","2,889",248,128,267,504,298,85,38,20,24,78,109,69,13,30,37,26,303,17,40,70,39,103,74,150,"4,311","3,436","1,154","5,352",93,66,114,67,"1,457",500,232,72,27,896,-,"1,059",214,176,44,89,40,67,47,76,16,"16,521"
Nagoya-shi,"73,780",983,83,98,569,104,67,203,413,309,246,"1,994","2,378","9,633","4,172",230,409,810,371,136,841,"3,845","2,811","26,241","2,874",564,"1,101","4,012","1,779",348,156,84,91,364,783,239,124,211,231,120,"1,711",120,351,308,177,226,333,527,"18,177",-,"7,240","20,532",607,449,666,386,"7,841","2,060","1,048",187,114,828,870,-,792,"1,661",233,616,235,544,233,"1,023",139,"73,780"
Kyoto-shi,"40,608",452,64,70,189,34,54,143,198,89,112,791,860,"4,433","1,396",154,231,394,383,59,243,319,569,"1,529",417,"3,969","7,688","7,226","2,616",837,351,184,174,441,607,248,151,251,289,153,858,87,154,239,189,190,250,273,"7,480","2,265",-,"11,821",238,124,238,163,"3,612",617,358,84,80,145,141,792,-,"2,848",336,870,213,302,126,413,121,"40,608"
Osaka-shi,"88,020",697,90,65,370,67,58,200,330,212,180,"1,446","1,888","10,006","2,901",167,279,504,388,95,310,351,602,"2,908",979,"1,378","3,748","30,714","11,114","3,384","1,237",405,353,"1,130","1,568",428,492,750,699,404,"2,200",145,382,390,296,314,652,744,"16,241","4,238",-,"26,961",371,285,421,252,"8,575","1,380",862,126,87,154,151,"1,778","2,333",-,"4,272","2,683",540,888,285,"1,300",218,"88,020"
Sakai-shi,"22,806",149,16,18,73,16,11,53,82,61,43,326,416,"1,437",605,34,54,74,51,21,71,81,166,506,221,288,538,"12,632","1,594",598,548,72,68,191,249,100,87,113,136,67,319,45,59,95,59,93,132,138,"2,784",808,-,"8,376",67,48,103,58,"1,111",293,152,35,17,20,44,275,312,"4,911",-,456,90,132,65,148,39,"22,806"
Kobe-shi,"41,367",411,33,44,196,18,15,97,257,114,69,733,997,"4,107","1,754",76,99,208,120,42,146,183,339,"1,274",353,530,"1,404","6,746","14,703",496,266,214,162,747,814,266,280,358,341,181,895,56,217,223,108,149,237,289,"7,591","1,810",-,"12,686",230,140,208,152,"3,311",929,415,82,44,78,98,706,902,"3,444",398,-,353,438,138,503,117,"41,367"
Okayama-shi,"21,139",157,17,10,93,23,16,56,99,42,47,434,424,"1,831",544,51,43,91,30,32,72,70,164,567,85,150,351,"1,589","1,364",132,51,348,307,"6,707","2,131",399,156,628,413,167,606,51,73,122,92,60,105,139,"3,233",722,"3,436","5,733",105,65,125,72,"1,412",249,148,14,23,32,40,318,236,674,99,440,-,"1,190",80,324,87,"21,139"
Hiroshima-shi,"34,852",295,30,31,192,20,26,56,164,86,68,752,815,"3,544","1,519",55,40,104,46,21,101,97,227,907,120,164,629,"2,426","1,353",133,73,447,"1,211","1,685","10,118","2,314",142,502,844,157,"2,068",101,215,241,196,117,200,200,"6,630","1,124","4,541","10,292",184,165,259,131,"2,763",751,427,75,35,72,61,559,471,"1,010",128,488,"1,099",-,342,"1,119",153,"34,852"
Kitakyushu-shi,"26,227",134,18,33,95,6,14,64,147,62,63,461,728,"1,805",960,53,33,47,30,32,42,64,158,615,85,126,275,895,545,78,45,49,59,286,655,"1,296",42,100,154,20,"11,618",442,701,760,"1,095",376,577,284,"3,954",764,"1,793","8,613",68,57,108,107,"1,380",433,200,65,23,30,44,204,201,350,81,182,162,343,-,"4,136",439,"26,227"
Fukuoka-shi,"62,321",433,38,48,346,25,33,81,231,130,145,"1,396","1,672","7,483","2,804",101,67,104,62,58,134,126,372,"1,552",167,159,563,"3,038","1,323",152,93,69,140,370,"1,405","1,133",74,257,295,112,"21,171","2,007","2,951","2,830","1,836","1,371","2,399",965,"13,355","1,845","5,076","18,973",265,281,418,255,"6,126","1,415",813,123,65,97,89,884,406,"1,198",130,490,245,"1,018","2,909",-,"1,746","62,321"
Kumamoto-shi,"26,139",209,13,20,83,6,28,42,120,95,57,534,471,"2,022",891,36,20,35,9,54,62,56,178,536,100,74,261,719,378,72,33,38,39,164,288,200,28,69,97,37,"4,895",480,727,"8,727",750,763,"1,209",414,"3,918",692,"1,430","6,773",115,66,128,76,"1,541",366,221,47,13,26,43,243,206,268,50,133,107,174,481,"2,469",-,"26,139"
Others,"178,161","4,259",728,568,"1,405",497,542,"1,212","3,321","2,531","2,151","10,490","11,290","39,671","20,384","1,329",823,955,436,804,"2,096","2,389","5,191","15,255","2,154","2,060","3,722","11,184","7,842","1,890",788,370,383,"1,636","2,888","1,099",454,737,957,329,"4,634",500,837,"1,125",609,678,934,"2,024","81,835","19,798","24,638","72,152","2,180",684,"2,299","1,827","30,502","8,668","4,061","1,172",464,858,"1,182","4,595","2,192","3,152",696,"2,521",722,"1,416",839,"1,702",420,"178,161"
Japanese Population(Thousands),"125,020","5,327","1,290","1,263","2,314","1,007","1,107","1,891","2,861","1,939","1,926","7,169","6,137","13,207","8,986","2,273","1,049","1,140",772,818,"2,060","1,985","3,623","7,324","1,775","1,392","2,559","8,672","5,438","1,347",949,566,684,"1,896","2,799","1,381",746,964,"1,366",718,"5,054",824,"1,358","1,765","1,150","1,092","1,630","1,427","35,499","11,084","18,016","35,919","1,947","1,073","1,255",951,"8,967","3,644","1,454",709,802,693,775,"2,233","1,432","2,577",825,"1,490",710,"1,179",944,"1,523",735,"125,020"
