,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi,ÅúTotal
Gumma-ken,"29,080",550,156,168,473,125,160,382,961,"2,275",-,"6,522","1,789","6,427","2,682",969,122,141,46,168,943,125,517,689,120,110,263,515,284,61,28,14,39,63,150,59,20,35,80,17,287,40,55,93,46,73,103,135,"17,420",934,"1,123","10,335",231,300,"1,220",320,"4,750","1,088",663,198,322,94,71,280,201,173,34,90,26,77,30,124,43,"29,080"
Saitama-ken,"143,829","3,830","1,180","1,025","2,848",792,781,"1,929","4,877","4,075","5,360",-,"13,327","56,689","13,852","2,042",467,601,219,860,"2,198",597,"2,836","3,882",688,481,"1,112","3,920","1,975",402,188,233,189,709,"1,193",476,189,359,421,239,"2,780",251,455,636,360,398,635,"1,273",-,"5,167","7,409","86,825","1,896","1,957","17,145","1,608","44,077","5,630","3,373",914,909,490,605,"2,003",738,"1,465",280,653,373,658,387,"1,314",350,"143,829"
Chiba-ken,"127,006","3,586",963,829,"2,349",606,585,"1,467","7,144","1,820","1,447","12,906",-,"46,193","14,165","1,299",500,586,225,652,"1,510",532,"2,316","3,937",694,508,"1,154","4,546","2,375",458,240,176,214,704,"1,165",593,237,423,462,233,"2,863",229,531,564,445,488,767,"1,320",-,"5,163","8,533","79,668","1,844","1,646","2,598","14,158","39,089","5,828","3,618",837,597,515,375,"2,078",749,"1,532",360,719,304,628,509,"1,357",327,"127,006"
Tokyo-to,"339,267","10,292","2,710","2,377","6,354","1,802","2,013","4,159","9,298","5,243","4,870","59,662","44,870",-,"72,687","4,409","1,573","1,914",817,"3,482","5,779","1,781","8,451","12,206","1,832","1,338","4,406","15,812","7,813","1,356",755,681,780,"2,258","4,228","1,615",744,"1,478","1,558",943,"10,191",911,"1,758","2,298","1,360","1,757","2,520","4,126",-,"15,819","29,387","164,685","5,818","4,625","11,174","5,301","41,774","26,608","24,166","6,496","1,910","1,823","1,348","7,137","3,332","7,308",790,"2,625","1,329","2,715","1,172","5,854","1,380","339,267"
Kanagawa-ken,"193,312","5,238","1,626","1,191","3,320",892,"1,030","1,967","4,178","2,537","2,053","13,845","14,803","80,493",-,"2,106",696,920,331,"1,650","2,702",878,"7,327","6,953","1,171",815,"2,135","7,195","4,064",742,283,279,343,"1,028","2,550",983,327,583,664,419,"4,873",411,"1,388","1,105",743,908,"1,373","2,194",-,"9,002","14,136","141,665","2,640","2,306","3,333","2,202","55,901","30,903","18,112","8,525",828,"1,277",869,"3,694","1,357","2,548",473,"1,373",513,"1,114",697,"2,464",536,"193,312"
Niigata-ken,"27,505",604,153,153,806,253,513,758,514,501,"1,035","3,123","1,994","6,984","3,031",-,572,606,141,197,"1,184",135,494,763,135,117,353,609,360,76,39,31,38,129,147,64,22,70,64,32,245,33,65,70,32,35,71,154,"15,132","1,033","1,398","18,260",316,566,925,311,"5,061","1,272",800,209,"7,297",119,102,332,244,240,37,112,66,72,37,104,38,"27,505"
Toyama-ken,"13,210",275,41,49,159,30,31,52,169,72,106,598,612,"2,076",891,569,-,"2,037",436,61,294,331,270,"1,185",161,179,357,793,369,108,38,30,42,70,141,40,30,35,34,18,176,8,32,38,26,29,42,70,"4,177","1,677","1,627","4,645",163,107,129,83,"1,577",371,216,66,242,76,54,567,250,286,67,136,35,83,28,85,24,"13,210"
Ishikawa-ken,"18,330",369,115,54,226,36,55,69,188,138,112,743,763,"2,671","1,053",531,"1,994",-,948,62,342,397,447,"1,958",298,377,592,"1,434",692,115,53,41,46,115,209,71,23,63,74,27,373,19,65,70,72,48,54,128,"5,230","2,653","2,833","6,697",190,125,214,138,"2,037",470,292,59,256,123,127,971,417,543,84,188,65,139,73,147,39,"18,330"
Fukui-ken,"10,377",136,43,17,54,19,17,75,107,55,49,249,328,"1,232",505,145,432,"1,193",-,36,102,215,219,"1,102",134,392,837,"1,301",487,114,56,37,60,57,93,40,5,32,42,28,116,10,31,26,32,18,36,63,"2,314","1,451","2,739","3,582",53,38,55,44,929,209,99,36,55,55,56,523,491,522,83,168,30,43,28,50,15,"10,377"
Yamanashi-ken,"14,377",230,53,58,151,36,44,123,262,264,182,944,946,"4,641","1,998",189,76,71,22,-,826,90,"1,085",509,74,39,126,343,152,36,36,9,17,32,68,53,21,13,44,10,161,15,48,79,32,25,51,93,"8,529",673,657,"5,507",78,104,209,167,"2,551",667,404,285,68,223,117,171,76,132,30,42,16,38,30,64,35,"14,377"
Nagano-ken,"28,445",536,91,101,253,90,116,221,476,388,"1,080","2,609","1,686","7,109","3,042","1,076",325,363,98,827,-,619,866,"2,479",272,222,453,870,410,127,74,53,42,104,175,73,30,82,89,61,295,32,71,88,46,53,99,173,"14,446","3,370","1,860","11,589",255,160,677,292,"4,875","1,235",757,219,469,171,178,"1,052",327,340,70,152,52,74,50,133,51,"28,445"
Gifu-ken,"30,490",322,78,49,170,36,40,102,208,120,128,798,707,"3,018","1,310",151,357,415,229,117,585,-,"1,063","13,966","1,100",558,562,"1,279",621,198,85,44,57,155,209,101,48,79,127,52,387,41,97,155,74,100,145,247,"5,833",-,"2,660","11,365",133,97,186,128,"2,223",587,294,97,77,266,325,"5,291",392,479,91,235,75,116,71,147,55,"30,490"
Shizuoka-ken,"55,601","1,230",279,262,765,201,198,420,898,561,603,"3,116","2,974","11,629","9,272",410,257,492,205,891,799,894,-,"8,612",919,412,967,"1,988","1,193",286,141,105,92,318,439,221,124,145,200,139,"1,054",101,205,343,237,266,281,457,"26,991","10,425","4,434","33,871",511,418,602,409,"8,495","3,448","1,564",569,157,"5,808","5,440","3,464",697,700,167,373,128,239,146,394,142,"55,601"
Aichi-ken,"104,895","2,395",321,285,"1,129",276,214,543,"1,039",832,711,"4,143","4,623","17,254","8,107",537,955,"1,711",815,397,"2,090","11,471","7,613",-,"6,731","1,466","2,329","7,547","3,614",830,395,254,245,895,"1,661",567,270,428,527,310,"3,443",372,915,887,477,691,"1,000","1,580","34,127",-,"14,320","66,604","1,139",758,"1,202",724,"13,464","3,700","1,949",406,247,"1,605","2,515","28,663","1,649","2,928",534,"1,232",448,998,517,"1,598",328,"104,895"
Mie-ken,"29,325",389,66,173,203,28,59,117,315,252,130,847,752,"2,635","1,419",124,154,233,126,89,288,"1,152",987,"8,921",-,742,941,"3,067","1,024",846,401,77,66,241,328,106,40,99,124,69,502,95,151,216,153,138,168,272,"5,653",-,"5,878","11,150",167,110,163,122,"1,980",642,341,67,51,190,261,"3,967",629,"1,278",254,324,113,134,100,171,86,"29,325"
Shiga-ken,"25,362",302,44,42,148,22,42,83,236,99,112,594,644,"2,179","1,035",94,170,360,312,34,169,538,338,"1,818",652,-,"4,863","4,717","1,887",456,198,91,117,365,310,158,74,159,142,104,519,69,124,194,142,132,263,211,"4,452","3,008","11,923","10,632",133,96,145,81,"1,666",417,258,86,42,52,88,737,"3,506","1,791",310,544,182,162,95,156,85,"25,362"
Kyoto-fu,"54,509",745,167,96,283,55,76,212,347,154,158,"1,226","1,449","6,121","2,406",254,373,609,660,98,374,494,810,"2,401",727,"5,522",-,"13,048","5,032","2,197",578,305,295,788,"1,129",398,299,396,428,258,"1,234",138,352,348,278,263,427,501,"11,202","3,622",-,"25,219",345,166,343,229,"4,864",998,557,152,141,195,187,"1,148","7,256","4,857",567,"1,444",383,449,184,581,173,"54,509"
Osaka-fu,"150,743","1,992",188,214,"1,043",158,192,522,"1,072",684,511,"4,738","5,718","23,423","8,680",522,733,"1,326",976,266,864,"1,047","1,897","7,777","2,628","4,320","11,808",-,"26,342","8,744","3,927",970,848,"2,794","3,787","1,192","1,206","1,830","1,727","1,045","5,468",404,905,"1,112",792,870,"1,734","1,747","42,559","11,452",-,"102,430","1,031",780,"1,414",790,"19,003","4,272","2,364",378,244,406,486,"4,417","6,581","34,363","11,858","6,267","1,345","2,147",718,"3,029",537,"150,743"
Hyogo-ken,"92,693","1,224",110,162,559,75,88,311,772,389,262,"2,379","3,318","12,419","5,314",287,340,643,437,167,458,576,"1,131","4,204","1,179","1,832","5,223","28,411",-,"1,819",920,845,578,"2,632","2,522",847,903,"1,195","1,025",564,"2,784",203,547,649,438,405,789,758,"23,430","5,959",-,"56,691",601,394,674,516,"9,853","2,627","1,323",222,120,256,279,"2,132","2,910","13,510","1,508","15,088","1,262","1,253",480,"1,363",320,"92,693"
Nara-ken,"26,623",306,59,36,153,38,25,84,145,115,67,519,638,"2,205",934,81,93,171,110,43,117,185,358,"1,108",905,589,"2,923","9,156","1,998",-,615,86,90,312,337,208,118,169,144,108,506,51,91,104,102,85,131,205,"4,296","2,198",-,"10,676",124,88,129,92,"1,742",424,231,66,37,94,99,478,"1,073","4,140",596,651,154,163,73,175,47,"26,623"
Wakayama-ken,"14,575",117,16,12,64,19,23,44,83,50,41,260,399,"1,344",458,43,43,63,59,29,63,94,164,597,478,268,675,"5,820","1,258",596,-,39,41,132,159,76,111,92,75,58,218,33,53,55,39,49,83,82,"2,461","1,169","8,349","6,010",50,42,63,50,"1,040",211,138,23,21,31,47,251,445,"2,123",701,431,82,68,63,100,30,"14,575"
Tottori-ken,"9,982",95,18,11,73,17,6,38,57,38,20,211,231,933,324,23,20,71,23,24,34,58,113,312,71,96,388,"1,241",930,68,38,-,"1,342",964,855,259,53,116,103,69,325,23,46,64,41,46,46,48,"1,699",441,"2,627","3,713",23,48,59,50,675,129,88,19,10,22,33,114,252,589,71,285,486,527,74,121,38,"9,982"
Shimane-ken,"11,500",81,10,17,42,7,10,47,54,39,32,235,247,"1,075",391,35,20,53,47,20,46,46,114,302,78,124,312,"1,093",686,95,42,"1,350",-,752,"2,258",628,62,128,96,62,366,45,67,63,58,45,61,59,"1,948",426,"2,186","4,576",33,23,58,35,810,168,98,28,14,17,24,108,202,528,54,260,384,"1,456",95,151,30,"11,500"
Okayama-ken,"30,027",320,28,26,169,45,34,114,218,115,83,743,920,"3,280","1,209",106,94,143,63,72,127,186,354,"1,193",209,343,823,"3,499","3,059",264,99,825,651,-,"4,711",800,297,"1,220",798,332,"1,110",118,167,214,241,133,224,248,"6,152","1,588","7,645","18,084",156,111,206,163,"2,471",549,332,51,52,54,72,515,587,"1,539",211,943,"7,268","1,948",228,508,120,"30,027"
Hiroshima-ken,"48,102",523,161,68,321,39,42,154,338,168,141,"1,402","1,585","5,942","3,140",127,99,181,84,81,191,210,453,"1,694",366,405,"1,341","4,406","2,824",305,144,750,"1,999","4,675",-,"4,112",373,923,"1,660",340,"3,307",252,727,466,448,274,421,440,"12,069","2,270","8,876","29,403",276,234,431,273,"4,607","1,320",728,131,75,129,119,906,849,"1,848",239,"1,039","2,184","11,513",621,"1,629",252,"48,102"
